combination_id,n_legs,risk_tier,legs,bookmaker,combined_odds,production_joint_probability,objective_joint_probability,joint_model_gap,implied_combined_probability,production_joint_ev,objective_joint_ev,wheelo_support_per_leg,status
combo_1,2,Lower variance,Isaac Heeney top 5 + Lachie Neale top 5,candidate — verify price with bookmaker,,0.08498,0.15685,0.07186999999999999,,,,PARTIAL_WHEELO_SUPPORT; PARTIAL_WHEELO_SUPPORT,candidate — verify price with bookmaker
combo_2,2,Lower variance,Isaac Heeney top 5 + Ed Richards top 20,candidate — verify price with bookmaker,,0.27038,0.49105,0.22066999999999998,,,,PARTIAL_WHEELO_SUPPORT; PARTIAL_WHEELO_SUPPORT,candidate — verify price with bookmaker
combo_3,2,Lower variance,Isaac Heeney top 5 + Caleb Serong top 20,candidate — verify price with bookmaker,,0.13769,0.3954,0.25771,,,,PARTIAL_WHEELO_SUPPORT; PARTIAL_WHEELO_SUPPORT,candidate — verify price with bookmaker
combo_4,3,Balanced,Isaac Heeney top 5 + Lachie Neale top 5 + Ed Richards top 20,candidate — verify price with bookmaker,,0.0697,0.13935,0.06965,,,,PARTIAL_WHEELO_SUPPORT; PARTIAL_WHEELO_SUPPORT; PARTIAL_WHEELO_SUPPORT,candidate — verify price with bookmaker
combo_5,3,Balanced,Isaac Heeney top 5 + Lachie Neale top 5 + Caleb Serong top 20,candidate — verify price with bookmaker,,0.03568,0.1129,0.07722,,,,PARTIAL_WHEELO_SUPPORT; PARTIAL_WHEELO_SUPPORT; PARTIAL_WHEELO_SUPPORT,candidate — verify price with bookmaker
combo_6,3,Balanced,Isaac Heeney top 5 + Lachie Neale top 5 + Clayton Oliver top 20,candidate — verify price with bookmaker,,0.03047,0.1298,0.09933,,,,PARTIAL_WHEELO_SUPPORT; PARTIAL_WHEELO_SUPPORT; PARTIAL_WHEELO_SUPPORT,candidate — verify price with bookmaker
combo_7,4,Higher return,Isaac Heeney top 5 + Lachie Neale top 5 + Ed Richards top 20 + Caleb Serong top 20,candidate — verify price with bookmaker,,0.02888,0.09935,0.07046999999999999,,,,PARTIAL_WHEELO_SUPPORT; PARTIAL_WHEELO_SUPPORT; PARTIAL_WHEELO_SUPPORT; PARTIAL_WHEELO_SUPPORT,candidate — verify price with bookmaker
combo_8,4,Higher return,Isaac Heeney top 5 + Lachie Neale top 5 + Ed Richards top 20 + Clayton Oliver top 20,candidate — verify price with bookmaker,,0.02455,0.11445,0.0899,,,,PARTIAL_WHEELO_SUPPORT; PARTIAL_WHEELO_SUPPORT; PARTIAL_WHEELO_SUPPORT; PARTIAL_WHEELO_SUPPORT,candidate — verify price with bookmaker
combo_9,4,Higher return,Isaac Heeney top 5 + Lachie Neale top 5 + Ed Richards top 20 + Noah Anderson top 20,candidate — verify price with bookmaker,,0.01381,0.03645,0.022640000000000004,,,,PARTIAL_WHEELO_SUPPORT; PARTIAL_WHEELO_SUPPORT; PARTIAL_WHEELO_SUPPORT; PARTIAL_WHEELO_SUPPORT,candidate — verify price with bookmaker
combo_10,5,Speculative,Isaac Heeney top 5 + Lachie Neale top 5 + Ed Richards top 20 + Caleb Serong top 20 + Clayton Oliver top 20,candidate — verify price with bookmaker,,0.00928,0.0808,0.07152,,,,PARTIAL_WHEELO_SUPPORT; PARTIAL_WHEELO_SUPPORT; PARTIAL_WHEELO_SUPPORT; PARTIAL_WHEELO_SUPPORT; PARTIAL_WHEELO_SUPPORT,candidate — verify price with bookmaker
combo_11,5,Speculative,Isaac Heeney top 5 + Lachie Neale top 5 + Ed Richards top 20 + Caleb Serong top 20 + Noah Anderson top 20,candidate — verify price with bookmaker,,0.00507,0.02415,0.01908,,,,PARTIAL_WHEELO_SUPPORT; PARTIAL_WHEELO_SUPPORT; PARTIAL_WHEELO_SUPPORT; PARTIAL_WHEELO_SUPPORT; PARTIAL_WHEELO_SUPPORT,candidate — verify price with bookmaker
combo_12,5,Speculative,Isaac Heeney top 5 + Lachie Neale top 5 + Ed Richards top 20 + Caleb Serong top 20 + Christian Petracca top 20,candidate — verify price with bookmaker,,0.00187,0.0259,0.02403,,,,PARTIAL_WHEELO_SUPPORT; PARTIAL_WHEELO_SUPPORT; PARTIAL_WHEELO_SUPPORT; PARTIAL_WHEELO_SUPPORT; PARTIAL_WHEELO_SUPPORT,candidate — verify price with bookmaker
