selection,market_type,player_name,team_id,line,side,n,position,threshold,neds_odds,pointsbet_odds,best_odds,best_bookmaker,price_improvement_pct
Over,TEAM_VOTES_OU,,adelaide,84.5,over,,,,1.87,1.87,1.87,Neds,0.0
Under,TEAM_VOTES_OU,,adelaide,84.5,under,,,,1.87,1.87,1.87,Neds,0.0
Over,TEAM_VOTES_OU,,brisbane_lions,87.5,over,,,,1.87,1.87,1.87,Neds,0.0
Under,TEAM_VOTES_OU,,brisbane_lions,87.5,under,,,,1.87,1.87,1.87,Neds,0.0
Over,TEAM_VOTES_OU,,carlton,72.5,over,,,,1.87,1.87,1.87,Neds,0.0
Under,TEAM_VOTES_OU,,carlton,72.5,under,,,,1.87,1.87,1.87,Neds,0.0
Over,TEAM_VOTES_OU,,collingwood,79.5,over,,,,1.87,1.87,1.87,Neds,0.0
Under,TEAM_VOTES_OU,,collingwood,79.5,under,,,,1.87,1.87,1.87,Neds,0.0
Over,TEAM_VOTES_OU,,essendon,25.5,over,,,,1.87,2.1,2.1,PointsBet,12.299465240641709
Under,TEAM_VOTES_OU,,essendon,25.5,under,,,,1.87,1.7,1.87,Neds,10.000000000000009
Over,TEAM_VOTES_OU,,geelong,86.5,over,,,,1.87,1.87,1.87,Neds,0.0
Under,TEAM_VOTES_OU,,geelong,86.5,under,,,,1.87,1.87,1.87,Neds,0.0
Over,TEAM_VOTES_OU,,gold_coast,62.5,over,,,,1.87,1.87,1.87,Neds,0.0
Under,TEAM_VOTES_OU,,gold_coast,62.5,under,,,,1.87,1.87,1.87,Neds,0.0
Over,TEAM_VOTES_OU,,greater_western_sydney,60.5,over,,,,1.87,1.87,1.87,Neds,0.0
Under,TEAM_VOTES_OU,,greater_western_sydney,60.5,under,,,,1.87,1.87,1.87,Neds,0.0
Over,TEAM_VOTES_OU,,hawthorn,86.5,over,,,,1.87,1.87,1.87,Neds,0.0
Under,TEAM_VOTES_OU,,hawthorn,86.5,under,,,,1.87,1.87,1.87,Neds,0.0
Over,TEAM_VOTES_OU,,melbourne,85.5,over,,,,1.87,1.87,1.87,Neds,0.0
Under,TEAM_VOTES_OU,,melbourne,85.5,under,,,,1.87,1.87,1.87,Neds,0.0
Over,TEAM_VOTES_OU,,north_melbourne,67.5,over,,,,1.87,1.87,1.87,Neds,0.0
Under,TEAM_VOTES_OU,,north_melbourne,67.5,under,,,,1.87,1.87,1.87,Neds,0.0
Over,TEAM_VOTES_OU,,port_adelaide,53.5,over,,,,1.87,1.87,1.87,Neds,0.0
Under,TEAM_VOTES_OU,,port_adelaide,53.5,under,,,,1.87,1.87,1.87,Neds,0.0
Over,TEAM_VOTES_OU,,richmond,16.5,over,,,,1.87,1.87,1.87,Neds,0.0
Under,TEAM_VOTES_OU,,richmond,16.5,under,,,,1.87,1.87,1.87,Neds,0.0
Over,TEAM_VOTES_OU,,st_kilda,70.5,over,,,,1.87,1.87,1.87,Neds,0.0
Under,TEAM_VOTES_OU,,st_kilda,70.5,under,,,,1.87,1.87,1.87,Neds,0.0
Over,TEAM_VOTES_OU,,sydney,102.5,over,,,,1.87,1.87,1.87,Neds,0.0
Under,TEAM_VOTES_OU,,sydney,102.5,under,,,,1.87,1.87,1.87,Neds,0.0
Over,TEAM_VOTES_OU,,west_coast,30.5,over,,,,1.87,1.87,1.87,Neds,0.0
Under,TEAM_VOTES_OU,,west_coast,30.5,under,,,,1.87,1.87,1.87,Neds,0.0
