selection_id,source,market_type,market_name,selection,player_id,player_name,team_id,line,side,n,position,threshold,odds,implied_probability,production_probability,objective_probability,production_edge_pp,objective_edge_pp,production_ev,objective_ev,internal_gap_pp,conservative_internal_probability,wheelo_ev,wheelo_rank,wheelo_support,external_consensus_ev,external_source_count,external_support,confidence,classification_rationale,data_quality_flags
neds:01d952b6-3bb0-481d-9d8b-550cbad16a2c:4ab5b211-39f6-49cd-b96b-a49c8f8dc351,neds,TOP_N,Top 5,Bailey Smith (Geelong Cats),12692,Bailey Smith,,,,5.0,,,1.01,0.9900990099009901,0.99797,0.8856,0.7870990099009934,-10.449900990099003,0.007949699999999948,-0.10554399999999997,11.236999999999997,0.8856,32.598,2.0,PARTIAL_WHEELO_SUPPORT,32.549,2.0,INSUFFICIENT_DATA,HIGH_RISK_HIGH_REWARD,only Production sees value; Wheelo materially supports it; uncertainty remains high,
neds:01d952b6-3bb0-481d-9d8b-550cbad16a2c:643841da-a4c5-4025-ad88-9ef1f6214bb4,neds,TOP_N,Top 5,Marcus Bontempelli (Western Bulldogs),12269,Marcus Bontempelli,,,,5.0,,,1.02,0.9803921568627451,0.62992,0.93965,-35.047215686274505,-4.074215686274507,-0.35748159999999995,-0.041556999999999955,30.972999999999995,0.62992,29.426,3.0,WHEELO_DISAGREES,23.642,3.0,INSUFFICIENT_DATA,NO_VALUE,no meaningful positive edge from either model,
neds:01d952b6-3bb0-481d-9d8b-550cbad16a2c:e2b786db-b087-4f97-aedc-b60404737bd5,neds,TOP_N,Top 5,Patrick Cripps (Carlton),12261,Patrick Cripps,,,,5.0,,,1.8,0.5555555555555556,0.39947,0.55005,-15.608555555555558,-0.5505555555555541,-0.28095400000000004,-0.009909999999999863,15.058000000000005,0.39947,26.744,4.0,WHEELO_DISAGREES,25.872,2.0,INSUFFICIENT_DATA,NO_VALUE,no meaningful positive edge from either model,
neds:01d952b6-3bb0-481d-9d8b-550cbad16a2c:eeeccf09-7b66-45cb-8bc0-f2b94ad4ae4c,neds,TOP_N,Top 5,Will Ashcroft (Brisbane Lions),13040,Will Ashcroft,,,,5.0,,,2.1,0.47619047619047616,0.50377,0.0182,2.7579523809523887,-45.79904761904762,0.05791700000000022,-0.96178,48.557,0.0182,25.078,5.0,PARTIAL_WHEELO_SUPPORT,17.526,3.0,INSUFFICIENT_DATA,HIGH_RISK_HIGH_REWARD,only Production sees value; Wheelo materially supports it; uncertainty remains high,
neds:01d952b6-3bb0-481d-9d8b-550cbad16a2c:2e2eb86a-69c7-44c2-90c5-c2b3b4f05994,neds,TOP_N,Top 5,Isaac Heeney (Sydney Swans),12326,Isaac Heeney,,,,5.0,,,3.6,0.2777777777777778,0.32899,0.5524,5.1212222222222215,27.46222222222222,0.18436399999999997,0.98864,22.341,0.32899,21.364,11.0,PARTIAL_WHEELO_SUPPORT,21.432,2.0,INSUFFICIENT_DATA,MEDIUM_CONFIDENCE,both models see value but internal gap 22.3pp > 7.5pp -- Production is the higher-edge outlier,
neds:01d952b6-3bb0-481d-9d8b-550cbad16a2c:8aa8017c-8cea-4490-bbd1-15dbc064f1ef,neds,TOP_N,Top 5,Jordan Dawson (Adelaide Crows),12516,Jordan Dawson,,,,5.0,,,4.5,0.2222222222222222,0.09754,0.0042,-12.46822222222222,-21.80222222222222,-0.56107,-0.9811,9.334000000000001,0.0042,23.532,7.0,WHEELO_DISAGREES,16.510666666666665,3.0,INSUFFICIENT_DATA,NO_VALUE,no meaningful positive edge from either model,
neds:01d952b6-3bb0-481d-9d8b-550cbad16a2c:37a8d3ee-a97f-4276-8b6e-ac8791f258e9,neds,TOP_N,Top 5,Jai Newcombe (Hawthorn),12915,Jai Newcombe,,,,5.0,,,5.5,0.18181818181818182,0.04548,0.1841,-13.633818181818183,0.22818181818181904,-0.74986,0.012550000000000061,13.862000000000002,0.04548,24.021,6.0,WHEELO_DISAGREES,15.673666666666668,3.0,INSUFFICIENT_DATA,MODEL_DISAGREEMENT,only one internal model sees value and Wheelo does not corroborate -- evidence too divided for a confident conclusion,
neds:01d952b6-3bb0-481d-9d8b-550cbad16a2c:c5d8b076-30ff-43d9-b665-e367fa271bab,neds,TOP_N,Top 5,Lachie Neale (Brisbane Lions),12055,Lachie Neale,,,,5.0,,,5.5,0.18181818181818182,0.34693,0.37855,16.511181818181818,19.673181818181817,0.908115,1.0820249999999998,3.161999999999998,0.34693,22.818,8.0,PARTIAL_WHEELO_SUPPORT,16.272666666666666,3.0,INSUFFICIENT_DATA,HIGH_CONFIDENCE_WHEELO_CONFIRMED,"both models positive EV, both above implied probability, internal gap 3.2pp <= 7.5pp, Wheelo supports",
neds:01d952b6-3bb0-481d-9d8b-550cbad16a2c:829580f7-b7bd-4d4f-af28-ed9528c0ff49,neds,TOP_N,Top 5,Max Gawn (Melbourne),11966,Max Gawn,,,,5.0,,,6.0,0.16666666666666666,0.0736,0.13655,-9.306666666666667,-3.0116666666666654,-0.5584,-0.18069999999999997,6.295000000000001,0.0736,19.552,13.0,WHEELO_DISAGREES,16.184,3.0,INSUFFICIENT_DATA,NO_VALUE,no meaningful positive edge from either model,
neds:01d952b6-3bb0-481d-9d8b-550cbad16a2c:a8c0f558-5260-4e52-8e9c-cfdd01e4b13d,neds,TOP_N,Top 5,Nasiah Wanganeen-Milera (St Kilda),12950,Nasiah Wanganeen-Milera,,,,5.0,,,12.0,0.08333333333333333,0.05952,0.00145,-2.3813333333333326,-8.188333333333334,-0.28576,-0.9826,5.807,0.00145,22.352,9.0,WHEELO_DISAGREES,22.676,2.0,INSUFFICIENT_DATA,NO_VALUE,no meaningful positive edge from either model,
