market_type,market_name,selection,player,team,opponent_or_pair,line,odds,implied_probability,model_probability,probability_edge_pp,expected_value,model_disagreement,structural_break_sensitivity,simulation_uncertainty,confidence_tier,audit_status,audit_notes,quality_label,source_url,timestamp
TOP_N,Top 10 Finish (Includes Ineligible),Zak Butters,Zak Butters,,,10.0,4.75,0.21052631578947367,0.81155,60.10236842105263,2.8548625,6.428976510436936,4.498847565358734,13.0,HIGH,VERIFIED_BUT_MODEL_SENSITIVE,confidence tier HIGH: elevated structural-break sensitivity and/or model disagreement for this player,MODEL-SENSITIVE VALUE,https://www.sportsbet.com.au/betting/australian-rules/afl-brownlow-medal/top-10-finish-includes-ineligible--10804256,2026-09-17T04:16:34.686425+00:00
PICK_YOUR_OWN_VOTES,To poll 10 or more votes,Hugo Garcia,Hugo Garcia,,,10.0,8.75,0.11428571428571428,0.65563,54.13442857142857,4.7367625,2.998778291239515,2.998778291239515,12.0,HIGH,VERIFIED_BUT_MODEL_SENSITIVE,confidence tier HIGH: elevated structural-break sensitivity and/or model disagreement for this player,MODEL-SENSITIVE VALUE,https://www.sportsbet.com.au/betting/australian-rules/afl-brownlow-pick-your-own-vote/to-poll-10-or-more-votes-10865473,2026-09-17T04:16:34.686425+00:00
TOP_N,Top 10 Finish (Includes Ineligible),Harry Sheezel,Harry Sheezel,,,10.0,2.5,0.4,0.89792,49.792,1.2448000000000001,3.295562707918688,2.261067858862265,15.0,HIGH,VERIFIED_BUT_MODEL_SENSITIVE,confidence tier HIGH: elevated structural-break sensitivity and/or model disagreement for this player,MODEL-SENSITIVE VALUE,https://www.sportsbet.com.au/betting/australian-rules/afl-brownlow-medal/top-10-finish-includes-ineligible--10804256,2026-09-17T04:16:34.686425+00:00
GROUP_H2H,Brownlow Group - Group B,Harry Sheezel,Harry Sheezel,,Group B,,4.0,0.25,0.7329241666666666,48.29241666666666,1.9316966666666664,3.295562707918688,2.261067858862265,15.0,HIGH,VERIFIED_BUT_MODEL_SENSITIVE,confidence tier HIGH: elevated structural-break sensitivity and/or model disagreement for this player,MODEL-SENSITIVE VALUE,https://www.sportsbet.com.au/betting/australian-rules/afl-brownlow-medal/brownlow-group-group-b-10915096,2026-09-17T04:16:34.686425+00:00
PICK_YOUR_OWN_VOTES,To Poll a Vote,Mabior Chol,Mabior Chol,,,1.0,4.0,0.25,0.72645,47.645,1.9058000000000002,0.1252168344135031,0.1252168344135031,4.0,MEDIUM,VERIFIED_BUT_MODEL_SENSITIVE,confidence tier MEDIUM: elevated structural-break sensitivity and/or model disagreement for this player,MODEL-SENSITIVE VALUE,https://www.sportsbet.com.au/betting/australian-rules/afl-brownlow-pick-your-own-vote/to-poll-a-vote-10868936,2026-09-17T04:16:34.686425+00:00
PLAYER_H2H,AFL Brownlow H2H's,Max Hall to outpoll Murphy Reid,Max Hall,,Murphy Reid,,2.46,0.4065040650406504,0.86952,46.30159349593496,1.1390192,1.5980022838115655,1.584897362457781,12.0,HIGH,SETTLEMENT_UNCERTAIN,non-trivial tie probability between the two players (0.045),REVIEW REQUIRED,https://www.sportsbet.com.au/betting/australian-rules/afl-brownlow-h2hs/murphy-reid-v-max-hall-10911800,2026-09-17T04:16:34.686425+00:00
PICK_YOUR_OWN_VOTES,To Poll a Vote,Will Hayward,Will Hayward,,,1.0,6.0,0.16666666666666666,0.60519,43.852333333333334,2.6311400000000003,0.2187155957174336,0.2047063876651971,5.0,MEDIUM,VERIFIED_BUT_MODEL_SENSITIVE,confidence tier MEDIUM: elevated structural-break sensitivity and/or model disagreement for this player,MODEL-SENSITIVE VALUE,https://www.sportsbet.com.au/betting/australian-rules/afl-brownlow-pick-your-own-vote/to-poll-a-vote-10868936,2026-09-17T04:16:34.686425+00:00
PICK_YOUR_OWN_VOTES,To Poll a Vote,Marcus Windhager,Marcus Windhager,,,1.0,4.25,0.23529411764705882,0.67327,43.79758823529412,1.8613975000000003,0.504590784735589,0.504590784735589,6.0,HIGH,VERIFIED_BUT_MODEL_SENSITIVE,confidence tier HIGH: elevated structural-break sensitivity and/or model disagreement for this player,MODEL-SENSITIVE VALUE,https://www.sportsbet.com.au/betting/australian-rules/afl-brownlow-pick-your-own-vote/to-poll-a-vote-10868936,2026-09-17T04:16:34.686425+00:00
PICK_YOUR_OWN_VOTES,To Poll a Vote,Jordon Sweet,Jordon Sweet,,,1.0,2.2,0.45454545454545453,0.88728,43.27345454545454,0.952016,1.3720861614723754,0.8202596204522381,8.0,HIGH,VERIFIED_BUT_MODEL_SENSITIVE,confidence tier HIGH: elevated structural-break sensitivity and/or model disagreement for this player,MODEL-SENSITIVE VALUE,https://www.sportsbet.com.au/betting/australian-rules/afl-brownlow-pick-your-own-vote/to-poll-a-vote-10868936,2026-09-17T04:16:34.686425+00:00
TOP_N,Top 5 Finish (Includes Ineligible),Harry Sheezel,Harry Sheezel,,,5.0,10.0,0.1,0.52591,42.591,4.2591,3.295562707918688,2.261067858862265,15.0,HIGH,VERIFIED_BUT_MODEL_SENSITIVE,confidence tier HIGH: elevated structural-break sensitivity and/or model disagreement for this player,MODEL-SENSITIVE VALUE,https://www.sportsbet.com.au/betting/australian-rules/afl-brownlow-medal/top-5-finish-includes-ineligible--10804245,2026-09-17T04:16:34.686425+00:00
