grouping,group,subset,bets,wins,pushes,losses,hit_rate,flat_unit_pnl,roi,avg_model_prob_conservative,avg_production_prob,avg_objective_prob,avg_implied_prob,avg_odds,small_sample
market_type,EXACT_POSITION,all priced selections,16,1,0,15,0.0625,13.0,0.8125,0.0357,0.0616,0.0576,0.0889,33.312,True
market_type x bookmaker,EXACT_POSITION @ pointsbet_1,all priced selections,16,1,0,15,0.0625,13.0,0.8125,0.0357,0.0616,0.0576,0.0889,33.312,True
market_type,PLAYER_H2H,all priced selections,48,23,2,23,0.5,-4.92,-0.1025,0.3066,0.4616,0.473,0.535,1.887,False
market_type x bookmaker,PLAYER_H2H @ neds,all priced selections,16,8,0,8,0.5,-1.62,-0.1012,0.3008,0.4623,0.4722,0.5374,1.872,True
market_type x bookmaker,PLAYER_H2H @ pointsbet_2,all priced selections,32,15,2,15,0.5,-3.3,-0.1031,0.3095,0.4613,0.4733,0.5339,1.894,False
market_type,PLAYER_VOTES_OU,all priced selections,38,19,0,19,0.5,-2.47,-0.065,0.3077,0.5,0.5,0.5348,1.87,False
market_type x bookmaker,PLAYER_VOTES_OU @ neds,all priced selections,38,19,0,19,0.5,-2.47,-0.065,0.3077,0.5,0.5,0.5348,1.87,False
market_type,TEAM_VOTES_OU,all priced selections,70,35,0,35,0.5,-4.72,-0.0674,0.3165,0.5,0.5,0.5347,1.871,False
market_type x bookmaker,TEAM_VOTES_OU @ neds,all priced selections,36,18,0,18,0.5,-2.34,-0.065,0.3173,0.5,0.5,0.5348,1.87,False
market_type x bookmaker,TEAM_VOTES_OU @ pointsbet_1,all priced selections,34,17,0,17,0.5,-2.38,-0.07,0.3156,0.5,0.5,0.5346,1.872,False
market_type,TOP_N,all priced selections,180,49,0,131,0.2722222222222222,-84.5433,-0.4697,0.1664,0.246,0.2469,0.2782,27.091,False
market_type x bookmaker,TOP_N @ neds,all priced selections,102,25,0,77,0.24509803921568626,-50.55,-0.4956,0.1528,0.2254,0.2281,0.2521,29.377,False
market_type x bookmaker,TOP_N @ pointsbet_1,all priced selections,78,24,0,54,0.3076923076923077,-33.9933,-0.4358,0.1841,0.2728,0.2715,0.3124,24.102,False
market_type,TO_POLL_A_VOTE,all priced selections,129,50,0,79,0.3875968992248062,-28.88,-0.2239,0.3491,0.4592,0.4546,0.525,2.442,False
