series,model,bin,n,mean_predicted,actual_frequency,gap_pp
Match P3 (3 votes),Objective,0-10%,9011,0.0039,0.0058,0.18
Match P3 (3 votes),Objective,10-20%,149,0.1432,0.1946,5.14
Match P3 (3 votes),Objective,20-30%,65,0.2441,0.2615,1.75
Match P3 (3 votes),Objective,30-40%,48,0.3472,0.2292,-11.81
Match P3 (3 votes),Objective,40-50%,30,0.4415,0.3,-14.15
Match P3 (3 votes),Objective,50-60%,23,0.55,0.3913,-15.87
Match P3 (3 votes),Objective,60-70%,31,0.6453,0.4194,-22.59
Match P3 (3 votes),Objective,70-80%,31,0.7492,0.7419,-0.73
Match P3 (3 votes),Objective,80-90%,16,0.8509,0.875,2.41
Match P3 (3 votes),Objective,90-100%,36,0.9575,0.8333,-12.42
Match P2 (2 votes),Objective,0-10%,8811,0.0059,0.0085,0.26
Match P2 (2 votes),Objective,10-20%,268,0.1435,0.1567,1.32
Match P2 (2 votes),Objective,20-30%,217,0.2528,0.1659,-8.69
Match P2 (2 votes),Objective,30-40%,88,0.3402,0.2955,-4.48
Match P2 (2 votes),Objective,40-50%,26,0.4467,0.3846,-6.21
Match P2 (2 votes),Objective,50-60%,15,0.5436,0.4,-14.36
Match P2 (2 votes),Objective,60-70%,9,0.6642,0.6667,0.25
Match P2 (2 votes),Objective,70-80%,4,0.7637,1.0,23.63
Match P2 (2 votes),Objective,80-90%,2,0.8206,0.5,-32.06
Match P2 (2 votes),Objective,90-100%,0,,,
Match P1 (1 vote),Objective,0-10%,8730,0.0077,0.0101,0.24
Match P1 (1 vote),Objective,10-20%,436,0.1468,0.1376,-0.92
Match P1 (1 vote),Objective,20-30%,221,0.2456,0.1855,-6.01
Match P1 (1 vote),Objective,30-40%,36,0.3342,0.3056,-2.87
Match P1 (1 vote),Objective,40-50%,12,0.4342,0.3333,-10.08
Match P1 (1 vote),Objective,50-60%,5,0.5215,0.4,-12.15
Match P1 (1 vote),Objective,60-70%,0,,,
Match P1 (1 vote),Objective,70-80%,0,,,
Match P1 (1 vote),Objective,80-90%,0,,,
Match P1 (1 vote),Objective,90-100%,0,,,
Match any vote (P3+P2+P1),Objective,0-10%,8269,0.0086,0.0111,0.25
Match any vote (P3+P2+P1),Objective,10-20%,337,0.1405,0.1929,5.24
Match any vote (P3+P2+P1),Objective,20-30%,167,0.2456,0.2335,-1.21
Match any vote (P3+P2+P1),Objective,30-40%,125,0.3441,0.384,3.99
Match any vote (P3+P2+P1),Objective,40-50%,73,0.4479,0.4658,1.79
Match any vote (P3+P2+P1),Objective,50-60%,71,0.5518,0.5352,-1.66
Match any vote (P3+P2+P1),Objective,60-70%,68,0.6497,0.5294,-12.02
Match any vote (P3+P2+P1),Objective,70-80%,64,0.7508,0.7188,-3.21
Match any vote (P3+P2+P1),Objective,80-90%,63,0.8517,0.6349,-21.68
Match any vote (P3+P2+P1),Objective,90-100%,203,0.9716,0.8916,-8.0
Match P3 (3 votes),Production,0-10%,8098,0.0046,0.002,-0.26
Match P3 (3 votes),Production,10-20%,159,0.1434,0.1321,-1.13
Match P3 (3 votes),Production,20-30%,83,0.2449,0.2771,3.22
Match P3 (3 votes),Production,30-40%,39,0.342,0.3846,4.26
Match P3 (3 votes),Production,40-50%,36,0.4382,0.5,6.18
Match P3 (3 votes),Production,50-60%,27,0.5485,0.7407,19.22
Match P3 (3 votes),Production,60-70%,30,0.6506,0.8333,18.28
Match P3 (3 votes),Production,70-80%,28,0.7407,0.8214,8.07
Match P3 (3 votes),Production,80-90%,23,0.8576,0.913,5.55
Match P3 (3 votes),Production,90-100%,24,0.9448,1.0,5.52
Match P2 (2 votes),Production,0-10%,7908,0.0069,0.0035,-0.34
Match P2 (2 votes),Production,10-20%,269,0.1447,0.1896,4.49
Match P2 (2 votes),Production,20-30%,261,0.251,0.272,2.1
Match P2 (2 votes),Production,30-40%,52,0.3404,0.3462,0.58
Match P2 (2 votes),Production,40-50%,31,0.4407,0.4839,4.32
Match P2 (2 votes),Production,50-60%,12,0.5306,0.6667,13.61
Match P2 (2 votes),Production,60-70%,4,0.6436,1.0,35.64
Match P2 (2 votes),Production,70-80%,8,0.7342,1.0,26.58
Match P2 (2 votes),Production,80-90%,1,0.836,1.0,16.4
Match P2 (2 votes),Production,90-100%,1,0.919,1.0,8.1
Match P1 (1 vote),Production,0-10%,7836,0.0093,0.0066,-0.27
Match P1 (1 vote),Production,10-20%,447,0.1486,0.1857,3.71
Match P1 (1 vote),Production,20-30%,233,0.238,0.2361,-0.2
Match P1 (1 vote),Production,30-40%,21,0.3374,0.381,4.35
Match P1 (1 vote),Production,40-50%,7,0.4347,0.1429,-29.18
Match P1 (1 vote),Production,50-60%,2,0.5386,1.0,46.14
Match P1 (1 vote),Production,60-70%,1,0.6817,1.0,31.83
Match P1 (1 vote),Production,70-80%,0,,,
Match P1 (1 vote),Production,80-90%,0,,,
Match P1 (1 vote),Production,90-100%,0,,,
Match any vote (P3+P2+P1),Production,0-10%,7380,0.0113,0.0038,-0.75
Match any vote (P3+P2+P1),Production,10-20%,340,0.1421,0.1118,-3.04
Match any vote (P3+P2+P1),Production,20-30%,160,0.2437,0.3312,8.76
Match any vote (P3+P2+P1),Production,30-40%,127,0.3504,0.4803,12.99
Match any vote (P3+P2+P1),Production,40-50%,83,0.4505,0.494,4.35
Match any vote (P3+P2+P1),Production,50-60%,75,0.5532,0.6133,6.02
Match any vote (P3+P2+P1),Production,60-70%,68,0.6473,0.7794,13.21
Match any vote (P3+P2+P1),Production,70-80%,76,0.7542,0.8289,7.48
Match any vote (P3+P2+P1),Production,80-90%,57,0.8528,0.9123,5.95
Match any vote (P3+P2+P1),Production,90-100%,181,0.9764,0.9834,0.7
Match P3 (3 votes),Wheelo,0-10%,8914,0.0026,0.0017,-0.09
Match P3 (3 votes),Wheelo,10-20%,165,0.1452,0.0848,-6.04
Match P3 (3 votes),Wheelo,20-30%,103,0.2472,0.2621,1.5
Match P3 (3 votes),Wheelo,30-40%,61,0.3387,0.2951,-4.36
Match P3 (3 votes),Wheelo,40-50%,40,0.4459,0.575,12.91
Match P3 (3 votes),Wheelo,50-60%,25,0.5416,0.6,5.84
Match P3 (3 votes),Wheelo,60-70%,29,0.6556,0.8276,17.2
Match P3 (3 votes),Wheelo,70-80%,29,0.753,0.8966,14.35
Match P3 (3 votes),Wheelo,80-90%,16,0.8506,1.0,14.94
Match P3 (3 votes),Wheelo,90-100%,29,0.9557,1.0,4.43
Market: To Poll a Vote,Production,0-10%,7,0.0535,0.4286,37.51
Market: To Poll a Vote,Production,10-20%,10,0.1593,0.3,14.07
Market: To Poll a Vote,Production,20-30%,16,0.2507,0.1875,-6.32
Market: To Poll a Vote,Production,30-40%,22,0.3554,0.2727,-8.27
Market: To Poll a Vote,Production,40-50%,19,0.4479,0.3158,-13.21
Market: To Poll a Vote,Production,50-60%,19,0.5503,0.4211,-12.93
Market: To Poll a Vote,Production,60-70%,8,0.6543,0.75,9.57
Market: To Poll a Vote,Production,70-80%,17,0.7386,0.4706,-26.8
Market: To Poll a Vote,Production,80-90%,7,0.8391,0.7143,-12.48
Market: To Poll a Vote,Production,90-100%,2,0.9434,0.5,-44.34
Market: To Poll a Vote,Objective,0-10%,16,0.066,0.1875,12.15
Market: To Poll a Vote,Objective,10-20%,15,0.1546,0.2667,11.21
Market: To Poll a Vote,Objective,20-30%,12,0.2434,0.25,0.66
Market: To Poll a Vote,Objective,30-40%,22,0.3481,0.2727,-7.53
Market: To Poll a Vote,Objective,40-50%,8,0.4486,0.5,5.14
Market: To Poll a Vote,Objective,50-60%,14,0.5452,0.4286,-11.66
Market: To Poll a Vote,Objective,60-70%,11,0.6544,0.5455,-10.89
Market: To Poll a Vote,Objective,70-80%,14,0.7432,0.5714,-17.17
Market: To Poll a Vote,Objective,80-90%,4,0.8618,0.5,-36.18
Market: To Poll a Vote,Objective,90-100%,13,0.9556,0.6154,-34.02
Market: To Poll a Vote,Bookmaker implied,0-10%,0,,,
Market: To Poll a Vote,Bookmaker implied,10-20%,8,0.167,0.125,-4.2
Market: To Poll a Vote,Bookmaker implied,20-30%,21,0.245,0.2381,-0.69
Market: To Poll a Vote,Bookmaker implied,30-40%,14,0.3429,0.3571,1.43
Market: To Poll a Vote,Bookmaker implied,40-50%,14,0.4478,0.3571,-9.07
Market: To Poll a Vote,Bookmaker implied,50-60%,22,0.5429,0.3182,-22.47
Market: To Poll a Vote,Bookmaker implied,60-70%,19,0.6561,0.5789,-7.71
Market: To Poll a Vote,Bookmaker implied,70-80%,8,0.7444,0.75,0.56
Market: To Poll a Vote,Bookmaker implied,80-90%,18,0.8477,0.4444,-40.33
Market: To Poll a Vote,Bookmaker implied,90-100%,5,0.9091,0.4,-50.91
Market: Player votes O/U,Production,0-10%,3,0.0731,0.6667,59.35
Market: Player votes O/U,Production,10-20%,5,0.1554,0.6,44.46
Market: Player votes O/U,Production,20-30%,2,0.2437,0.5,25.63
Market: Player votes O/U,Production,30-40%,5,0.3551,0.4,4.49
Market: Player votes O/U,Production,40-50%,4,0.4655,0.25,-21.55
Market: Player votes O/U,Production,50-60%,4,0.5345,0.75,21.55
Market: Player votes O/U,Production,60-70%,5,0.6449,0.6,-4.49
Market: Player votes O/U,Production,70-80%,2,0.7563,0.5,-25.63
Market: Player votes O/U,Production,80-90%,5,0.8446,0.4,-44.46
Market: Player votes O/U,Production,90-100%,3,0.9269,0.3333,-59.35
Market: Player votes O/U,Objective,0-10%,6,0.0662,0.3333,26.71
Market: Player votes O/U,Objective,10-20%,3,0.1606,0.6667,50.61
Market: Player votes O/U,Objective,20-30%,5,0.2776,0.6,32.24
Market: Player votes O/U,Objective,30-40%,2,0.3371,1.0,66.29
Market: Player votes O/U,Objective,40-50%,3,0.4518,0.3333,-11.85
Market: Player votes O/U,Objective,50-60%,3,0.5482,0.6667,11.84
Market: Player votes O/U,Objective,60-70%,2,0.6629,0.0,-66.29
Market: Player votes O/U,Objective,70-80%,5,0.7225,0.4,-32.25
Market: Player votes O/U,Objective,80-90%,3,0.8394,0.3333,-50.61
Market: Player votes O/U,Objective,90-100%,6,0.9338,0.6667,-26.71
Market: Player votes O/U,Bookmaker implied,0-10%,0,,,
Market: Player votes O/U,Bookmaker implied,10-20%,0,,,
Market: Player votes O/U,Bookmaker implied,20-30%,0,,,
Market: Player votes O/U,Bookmaker implied,30-40%,0,,,
Market: Player votes O/U,Bookmaker implied,40-50%,0,,,
