actual_rank,actual_rank_eligible,player_id,player_name,team_id,role,eligible,actual_votes,production_ev,production_rank,production_error,production_rank_error,objective_ev,objective_rank,objective_error,objective_rank_error,wheelo_ev,wheelo_rank,wheelo_error,wheelo_rank_error,production_prob_rank_1,production_prob_top3_rank,production_prob_top10_rank,production_mean_rank,production_sim_p2_5,production_sim_p97_5,production_in_sim_95pct_interval,objective_prob_rank_1,objective_prob_top3_rank,objective_prob_top10_rank,objective_mean_rank,objective_sim_p2_5,objective_sim_p97_5,objective_in_sim_95pct_interval
1,1,12943,Nick Daicos,collingwood,MIDFIELDER,True,47,47.12015010114072,1.0,0.12015010114072311,0.0,38.67739890966238,1,-8.32260109033762,0,46.079,1.0,-0.9209999999999994,0.0,0.99074,0.99999,1.0,1.00929,41.0,53.0,True,0.88885,0.99575,1.0,1.14085,32.0,45.0,False
2,2,12692,Bailey Smith,geelong,MIDFIELDER,True,36,35.37331884523271,2.0,-0.6266811547672901,0.0,30.903375777174592,3,-5.096624222825408,1,32.598,2.0,-3.402000000000001,0.0,0.00924,0.98329,0.99993,2.08759,28.0,43.0,True,0.0407,0.6111,0.99495,3.4765,25.0,38.0,True
3,3,12269,Marcus Bontempelli,western_bulldogs,MIDFIELDER,True,34,25.816585516313165,3.0,-8.183414483686835,0.0,31.991781071201437,2,-2.008218928798563,-1,29.426,3.0,-4.574000000000002,0.0,0.0,0.2958,0.92806,5.49521,19.0,33.0,False,0.05765,0.7487,0.99845,2.95515,26.0,38.0,True
4,4,11966,Max Gawn,melbourne,RUCK,True,28,19.01653471955606,13.0,-8.98346528044394,9.0,22.932131203808503,8,-5.067868796191497,4,19.552,13.0,-8.448,9.0,0.0,0.01707,0.3242,14.36516,12.0,27.0,False,0.00065,0.0351,0.51825,11.5375,15.0,31.0,True
5,5,13034,Harry Sheezel,north_melbourne,MIDFIELDER,True,27,22.634826095460514,8.0,-4.3651739045394855,3.0,20.11016787321429,15,-6.889832126785709,10,21.764,10.0,-5.236000000000001,5.0,0.0,0.08569,0.69707,8.77614,16.0,30.0,True,0.0,0.0052,0.2372,16.07365,14.0,27.0,True
5,5,12261,Patrick Cripps,carlton,MIDFIELDER,True,27,23.91622694318936,5.0,-3.0837730568106387,0.0,27.534542216688813,5,0.5345422166888127,0,26.744,4.0,-0.2560000000000002,-1.0,1e-05,0.14605,0.79966,7.44408,17.0,31.0,True,0.0062,0.2138,0.91775,5.88355,21.0,34.0,True
5,5,13040,Will Ashcroft,brisbane_lions,MIDFIELDER,True,27,24.7805123150738,4.0,-2.2194876849262,-1.0,19.78976590914119,16,-7.210234090858808,11,25.078,5.0,-1.9220000000000006,0.0,1e-05,0.18521,0.89514,6.2749,19.0,31.0,True,0.0,0.002,0.18955,16.63005,13.0,26.0,False
8,8,12326,Isaac Heeney,sydney,MIDFIELDER,True,26,23.395768591141263,7.0,-2.6042314088587375,-1.0,27.537118392264727,4,1.537118392264727,-4,21.364,11.0,-4.635999999999999,3.0,0.0,0.09885,0.77906,7.83054,17.0,30.0,True,0.00315,0.17445,0.94355,5.7327,22.0,34.0,True
8,8,12698,Zak Butters,port_adelaide,MIDFIELDER,True,26,19.780257741562025,12.0,-6.219742258437975,4.0,20.52419612831691,14,-5.475803871683091,6,18.685,16.0,-7.315000000000001,8.0,0.0,0.01594,0.38276,12.77592,13.0,27.0,True,0.0,0.00405,0.2569,15.22905,14.0,27.0,True
10,10,12798,Izak Rankine,adelaide,MIDFIELDER,True,25,20.84391247062538,9.0,-4.15608752937462,-1.0,21.261864465417887,11,-3.7381355345821135,1,19.101,14.0,-5.899000000000001,4.0,0.0,0.01115,0.5094,10.81318,16.0,26.0,True,0.0,0.001,0.27615,13.57385,17.0,26.0,True
11,11,12410,Clayton Oliver,greater_western_sydney,MIDFIELDER,True,23,13.982747072444973,21.0,-9.017252927555027,10.0,21.3815151498554,10,-1.6184848501446005,-1,10.488,34.0,-12.512,23.0,0.0,0.00075,0.04507,26.48672,7.0,22.0,False,5e-05,0.01285,0.3506,14.0305,14.0,29.0,True
12,,12956,Jason Horne-Francis,port_adelaide,MIDFIELDER,False,22,16.961239635660696,17.0,-5.0387603643393035,5.0,19.024726868399476,18,-2.975273131600524,6,19.827,12.0,-2.1729999999999983,0.0,0.0,0.00142,0.12431,17.84293,11.0,23.0,True,0.0,0.0019,0.1479,18.25515,13.0,26.0,True
13,12,12915,Jai Newcombe,hawthorn,MIDFIELDER,True,21,18.548093291501047,15.0,-2.451906708498953,2.0,24.042781305812497,7,3.042781305812497,-6,24.021,6.0,3.021000000000001,-7.0,0.0,0.0091,0.25655,15.09993,12.0,26.0,True,0.00055,0.0451,0.64815,9.65755,17.0,31.0,True
13,12,12516,Jordan Dawson,adelaide,MIDFIELDER,True,21,20.48405454386381,10.0,-0.5159454561361905,-3.0,17.841332739614746,21,-3.158667260385254,8,23.532,7.0,2.532,-6.0,0.0,0.01989,0.4579,11.54021,14.0,27.0,True,0.0,0.0003,0.07095,20.59935,12.0,24.0,True
13,12,12950,Nasiah Wanganeen-Milera,st_kilda,MEDIUM_DEFENDER,True,21,20.04957996233928,11.0,-0.9504200376607201,-2.0,17.236941373814098,23,-3.7630586261859023,10,22.352,9.0,1.3520000000000003,-4.0,0.0,0.00874,0.39752,12.0611,15.0,26.0,True,0.0,5e-05,0.04515,21.96245,12.0,23.0,True
16,15,12771,Kysaiah Pickett,melbourne,MIDFIELDER,True,20,18.93946379833953,14.0,-1.0605362016604687,-2.0,15.847297253786207,25,-4.152702746213793,9,18.823,15.0,-1.1769999999999996,-1.0,0.0,0.00258,0.22836,13.72534,14.0,24.0,True,0.0,5e-05,0.01955,25.2135,10.0,22.0,True
16,15,12055,Lachie Neale,brisbane_lions,MIDFIELDER,True,20,23.45663122741845,6.0,3.4566312274184483,-10.0,26.04633177453362,6,6.04633177453362,-10,22.818,8.0,2.8180000000000014,-8.0,0.0,0.11187,0.79066,7.6655,17.0,30.0,True,0.00195,0.1144,0.83125,7.2768,19.0,33.0,True
18,17,12590,Luke Davies-Uniacke,north_melbourne,MIDFIELDER,True,19,12.845630419671991,24.0,-6.154369580328009,6.0,20.554888434038077,13,1.5548884340380766,-5,16.942999999999998,17.0,-2.057000000000002,-1.0,0.0,6e-05,0.01229,29.449,7.0,19.0,True,0.0,0.0038,0.26615,15.24355,14.0,27.0,True
18,17,12779,Luke Jackson,fremantle,RUCK,True,19,12.705943906955696,27.0,-6.294056093044304,9.0,22.58964273292247,9,3.5896427329224707,-9,14.919,23.0,-4.0809999999999995,5.0,0.0,0.00025,0.01996,30.83427,6.0,20.0,True,0.0002,0.02165,0.4842,11.7249,16.0,30.0,True
20,19,12862,Errol Gulden,sydney,MIDFIELDER,True,17,14.394967702004797,19.0,-2.605032297995203,-1.0,9.445238560942462,42,-7.554761439057538,22,15.823,20.0,-1.1769999999999996,0.0,0.0,0.0,0.00151,23.16533,11.0,18.0,True,0.0,0.0,0.0,44.4708,5.0,14.0,False
