model,actual_3_role,n_matches,hit_3,hit_3_rate,in_top3_rate,mean_p3_of_actual_3,share_of_all_3_voters,small_sample,share_of_model_top_picks
Objective,KEY_FORWARD,5,1,0.2,0.6,0.2487,0.024,True,0.01
Objective,MEDIUM_DEFENDER,14,6,0.429,0.786,0.3637,0.068,False,0.029
Objective,MEDIUM_FORWARD,15,1,0.067,0.6,0.1091,0.072,False,0.014
Objective,MIDFIELDER,134,74,0.552,0.881,0.4784,0.647,False,0.705
Objective,RUCK,11,7,0.636,0.909,0.4792,0.053,False,0.106
Objective,UNKNOWN,28,15,0.536,0.75,0.4544,0.135,False,0.135
Objective,ALL,207,104,0.502,0.831,0.4352,1.0,False,
Production,KEY_FORWARD,5,5,1.0,1.0,0.8116,0.024,True,0.039
Production,MEDIUM_DEFENDER,14,11,0.786,0.929,0.5402,0.068,False,0.087
Production,MEDIUM_FORWARD,15,12,0.8,0.933,0.5628,0.072,False,0.092
Production,MIDFIELDER,134,95,0.709,0.955,0.5272,0.647,False,0.604
Production,RUCK,11,4,0.364,1.0,0.3355,0.053,False,0.039
Production,UNKNOWN,28,18,0.643,0.857,0.4986,0.135,False,0.14
Production,ALL,207,145,0.7,0.942,0.5236,1.0,False,
Wheelo,KEY_FORWARD,5,5,1.0,1.0,0.7656,0.024,True,0.034
Wheelo,MEDIUM_DEFENDER,14,12,0.857,0.929,0.5654,0.068,False,0.097
Wheelo,MEDIUM_FORWARD,15,10,0.667,0.933,0.5435,0.072,False,0.077
Wheelo,MIDFIELDER,134,100,0.746,0.918,0.5433,0.647,False,0.609
Wheelo,RUCK,11,6,0.545,1.0,0.3721,0.053,False,0.039
Wheelo,UNKNOWN,28,17,0.607,0.929,0.5065,0.135,False,0.145
Wheelo,ALL,207,150,0.725,0.928,0.5361,1.0,False,
