model,round,n_matches,hit_3,in_top3,exact_321,unordered_top3,mean_ev_mae,mean_log_loss,hit_3_rate,in_top3_rate,exact_321_rate
Objective,0,5,4,5,0,2,0.1075,0.8665,0.8,1.0,0.0
Objective,1,9,4,6,1,2,0.127,1.628,0.4444,0.6667,0.1111
Objective,2,7,3,5,0,0,0.1326,1.8717,0.4286,0.7143,0.0
Objective,3,7,4,5,1,1,0.1174,1.609,0.5714,0.7143,0.1429
Objective,4,8,5,8,1,3,0.1067,1.0311,0.625,1.0,0.125
Objective,5,9,7,8,0,2,0.1124,0.8695,0.7778,0.8889,0.0
Objective,6,9,3,7,0,2,0.1178,2.1747,0.3333,0.7778,0.0
Objective,7,9,5,8,0,2,0.1002,1.1751,0.5556,0.8889,0.0
Objective,8,9,2,7,0,2,0.111,2.0104,0.2222,0.7778,0.0
Objective,9,9,6,7,0,1,0.1289,1.1225,0.6667,0.7778,0.0
Objective,10,9,5,8,0,2,0.1038,1.2637,0.5556,0.8889,0.0
Objective,11,9,3,7,0,2,0.1108,1.7245,0.3333,0.7778,0.0
Objective,12,7,3,6,1,1,0.1374,1.4775,0.4286,0.8571,0.1429
Objective,13,8,2,7,0,2,0.1065,1.5173,0.25,0.875,0.0
Objective,14,7,4,6,0,1,0.0985,1.0978,0.5714,0.8571,0.0
Objective,15,7,6,6,1,2,0.0895,0.7406,0.8571,0.8571,0.1429
Objective,16,7,5,6,3,4,0.0988,0.9937,0.7143,0.8571,0.4286
Objective,17,9,4,7,0,0,0.1225,1.3154,0.4444,0.7778,0.0
Objective,18,9,4,6,1,1,0.1327,1.6245,0.4444,0.6667,0.1111
Objective,19,9,4,8,1,2,0.1301,2.0017,0.4444,0.8889,0.1111
Objective,20,9,4,6,0,1,0.1225,1.8427,0.4444,0.6667,0.0
Objective,21,9,4,8,0,1,0.1179,1.7332,0.4444,0.8889,0.0
Objective,22,9,5,9,0,1,0.104,1.177,0.5556,1.0,0.0
Objective,23,9,3,8,0,0,0.1457,1.744,0.3333,0.8889,0.0
Objective,24,9,5,8,2,3,0.1137,1.355,0.5556,0.8889,0.2222
Production,0,5,5,5,2,2,0.095,0.258,1.0,1.0,0.4
Production,1,9,3,6,1,3,0.1147,1.8346,0.3333,0.6667,0.1111
Production,2,7,5,6,0,2,0.097,0.9401,0.7143,0.8571,0.0
Production,3,7,5,7,3,4,0.0869,0.7149,0.7143,1.0,0.4286
Production,4,8,4,8,0,1,0.1155,0.8942,0.5,1.0,0.0
Production,5,9,7,9,0,1,0.1214,0.8437,0.7778,1.0,0.0
Production,6,9,5,8,2,6,0.1064,1.1721,0.5556,0.8889,0.2222
Production,7,9,7,8,2,4,0.0944,0.8298,0.7778,0.8889,0.2222
Production,8,9,4,9,2,3,0.1093,1.1327,0.4444,1.0,0.2222
Production,9,9,5,8,0,3,0.1209,1.2285,0.5556,0.8889,0.0
Production,10,9,7,9,2,5,0.1026,0.7615,0.7778,1.0,0.2222
Production,11,9,5,8,2,3,0.1022,1.1983,0.5556,0.8889,0.2222
Production,12,7,5,7,2,4,0.1074,1.0358,0.7143,1.0,0.2857
Production,13,8,4,8,2,5,0.1008,0.9394,0.5,1.0,0.25
Production,14,7,6,7,1,2,0.0989,0.6133,0.8571,1.0,0.1429
Production,15,7,5,7,4,5,0.0867,0.6884,0.7143,1.0,0.5714
Production,16,7,6,6,2,3,0.1032,0.6418,0.8571,0.8571,0.2857
Production,17,9,7,9,2,4,0.0882,0.6259,0.7778,1.0,0.2222
Production,18,9,7,9,1,2,0.0998,0.789,0.7778,1.0,0.1111
Production,19,9,8,9,1,3,0.0998,0.8316,0.8889,1.0,0.1111
Production,20,9,7,8,1,1,0.1033,0.8955,0.7778,0.8889,0.1111
Production,21,9,6,8,0,2,0.1155,1.3709,0.6667,0.8889,0.0
Production,22,9,8,9,2,2,0.0817,0.434,0.8889,1.0,0.2222
Production,23,9,8,9,2,4,0.0923,0.594,0.8889,1.0,0.2222
Production,24,9,6,8,2,2,0.1007,0.8484,0.6667,0.8889,0.2222
Wheelo,0,5,5,5,1,3,0.0737,0.3211,1.0,1.0,0.2
Wheelo,1,9,3,8,0,1,0.1093,1.6928,0.3333,0.8889,0.0
Wheelo,2,7,5,7,3,4,0.0685,0.7669,0.7143,1.0,0.4286
Wheelo,3,7,4,6,2,3,0.0781,0.756,0.5714,0.8571,0.2857
Wheelo,4,8,7,8,1,1,0.0912,0.8809,0.875,1.0,0.125
Wheelo,5,9,7,9,0,3,0.0935,0.5286,0.7778,1.0,0.0
Wheelo,6,9,5,8,3,7,0.0803,1.0421,0.5556,0.8889,0.3333
Wheelo,7,9,6,8,3,5,0.0763,0.9673,0.6667,0.8889,0.3333
Wheelo,8,9,6,9,1,3,0.0776,0.891,0.6667,1.0,0.1111
Wheelo,9,9,4,6,0,1,0.1065,1.3085,0.4444,0.6667,0.0
Wheelo,10,9,6,9,1,3,0.0901,0.7978,0.6667,1.0,0.1111
Wheelo,11,9,7,8,1,3,0.0817,1.0834,0.7778,0.8889,0.1111
Wheelo,12,7,6,7,2,3,0.0951,0.9338,0.8571,1.0,0.2857
Wheelo,13,8,5,7,1,4,0.0888,1.2062,0.625,0.875,0.125
Wheelo,14,7,6,7,2,2,0.0765,0.4417,0.8571,1.0,0.2857
Wheelo,15,7,5,7,4,5,0.0623,0.7096,0.7143,1.0,0.5714
Wheelo,16,7,6,6,1,2,0.0926,0.783,0.8571,0.8571,0.1429
Wheelo,17,9,9,9,3,4,0.0638,0.3953,1.0,1.0,0.3333
Wheelo,18,9,6,8,2,3,0.0936,1.0317,0.6667,0.8889,0.2222
Wheelo,19,9,8,8,1,3,0.0907,0.7762,0.8889,0.8889,0.1111
Wheelo,20,9,7,8,2,2,0.086,0.6918,0.7778,0.8889,0.2222
Wheelo,21,9,5,8,0,2,0.0933,1.2718,0.5556,0.8889,0.0
Wheelo,22,9,8,8,2,3,0.0654,0.5025,0.8889,0.8889,0.2222
Wheelo,23,9,7,9,2,3,0.0875,0.7722,0.7778,1.0,0.2222
Wheelo,24,9,7,9,0,0,0.0912,0.6622,0.7778,1.0,0.0
