dimension,group,model,scope,n,actual_votes_total,predicted_ev_total,mean_error,mae,over_predicted,under_predicted,small_sample
role,KEY_DEFENDER,Production,all,48,9,13.4,0.091,0.336,7,4,False
role,KEY_FORWARD,Production,all,31,51,49.6,-0.044,0.645,7,7,False
role,MEDIUM_DEFENDER,Production,all,76,93,138.8,0.603,1.079,23,8,False
role,MEDIUM_FORWARD,Production,all,68,120,137.5,0.258,0.689,19,12,False
role,MIDFIELDER,Production,all,237,885,821.5,-0.268,0.978,55,52,False
role,RUCK,Production,all,31,77,77.6,0.018,1.199,14,3,False
role,UNKNOWN,Production,all,87,2,3.6,0.018,0.04,0,1,False
role,ALL,Production,all,578,1237,1242.0,0.009,0.757,125,87,False
role,KEY_DEFENDER,Production,relevant (actual>=1 or EV>=1),5,9,3.8,-1.032,1.313,1,4,True
role,KEY_FORWARD,Production,relevant (actual>=1 or EV>=1),13,51,46.0,-0.383,1.26,4,7,False
role,MEDIUM_DEFENDER,Production,relevant (actual>=1 or EV>=1),33,93,131.6,1.171,2.267,22,8,False
role,MEDIUM_FORWARD,Production,relevant (actual>=1 or EV>=1),36,120,133.8,0.382,1.197,17,12,False
role,MIDFIELDER,Production,relevant (actual>=1 or EV>=1),110,885,787.1,-0.89,1.794,32,52,False
role,RUCK,Production,relevant (actual>=1 or EV>=1),12,77,70.6,-0.534,2.517,7,3,False
role,UNKNOWN,Production,relevant (actual>=1 or EV>=1),2,2,1.1,-0.474,0.474,0,1,True
role,ALL,Production,relevant (actual>=1 or EV>=1),211,1237,1174.0,-0.298,1.751,83,87,False
role,KEY_DEFENDER,Objective,all,49,9,7.6,-0.028,0.259,2,4,False
role,KEY_FORWARD,Objective,all,32,51,36.3,-0.458,1.117,6,8,False
role,MEDIUM_DEFENDER,Objective,all,79,93,77.0,-0.202,0.755,11,15,False
role,MEDIUM_FORWARD,Objective,all,78,120,71.0,-0.629,0.941,9,21,False
role,MIDFIELDER,Objective,all,242,887,907.9,0.086,1.309,73,50,False
role,RUCK,Objective,all,33,77,130.6,1.625,2.228,20,2,False
role,UNKNOWN,Objective,all,150,2,5.6,0.024,0.028,0,0,False
role,ALL,Objective,all,663,1239,1236.1,-0.004,0.869,121,100,False
role,KEY_DEFENDER,Objective,relevant (actual>=1 or EV>=1),5,9,3.9,-1.023,1.79,1,4,True
role,KEY_FORWARD,Objective,relevant (actual>=1 or EV>=1),15,51,32.7,-1.221,2.138,4,8,False
role,MEDIUM_DEFENDER,Objective,relevant (actual>=1 or EV>=1),27,93,69.3,-0.879,1.92,7,15,False
role,MEDIUM_FORWARD,Objective,relevant (actual>=1 or EV>=1),33,120,64.0,-1.698,2.014,4,21,False
role,MIDFIELDER,Objective,relevant (actual>=1 or EV>=1),115,887,878.2,-0.077,2.495,54,50,False
role,RUCK,Objective,relevant (actual>=1 or EV>=1),20,77,126.8,2.492,3.487,16,2,False
role,UNKNOWN,Objective,relevant (actual>=1 or EV>=1),2,2,1.7,-0.161,0.183,0,0,True
role,ALL,Objective,relevant (actual>=1 or EV>=1),217,1239,1176.5,-0.288,2.379,86,100,False
role,KEY_DEFENDER,Wheelo,all,49,9,17.2,0.167,0.312,8,4,False
role,KEY_FORWARD,Wheelo,all,32,51,47.4,-0.113,0.518,4,6,False
role,MEDIUM_DEFENDER,Wheelo,all,79,93,137.4,0.561,0.981,26,7,False
role,MEDIUM_FORWARD,Wheelo,all,78,120,124.1,0.053,0.5,15,11,False
role,MIDFIELDER,Wheelo,all,242,887,835.2,-0.214,0.932,49,52,False
role,RUCK,Wheelo,all,32,76,70.4,-0.174,1.03,9,3,False
role,UNKNOWN,Wheelo,all,149,2,2.2,0.002,0.02,0,2,False
role,ALL,Wheelo,all,661,1238,1234.0,-0.006,0.62,111,85,False
role,KEY_DEFENDER,Wheelo,relevant (actual>=1 or EV>=1),9,9,11.1,0.228,1.017,4,4,True
role,KEY_FORWARD,Wheelo,relevant (actual>=1 or EV>=1),12,51,44.1,-0.573,1.107,2,6,False
