model,season,n_matches,correct_3,exact_321,log_loss_p3,brier_p3,ece_p3,season_mae,spearman
Performance ML (B) raw,2013,198,0.5353535353535354,0.06060606060606061,1.309884110939431,0.012853261841729947,0.004030630866223152,0.7643757691207427,0.765496632491367
Performance ML (B) raw,2014,198,0.5959595959595959,0.10101010101010101,1.2181258599031677,0.01245089808782542,0.004466158487363796,0.6746163043271247,0.7672944838641276
Performance ML (B) raw,2015,197,0.5786802030456852,0.09644670050761421,1.2325521182174377,0.012636188708154505,0.004268739878822287,0.6807134670695966,0.7709458644724558
Performance ML (B) raw,2016,198,0.6212121212121212,0.08585858585858586,1.1876553887884964,0.012452104866513547,0.00357484641255878,0.7965480315621246,0.7599434712201688
Performance ML (B) raw,2017,198,0.6262626262626263,0.11616161616161616,1.0997732043240775,0.011632004874974053,0.00358943274520683,0.6863830687391217,0.7674884298671784
Performance ML (B) raw,2018,198,0.5151515151515151,0.09595959595959595,1.3788235125662553,0.0141334724566765,0.002745292376183166,0.782200793255585,0.7761308773291827
Performance ML (B) raw,2019,198,0.6414141414141414,0.11616161616161616,1.134239537146483,0.011768807184606813,0.003636110844005355,0.7194360058325334,0.7507333657344645
Performance ML (B) raw,2020,153,0.6013071895424836,0.12418300653594772,1.2699221555288924,0.012925394803474747,0.0034029550777746795,0.6121764328793007,0.756968687914793
Performance ML (B) raw,2021,198,0.696969696969697,0.13131313131313133,1.0777716336969752,0.010105826549625442,0.008069359966120092,0.6855597936711495,0.7539252105637083
Performance ML (B) raw,2022,198,0.601010101010101,0.08585858585858586,1.1454957277002988,0.011267518134860738,0.0032996848143819874,0.6492847952499043,0.7741367825620592
Performance ML (B) raw,2023,207,0.4830917874396135,0.04830917874396135,1.5750149273796727,0.0142221553989248,0.004848499921988612,0.853240022246689,0.7383523466561147
Performance ML (B) raw,2024,207,0.5265700483091788,0.07246376811594203,1.4706520989490937,0.01359576715308024,0.005396405979820232,0.9152305140968847,0.7342904176596109
Performance ML (B) raw,2025,207,0.5362318840579711,0.057971014492753624,1.3504614648295654,0.012959073716188048,0.004255781822559224,0.7333923641861926,0.713106844488601
Performance ML (B) raw,2026,207,0.6811594202898551,0.15458937198067632,0.990024769840873,0.009986555083648327,0.00771629846811826,0.6534289954051464,0.7147141748005634
Performance ML (B) platt,2013,198,0.5353535353535354,0.06060606060606061,1.2849408923620917,0.01269442416486124,0.0019466437919610753,0.7643757691207427,0.765496632491367
Performance ML (B) platt,2014,198,0.5959595959595959,0.10101010101010101,1.1871117815371621,0.012245364595833082,0.0016991610563677506,0.6746163043271247,0.7672944838641276
Performance ML (B) platt,2015,197,0.5786802030456852,0.09644670050761421,1.2329825578398093,0.012690800383307999,0.0035510041027145885,0.6807134670695966,0.7709458644724558
Performance ML (B) platt,2016,198,0.6212121212121212,0.08585858585858586,1.1622524962096217,0.012378313860627248,0.0016466171453338753,0.7965480315621246,0.7599434712201688
