season,calibrator_fit_on_seasons,model
2013,2012-2012,Performance ML (B)
2014,2012-2013,Performance ML (B)
2015,2012-2014,Performance ML (B)
2016,2012-2015,Performance ML (B)
2017,2012-2016,Performance ML (B)
2018,2012-2017,Performance ML (B)
2019,2012-2018,Performance ML (B)
2020,2012-2019,Performance ML (B)
2021,2012-2020,Performance ML (B)
2022,2012-2021,Performance ML (B)
2023,2012-2022,Performance ML (B)
2024,2012-2023,Performance ML (B)
2025,2012-2024,Performance ML (B)
2026,2012-2025,Performance ML (B)
