model,season,n_matches,correct_3,exact_321,log_loss_p3,brier_p3,ece_p3,season_mae,spearman
Performance ML (B),2015,197,0.5786802030456852,0.09644670050761421,1.2325521182174377,0.012636188708154505,0.004268739878822287,0.6807134670695966,0.7709458644724558
Performance ML (B),2016,198,0.6212121212121212,0.08585858585858586,1.1876553887884964,0.012452104866513547,0.00357484641255878,0.7965480315621246,0.7599434712201688
Performance ML (B),2017,198,0.6262626262626263,0.11616161616161616,1.0997732043240775,0.011632004874974053,0.00358943274520683,0.6863830687391217,0.7674884298671784
Performance ML (B),2018,198,0.5151515151515151,0.09595959595959595,1.3788235125662553,0.0141334724566765,0.002745292376183166,0.782200793255585,0.7761308773291827
Performance ML (B),2019,198,0.6414141414141414,0.11616161616161616,1.134239537146483,0.011768807184606813,0.003636110844005355,0.7194360058325334,0.7507333657344645
Performance ML (B),2020,153,0.6013071895424836,0.12418300653594772,1.2699221555288924,0.012925394803474747,0.0034029550777746795,0.6121764328793007,0.756968687914793
Performance ML (B),2021,198,0.696969696969697,0.13131313131313133,1.0777716336969752,0.010105826549625442,0.008069359966120092,0.6855597936711495,0.7539252105637083
Performance ML (B),2022,198,0.601010101010101,0.08585858585858586,1.1454957277002988,0.011267518134860738,0.0032996848143819874,0.6492847952499043,0.7741367825620592
Performance ML (B),2023,207,0.4830917874396135,0.04830917874396135,1.5750149273796727,0.0142221553989248,0.004848499921988612,0.853240022246689,0.7383523466561147
Performance ML (B),2024,207,0.5265700483091788,0.07246376811594203,1.4706520989490937,0.01359576715308024,0.005396405979820232,0.9152305140968847,0.7342904176596109
Performance ML (B),2025,207,0.5362318840579711,0.057971014492753624,1.3504614648295654,0.012959073716188048,0.004255781822559224,0.7333923641861926,0.713106844488601
Performance ML (B),2026,207,0.6811594202898551,0.15458937198067632,0.990024769840873,0.009986555083648327,0.00771629846811826,0.6534289954051464,0.7147141748005634
Learned ensemble (A+B+C),2015,197,0.5939086294416244,0.1116751269035533,1.2252902427621077,0.01248257557959708,0.004116617925656644,0.6792626368575578,0.7708393459113256
Learned ensemble (A+B+C),2016,198,0.6464646464646465,0.10606060606060606,1.17351167656235,0.012287389606712107,0.0035096045951650287,0.7795198041496568,0.7602200419383194
Learned ensemble (A+B+C),2017,198,0.6212121212121212,0.1111111111111111,1.0832374828691242,0.011446993249155173,0.004000820189408554,0.6876385970342386,0.7679731492457065
Learned ensemble (A+B+C),2018,198,0.5252525252525253,0.09090909090909091,1.3688137635816038,0.014052648612241831,0.00351813977966828,0.7829658234550497,0.7774509792393229
Learned ensemble (A+B+C),2019,198,0.6414141414141414,0.12626262626262627,1.1244295507293403,0.011595366019447705,0.004728283237001859,0.7141140877532797,0.7516952192416659
Learned ensemble (A+B+C),2020,153,0.5882352941176471,0.09803921568627451,1.2623407703932614,0.012908169557713322,0.004644141746401338,0.6121181111325821,0.7590853261809906
Learned ensemble (A+B+C),2021,198,0.696969696969697,0.1414141414141414,1.0614163489107928,0.009933294862183783,0.008287992690201692,0.6854492271640651,0.7538589909304401
Learned ensemble (A+B+C),2022,198,0.6414141414141414,0.1111111111111111,1.1395549050752372,0.011236710233931546,0.0038387108049553363,0.6627842964553111,0.7739769981984908
Learned ensemble (A+B+C),2023,207,0.48792270531400966,0.057971014492753624,1.5244777578585809,0.013874884898961473,0.004055538262192825,0.8565665455970711,0.7371375842817148
Learned ensemble (A+B+C),2024,207,0.5169082125603864,0.057971014492753624,1.445515690989,0.01345131228000101,0.0036685046861463645,0.8909099382319179,0.732738972057336
Learned ensemble (A+B+C),2025,207,0.5507246376811594,0.06763285024154589,1.3419689018382588,0.012849063393473357,0.003208357274733743,0.7335634908299886,0.7130309371985988
Learned ensemble (A+B+C),2026,207,0.6811594202898551,0.1642512077294686,0.9556787815461005,0.009557549379558508,0.007092717986448181,0.6369763229381988,0.7146909928229714
Structural (A),2015,197,0.5888324873096447,0.10152284263959391,1.2893857291312247,0.012868728517674798,0.005990698771135756,0.7047675821796999,0.7682024382332517
Structural (A),2016,198,0.6060606060606061,0.08080808080808081,1.2273095143630524,0.012711590346529269,0.003477370420772653,0.7690745158139082,0.7596251427300463
Structural (A),2017,198,0.6161616161616161,0.1111111111111111,1.1032116930524414,0.011635409578329698,0.004005445241484946,0.7153738582100924,0.7683287444912679
Structural (A),2018,198,0.5202020202020202,0.10606060606060606,1.4361879651460556,0.01449675247962978,0.002947810526799142,0.8156181041461747,0.7745851053416649
Structural (A),2019,198,0.6616161616161617,0.13131313131313133,1.166476905972728,0.011735779869093445,0.005284834623500142,0.7242888956156542,0.7506859935387385
Structural (A),2020,153,0.5686274509803921,0.06535947712418301,1.3377278648525497,0.013473331806348009,0.006029086741668251,0.6477629369608295,0.7548200522901806
Structural (A),2021,198,0.6717171717171717,0.12121212121212122,1.0825828188330988,0.0101633917251543,0.007225023151312916,0.714456788387616,0.7489561407442712
Structural (A),2022,198,0.6414141414141414,0.08585858585858586,1.1932130411979067,0.011690813585440192,0.005349372381043135,0.7164730703574154,0.7688767989687804
Structural (A),2023,207,0.5169082125603864,0.05314009661835749,1.49861558808625,0.013635628705533392,0.002587888565251209,0.892754562983949,0.7307769644177441
Structural (A),2024,207,0.5410628019323671,0.06763285024154589,1.4753788102712129,0.013749782807693792,0.0017011478013807145,0.887835920094294,0.7278240547139609
Structural (A),2025,207,0.5410628019323671,0.03864734299516908,1.386185160572309,0.01316240510511281,0.0023538003016809307,0.7583902750777446,0.710262339924427
