grouping,group,bets,wins,pushes,hit_rate,avg_model_prob_conservative,avg_implied_prob,flat_unit_pnl,roi,small_sample,backtestable_historically,evidence_source
market_type,EXACT_POSITION,16,1,0,0.0625,0.0357,0.0889,13.0,0.8125,True,no historical odds held,"2026 settled pre-count markets (data/evaluation/2026), n as shown; single season"
market_type,PLAYER_H2H,48,23,2,0.5,0.3066,0.535,-4.92,-0.1025,False,no historical odds held,"2026 settled pre-count markets (data/evaluation/2026), n as shown; single season"
market_type,PLAYER_VOTES_OU,38,19,0,0.5,0.3077,0.5348,-2.47,-0.065,False,no historical odds held,"2026 settled pre-count markets (data/evaluation/2026), n as shown; single season"
market_type,TEAM_VOTES_OU,70,35,0,0.5,0.3165,0.5347,-4.72,-0.0674,False,no historical odds held,"2026 settled pre-count markets (data/evaluation/2026), n as shown; single season"
market_type,TOP_N,180,49,0,0.2722222222222222,0.1664,0.2782,-84.5433,-0.4697,False,no historical odds held,"2026 settled pre-count markets (data/evaluation/2026), n as shown; single season"
market_type,TO_POLL_A_VOTE,129,50,0,0.3875968992248062,0.3491,0.525,-28.88,-0.2239,False,no historical odds held,"2026 settled pre-count markets (data/evaluation/2026), n as shown; single season"
market_type,WINNER,65,2,0,0.0307692307692307,0.0276,0.0355,-62.97,-0.9688,False,no historical odds held,"2026 settled pre-count markets (data/evaluation/2026), n as shown; single season"
market_type,X_PLUS_VOTES,107,55,0,0.514018691588785,0.2486,0.4443,27.54,0.2574,False,no historical odds held,"2026 settled pre-count markets (data/evaluation/2026), n as shown; single season"
market_type,ALL,653,234,2,0.3594470046082949,0.2335,0.3867,-147.9633,-0.2266,False,no historical odds held,"2026 settled pre-count markets (data/evaluation/2026), n as shown; single season"
bet_value,Model Disagreement,128,51,1,0.4015748031496063,0.2346,0.4169,-7.24,-0.0566,False,no historical odds held,"2026 settled pre-count markets (data/evaluation/2026), n as shown; single season"
bet_value,Moderate Bet Value,80,34,0,0.425,0.4919,0.3806,7.76,0.097,False,no historical odds held,"2026 settled pre-count markets (data/evaluation/2026), n as shown; single season"
bet_value,No Value,302,92,0,0.304635761589404,0.1425,0.3708,-138.79,-0.4596,False,no historical odds held,"2026 settled pre-count markets (data/evaluation/2026), n as shown; single season"
bet_value,Speculative Bet Value,119,52,1,0.4406779661016949,0.2608,0.4189,-10.6633,-0.0896,False,no historical odds held,"2026 settled pre-count markets (data/evaluation/2026), n as shown; single season"
bet_value,Strong Bet Value,2,0,0,0.0,0.7661,0.5348,-2.0,-1.0,True,no historical odds held,"2026 settled pre-count markets (data/evaluation/2026), n as shown; single season"
bet_value,Strong Bet Value + Wheelo Support,22,5,0,0.2272727272727272,0.3421,0.2623,2.97,0.135,False,no historical odds held,"2026 settled pre-count markets (data/evaluation/2026), n as shown; single season"
likelihood_band,High,47,34,0,0.723404255319149,0.7282,0.6804,1.54,0.0328,False,yes: model probability bands can be checked on walk-forward OOF,"2026 settled pre-count markets (data/evaluation/2026), n as shown; single season"
likelihood_band,Low,109,54,1,0.5,0.3414,0.4998,10.8967,0.1,False,yes: model probability bands can be checked on walk-forward OOF,"2026 settled pre-count markets (data/evaluation/2026), n as shown; single season"
likelihood_band,Moderate,67,39,0,0.582089552238806,0.5508,0.6537,-2.42,-0.0361,False,yes: model probability bands can be checked on walk-forward OOF,"2026 settled pre-count markets (data/evaluation/2026), n as shown; single season"
likelihood_band,Very High,24,20,0,0.8333333333333334,0.8792,0.8558,-0.09,-0.0037,False,yes: model probability bands can be checked on walk-forward OOF,"2026 settled pre-count markets (data/evaluation/2026), n as shown; single season"
likelihood_band,Very Low,406,87,1,0.2148148148148148,0.0568,0.2505,-157.89,-0.3889,False,yes: model probability bands can be checked on walk-forward OOF,"2026 settled pre-count markets (data/evaluation/2026), n as shown; single season"
wheelo_support,INSUFFICIENT_WHEELO_DATA,70,35,0,0.5,0.3165,0.5347,-4.72,-0.0674,False,no: Wheelo history not held,"2026 settled pre-count markets (data/evaluation/2026), n as shown; single season"
wheelo_support,PARTIAL_WHEELO_SUPPORT,136,59,1,0.437037037037037,0.3137,0.3655,10.9867,0.0808,False,no: Wheelo history not held,"2026 settled pre-count markets (data/evaluation/2026), n as shown; single season"
wheelo_support,STRONG_WHEELO_SUPPORT,117,44,0,0.376068376068376,0.3224,0.4989,-24.24,-0.2072,False,no: Wheelo history not held,"2026 settled pre-count markets (data/evaluation/2026), n as shown; single season"
wheelo_support,WHEELO_DISAGREES,330,96,1,0.2917933130699088,0.1514,0.3242,-129.99,-0.3939,False,no: Wheelo history not held,"2026 settled pre-count markets (data/evaluation/2026), n as shown; single season"
model_agreement,both see value,104,39,0,0.375,0.4655,0.3586,8.73,0.0839,False,yes: OOF agreement of A/B/C is available,"2026 settled pre-count markets (data/evaluation/2026), n as shown; single season"
model_agreement,neither sees value,296,89,0,0.3006756756756756,0.1354,0.3678,-138.08,-0.4665,False,yes: OOF agreement of A/B/C is available,"2026 settled pre-count markets (data/evaluation/2026), n as shown; single season"
model_agreement,one model missing,6,3,0,0.5,0.4932,0.5215,-0.71,-0.1183,True,yes: OOF agreement of A/B/C is available,"2026 settled pre-count markets (data/evaluation/2026), n as shown; single season"
model_agreement,only one sees value,247,103,2,0.4204081632653061,0.2472,0.4179,-17.9033,-0.0725,False,yes: OOF agreement of A/B/C is available,"2026 settled pre-count markets (data/evaluation/2026), n as shown; single season"
internal_gap_band,15-30pp,156,64,0,0.4102564102564102,0.3059,0.4496,-23.3967,-0.15,False,yes: OOF disagreement bins,"2026 settled pre-count markets (data/evaluation/2026), n as shown; single season"
internal_gap_band,7.5-15pp,88,35,0,0.3977272727272727,0.364,0.4914,-33.42,-0.3798,False,yes: OOF disagreement bins,"2026 settled pre-count markets (data/evaluation/2026), n as shown; single season"
internal_gap_band,<=7.5pp,215,34,0,0.1581395348837209,0.1185,0.161,-93.4,-0.4344,False,yes: OOF disagreement bins,"2026 settled pre-count markets (data/evaluation/2026), n as shown; single season"
internal_gap_band,>30pp,188,98,2,0.5268817204301075,0.2357,0.5391,2.9633,0.0158,False,yes: OOF disagreement bins,"2026 settled pre-count markets (data/evaluation/2026), n as shown; single season"
prob_band,0-10%,307,40,1,0.130718954248366,0.021,0.1881,-162.11,-0.528,False,yes: OOF calibration,"2026 settled pre-count markets (data/evaluation/2026), n as shown; single season"
prob_band,10-20%,70,32,0,0.4571428571428571,0.1443,0.4308,2.89,0.0413,False,yes: OOF calibration,"2026 settled pre-count markets (data/evaluation/2026), n as shown; single season"
prob_band,20-30%,63,33,0,0.5238095238095238,0.2512,0.5037,10.62,0.1686,False,yes: OOF calibration,"2026 settled pre-count markets (data/evaluation/2026), n as shown; single season"
prob_band,30-40%,52,26,1,0.5098039215686274,0.3493,0.4759,6.5567,0.1261,False,yes: OOF calibration,"2026 settled pre-count markets (data/evaluation/2026), n as shown; single season"
prob_band,40-50%,44,19,0,0.4318181818181818,0.4493,0.5387,-6.15,-0.1398,False,yes: OOF calibration,"2026 settled pre-count markets (data/evaluation/2026), n as shown; single season"
prob_band,50-60%,26,17,0,0.6538461538461539,0.5513,0.6545,1.61,0.0619,False,yes: OOF calibration,"2026 settled pre-count markets (data/evaluation/2026), n as shown; single season"
