model,dimension,group,scope,n_3voters,hit_rate,mean_p3_on_3voter,share_of_3voters,n_players,mean_error,mae
Structural (A),role,KEY_DEFENDER,all,42.0,0.2857142857142857,0.20662218553032377,0.01418918918918919,,,
Structural (A),role,KEY_FORWARD,all,200.0,0.655,0.4880159933357623,0.06756756756756757,,,
Structural (A),role,MEDIUM_DEFENDER,all,181.0,0.4198895027624309,0.30282200734150455,0.06114864864864865,,,
Structural (A),role,MEDIUM_FORWARD,all,161.0,0.4782608695652174,0.345303636241733,0.05439189189189189,,,
Structural (A),role,MIDFIELDER,all,1901.0,0.6344029458179905,0.43031440177067937,0.6422297297297297,,,
Structural (A),role,MIDFIELDER_FORWARD,all,46.0,0.5652173913043478,0.4234031582157098,0.015540540540540541,,,
Structural (A),role,RUCK,all,135.0,0.45925925925925926,0.31319769946623827,0.04560810810810811,,,
Structural (A),role,UNKNOWN,all,294.0,0.564625850340136,0.4041532307857192,0.09932432432432432,,,
Structural (A),role,KEY_DEFENDER,recent (2022-2026),16.0,0.3125,0.2404034757017614,0.015594541910331383,,,
Structural (A),role,KEY_FORWARD,recent (2022-2026),88.0,0.7045454545454546,0.5382001319146997,0.08576998050682261,,,
Structural (A),role,MEDIUM_DEFENDER,recent (2022-2026),94.0,0.44680851063829785,0.3161208445429393,0.09161793372319688,,,
Structural (A),role,MEDIUM_FORWARD,recent (2022-2026),73.0,0.4246575342465753,0.3219288447174436,0.07115009746588694,,,
Structural (A),role,MIDFIELDER,recent (2022-2026),636.0,0.6336477987421384,0.4387336708616224,0.6198830409356725,,,
Structural (A),role,MIDFIELDER_FORWARD,recent (2022-2026),33.0,0.5454545454545454,0.4173806576888009,0.03216374269005848,,,
Structural (A),role,RUCK,recent (2022-2026),52.0,0.4423076923076923,0.3220406749867475,0.050682261208576995,,,
Structural (A),role,UNKNOWN,recent (2022-2026),34.0,0.5882352941176471,0.4447643993104419,0.03313840155945419,,,
Structural (A),margin_bucket,0-12,all,750.0,0.5546666666666666,0.36994672102848747,0.2533783783783784,,,
Structural (A),margin_bucket,100+,all,64.0,0.640625,0.522736537188851,0.021621621621621623,,,
Structural (A),margin_bucket,12-24,all,574.0,0.6289198606271778,0.4113035555383781,0.1939189189189189,,,
Structural (A),margin_bucket,24-48,all,892.0,0.5997757847533632,0.41112417676618596,0.3013513513513513,,,
Structural (A),margin_bucket,48-100,all,680.0,0.5926470588235294,0.4434805527061266,0.22972972972972974,,,
Structural (A),margin_bucket,0-12,recent (2022-2026),291.0,0.5120274914089347,0.34402144547151625,0.28362573099415206,,,
Structural (A),margin_bucket,100+,recent (2022-2026),18.0,0.6666666666666666,0.5845354054505935,0.017543859649122806,,,
Structural (A),margin_bucket,12-24,recent (2022-2026),195.0,0.6461538461538462,0.4273168147285444,0.19005847953216373,,,
Structural (A),margin_bucket,24-48,recent (2022-2026),290.0,0.603448275862069,0.4294413814554245,0.2826510721247563,,,
Structural (A),margin_bucket,48-100,recent (2022-2026),232.0,0.6120689655172413,0.4767407581649069,0.22612085769980506,,,
