model,method,scope,n_matches,ece_p3,brier_p3,log_loss_p3,correct_3
Structural (A),raw,all,2960,0.0038176823539097923,0.012493899676967308,1.2707799726349622,0.5932432432432433
Structural (A),raw,recent (2022-2026),1026,0.002341834938977059,0.01233987397669822,1.3026258125708752,0.5886939571150097
Structural (A),isotonic,all,2762,0.0009351375743968915,0.012333353412079693,1.2480856453785216,0.5944967414916728
Structural (A),isotonic,recent (2022-2026),1026,0.0017896187715008092,0.012363620410278275,1.2992451446591704,0.5789473684210527
Structural (A),platt,all,2762,0.001012266812399599,0.012329484566639496,1.2339696738739716,0.5963070238957278
Structural (A),platt,recent (2022-2026),1026,0.0016851704953063267,0.012344518879126583,1.2905047198690653,0.5886939571150097
"Performance ML (B, default params)",raw,all,2960,0.003071390896091497,0.012430794724848048,1.2614906332107787,0.585472972972973
"Performance ML (B, default params)",raw,recent (2022-2026),1026,0.0031420881755273105,0.012399925455374616,1.3172055404174703,0.5701754385964912
"Performance ML (B, default params)",isotonic,all,2762,0.0009817723188818954,0.012292013367117428,1.267815677881431,0.5883417813178856
"Performance ML (B, default params)",isotonic,recent (2022-2026),1026,0.0010429372117480408,0.012343317547477726,1.315414644522647,0.5701754385964912
"Performance ML (B, default params)",platt,all,2762,0.0007024557646280948,0.012274814560165931,1.2426613597085012,0.5879797248370746
"Performance ML (B, default params)",platt,recent (2022-2026),1026,0.001038751142040735,0.012322118912859762,1.3036330473098205,0.5701754385964912
Performance ML (B),raw,all,2960,0.0029879218599282477,0.012425558663260195,1.2501499727832819,0.5847972972972973
Performance ML (B),raw,recent (2022-2026),1026,0.003181950067066093,0.012416202456660428,1.3077406229156867,0.5653021442495126
Performance ML (B),isotonic,all,2762,0.0006060312159684394,0.012290528206720523,1.2571269853649532,0.5861694424330196
Performance ML (B),isotonic,recent (2022-2026),1026,0.0011277079721562606,0.012362577063340697,1.300638432782132,0.5662768031189084
Performance ML (B),platt,all,2762,0.0008284150528700497,0.012268021032415545,1.2301013493842743,0.5879797248370746
Performance ML (B),platt,recent (2022-2026),1026,0.0015703345343596744,0.012351970930012121,1.295705462418959,0.5653021442495126
Stats-only (C),raw,all,2960,0.004501245554207376,0.012576315667755644,1.2905322701513198,0.5902027027027027
Stats-only (C),raw,recent (2022-2026),1026,0.0028013083674643733,0.01236519550108015,1.3151870088580966,0.5857699805068226
Stats-only (C),isotonic,all,2762,0.0012970148344418249,0.012388165298427154,1.2756271525716503,0.5905141202027516
Stats-only (C),isotonic,recent (2022-2026),1026,0.0017667548914727963,0.012375644404453639,1.3147827888786463,0.580896686159844
Stats-only (C),platt,all,2762,0.0010957517039859187,0.012366962595243915,1.2471585820032447,0.5916002896451846
Stats-only (C),platt,recent (2022-2026),1026,0.0018915649311793922,0.012364880402781709,1.3017994389745817,0.5857699805068226
Stats-only ML (C-ML),raw,all,2960,0.0032518234814539384,0.012485450920886222,1.268309798717214,0.5898648648648649
Stats-only ML (C-ML),raw,recent (2022-2026),1026,0.0032888377453354958,0.012380028399029342,1.3155046660268053,0.5730994152046783
Stats-only ML (C-ML),isotonic,all,2762,0.0004838095832946924,0.012360064859758525,1.2689984120060884,0.5901520637219406
Stats-only ML (C-ML),isotonic,recent (2022-2026),1026,0.000979730898400867,0.01234558914998149,1.3164912986198025,0.5662768031189084
Stats-only ML (C-ML),platt,all,2762,0.0007016355158106572,0.012338798554561848,1.2484602001439742,0.5923244026068066
Stats-only ML (C-ML),platt,recent (2022-2026),1026,0.0010302640933442296,0.012297020208679947,1.3001566177338324,0.5730994152046783
