model,experiment,season,n_matches,correct_3,a3_in_top2,a3_in_top3,exact_321,unordered_top3,top3_ev_precision,log_loss_p3,brier_p3,ev_mae,ece_p3,n_player_rows,n_players,season_mae,season_rmse,season_bias,spearman,rank_mae_top30,winner_pred_rank,winner_correct,top3_hit,top3_n,top5_hit,top5_n,top10_hit,top10_n
Structural (A),A_structural_pl,2012,183,0.5628415300546448,0.7868852459016393,0.8579234972677595,0.08743169398907104,0.24043715846994534,0.6612021857923497,1.29491276015093,0.01295897153657355,0.12634139087050278,0.005519913579376606,8052,544,0.9858304986023662,1.6873848991715623,-0.0022759858231689413,0.78045842138891,11.741935483870968,4,False,0.0,3,0.6,5,0.8,10
Structural (A),A_structural_pl,2013,174,0.5574712643678161,0.764367816091954,0.8390804597701149,0.09195402298850575,0.22988505747126436,0.6666666666666666,1.3807811057489745,0.013299548700989804,0.129282030943469,0.007094859173680921,7656,571,0.941032891814154,1.6707848898498892,-0.006546941449499768,0.7931920690493547,10.882352941176471,1,True,1.0,3,0.6,5,0.6,10
Structural (A),A_structural_pl,2014,183,0.6338797814207651,0.8032786885245902,0.8907103825136612,0.1092896174863388,0.2677595628415301,0.6994535519125683,1.19716537780132,0.012268518257252326,0.11730848916224754,0.00697711714413552,8052,558,0.8493448333525677,1.4833503351769795,-0.004788109622248671,0.7966479407486219,11.1,4,False,0.5,4,0.75,8,0.7,10
Structural (A),A_structural_pl,2015,178,0.601123595505618,0.7528089887640449,0.8707865168539326,0.10674157303370786,0.2247191011235955,0.6816479400749064,1.266535372247939,0.012809430365214624,0.11955655511700075,0.005661498143120432,7832,557,0.8361536293030131,1.486225006871898,-0.005265476889985873,0.8024513381319762,12.852941176470589,2,False,0.6666666666666666,3,1.0,5,0.6,10
Structural (A),A_structural_pl,2016,179,0.6033519553072626,0.7932960893854749,0.8715083798882681,0.0782122905027933,0.2346368715083799,0.6797020484171322,1.2545885181333278,0.013061880685360518,0.11461180639622177,0.0036435479007904913,7876,560,0.8965126774098977,1.7604155517315458,-0.002502010683057611,0.7827405628545433,10.055555555555555,1,True,0.3333333333333333,3,0.42857142857142855,7,0.5833333333333334,12
Structural (A),A_structural_pl,2017,181,0.6243093922651933,0.8176795580110497,0.9060773480662984,0.11049723756906077,0.24861878453038674,0.6887661141804787,1.082293566258529,0.011449746433672824,0.11270991733726196,0.00431403878978617,7964,551,0.8480899242954454,1.6122229428242403,-0.003607445914756646,0.8010043552449267,9.432432432432432,2,False,1.0,3,0.6,5,0.6,10
Structural (A),A_structural_pl,2018,184,0.5108695652173914,0.7554347826086957,0.875,0.10326086956521739,0.2717391304347826,0.6811594202898551,1.448293028036658,0.014782121670598317,0.12106074010565682,0.003553313711768858,8096,552,0.9614734934406532,1.9179579646929916,-0.007811789747557704,0.8031919731897419,13.411764705882353,1,True,0.3333333333333333,3,0.2,5,0.45454545454545453,11
Structural (A),A_structural_pl,2019,184,0.6739130434782609,0.8043478260869565,0.8967391304347826,0.14130434782608695,0.27717391304347827,0.7083333333333334,1.139800117875684,0.011401058615512284,0.11047870174776275,0.005047822336446633,8096,552,0.8499379552715856,1.5456819221718796,-0.005845630132526106,0.7789645791962153,7.935483870967742,3,False,0.75,4,0.6,5,0.8,10
Structural (A),A_structural_pl,2020,125,0.544,0.736,0.896,0.064,0.24,0.6533333333333333,1.3793264398389278,0.013922002202974442,0.13028513551687756,0.005956445402427993,5500,522,0.7846806973173709,1.3689928022030178,0.006293208003717664,0.7861372296816613,12.842105263157896,1,True,0.5,4,0.875,8,0.8,10
Structural (A),A_structural_pl,2021,180,0.6722222222222223,0.8777777777777778,0.9111111111111111,0.12222222222222222,0.26666666666666666,0.7,1.068277386947797,0.01016576375394269,0.10702101936295191,0.0071859530478869515,8280,569,0.8403385300037799,1.644682266215522,-0.003527874405594155,0.7761002275327047,7.741935483870968,2,False,0.6666666666666666,3,0.6666666666666666,6,0.8,10
Structural (A),A_structural_pl,2022,183,0.639344262295082,0.8142076502732241,0.8688524590163934,0.09289617486338798,0.21311475409836064,0.6812386156648451,1.1867292280005677,0.01162354748657416,0.10958787669355595,0.005186562713482908,8418,573,0.8431136847639005,1.6599093729500665,-0.0027608772370623976,0.8013693553913375,16.647058823529413,6,False,0.3333333333333333,3,0.6,5,0.7,10
Structural (A),A_structural_pl,2023,181,0.5303867403314917,0.7403314917127072,0.8176795580110497,0.055248618784530384,0.19337016574585636,0.6151012891344384,1.458062252590091,0.01324500748596309,0.12410914909577064,0.0020710474315982054,8326,573,1.0276714798595292,1.9646202361384946,0.001325381614216736,0.7503331650248632,9.633333333333333,4,False,0.6666666666666666,3,0.8,5,0.7,10
Structural (A),A_structural_pl,2024,190,0.5421052631578948,0.7,0.8368421052631579,0.07368421052631578,0.22105263157894736,0.643859649122807,1.4739830839618615,0.013705701936966998,0.1215594259290485,0.0019703945724872103,8740,564,1.0283352256313298,1.9683794361530564,-0.004095849939675955,0.7510534392736318,6.970588235294118,2,False,0.6666666666666666,3,0.6,5,0.7,10
Structural (A),A_structural_pl,2025,193,0.5492227979274611,0.7461139896373057,0.8808290155440415,0.03626943005181347,0.15025906735751296,0.6355785837651122,1.356150788935112,0.013048142219928024,0.11997114313276297,0.0026794285169144632,8878,559,0.9936755624257937,1.989973663180797,-0.010482288460138583,0.7602118400554492,8.066666666666666,6,False,0.6666666666666666,3,0.4,5,0.8,10
Structural (A),A_structural_pl,2026,191,0.7068062827225131,0.8429319371727748,0.93717277486911,0.18324607329842932,0.35602094240837695,0.7521815008726005,0.9514674607983399,0.009430752617543206,0.09708873634949204,0.006200833027533011,8786,569,0.8218880066212887,1.560659540066625,-0.0023120624939729764,0.7634000800564916,6.0,1,True,0.6666666666666666,3,0.7142857142857143,7,0.7,10
"Performance ML (B, default params)",B_performance_xgb_rank,2012,183,0.5628415300546448,0.8087431693989071,0.8633879781420765,0.08743169398907104,0.2568306010928962,0.6612021857923497,1.2787140812272824,0.013115869034689987,0.12026714978868086,0.005435204028116066,8052,544,0.9412703701445375,1.6955597849557476,0.00169636704372628,0.7847962797627609,10.612903225806452,3,False,0.3333333333333333,3,0.8,5,0.8,10
"Performance ML (B, default params)",B_performance_xgb_rank,2013,174,0.5517241379310345,0.7471264367816092,0.8448275862068966,0.08045977011494253,0.21839080459770116,0.6647509578544061,1.353579008694276,0.01301527698080595,0.12070637695272021,0.004366936360837979,7656,571,0.915401778335693,1.6609157316779415,0.0006119988013446049,0.7886349477242143,11.029411764705882,1,True,1.0,3,0.6,5,0.6,10
"Performance ML (B, default params)",B_performance_xgb_rank,2014,183,0.6174863387978142,0.7868852459016393,0.8852459016393442,0.10382513661202186,0.29508196721311475,0.7067395264116576,1.1562115697172368,0.01198956880515437,0.10913357019160853,0.004747350680356599,8052,558,0.810664932711091,1.4548251840822484,-0.0011610825447255402,0.7953660783705299,9.266666666666667,5,False,0.5,4,0.75,8,0.7,10
"Performance ML (B, default params)",B_performance_xgb_rank,2015,178,0.6067415730337079,0.7528089887640449,0.8595505617977528,0.10112359550561797,0.2696629213483146,0.6891385767790261,1.2354704101691485,0.012631744062587779,0.10964591983217731,0.002934730615847556,7832,557,0.8113022139864743,1.5596191133345922,-0.0022063553107973706,0.8027233375364947,13.647058823529411,2,False,0.6666666666666666,3,1.0,5,0.7,10
"Performance ML (B, default params)",B_performance_xgb_rank,2016,179,0.6033519553072626,0.776536312849162,0.8770949720670391,0.08379888268156424,0.21787709497206703,0.6741154562383613,1.213250065338866,0.01262449363174756,0.11236432464817449,0.003793114048749565,7876,560,0.9242177456716707,1.7778593870999384,-0.0026090719648010716,0.7796845815001444,11.222222222222221,1,True,0.3333333333333333,3,0.42857142857142855,7,0.5833333333333334,12
"Performance ML (B, default params)",B_performance_xgb_rank,2017,181,0.6353591160220995,0.8287292817679558,0.8839779005524862,0.12154696132596685,0.2541436464088398,0.7053406998158379,1.1113608554552674,0.011687535334435452,0.10862650361222775,0.003803333183359221,7964,551,0.8603573073381522,1.6420293256489562,-0.0020772254285777872,0.7940096745297789,10.08108108108108,1,True,1.0,3,0.6,5,0.6,10
"Performance ML (B, default params)",B_performance_xgb_rank,2018,184,0.5163043478260869,0.75,0.8641304347826086,0.11413043478260869,0.28804347826086957,0.7010869565217391,1.3675014070744387,0.014107022570408068,0.1136444559851709,0.004086034608187762,8096,552,0.9394629322153438,1.8644261582778106,-0.005471367203752903,0.8010882911157969,13.382352941176471,1,True,0.3333333333333333,3,0.2,5,0.45454545454545453,11
"Performance ML (B, default params)",B_performance_xgb_rank,2019,184,0.6032608695652174,0.8097826086956522,0.8913043478260869,0.11956521739130435,0.2717391304347826,0.7010869565217391,1.1689097253874352,0.011820391898801371,0.10812780943012487,0.0043710836965050745,8096,552,0.8693066661599487,1.6551041750385622,-0.004759782530321471,0.7755262736748961,9.580645161290322,4,False,0.75,4,0.6,5,0.7,10
"Performance ML (B, default params)",B_performance_xgb_rank,2020,125,0.568,0.752,0.872,0.128,0.248,0.6613333333333333,1.3482493756250304,0.013502847126589248,0.11943951495763218,0.00352164918151056,5500,522,0.7648941192362693,1.4021467863663903,0.009502775138611225,0.7832498946646452,14.789473684210526,1,True,0.75,4,0.875,8,0.8,10
"Performance ML (B, default params)",B_performance_xgb_rank,2021,180,0.6833333333333333,0.8722222222222222,0.9333333333333333,0.1388888888888889,0.3111111111111111,0.7240740740740741,1.0749276135952044,0.010183137868157053,0.10710680119170199,0.008862308128993959,8280,569,0.8125524269473992,1.5984523155713837,-0.001785893798265874,0.7819776431345662,6.387096774193548,2,False,0.6666666666666666,3,0.6666666666666666,6,0.8,10
"Performance ML (B, default params)",B_performance_xgb_rank,2022,183,0.6557377049180327,0.8360655737704918,0.8797814207650273,0.12021857923497267,0.22950819672131148,0.692167577413479,1.1143728138187081,0.011039438962012435,0.1005927169624281,0.004340440914897803,8418,573,0.7591224850025516,1.4837482029690137,0.0012138552450621102,0.8091447322653247,13.676470588235293,4,False,0.3333333333333333,3,0.8,5,0.7,10
"Performance ML (B, default params)",B_performance_xgb_rank,2023,181,0.5027624309392266,0.712707182320442,0.8121546961325967,0.06629834254143646,0.2154696132596685,0.6206261510128914,1.552020766760764,0.013656032339276685,0.11758393733953709,0.0036935463238712304,8326,573,0.9840351859809657,1.9540022396821208,0.0024912509668298852,0.7567510376943373,9.533333333333333,5,False,0.3333333333333333,3,0.8,5,0.7,10
