model,correct_3,a3_in_top2,a3_in_top3,exact_321,unordered_top3,log_loss_p3,brier_p3,ece_p3,season_mae,season_rmse,spearman,rank_mae_top30,top3_hit,top5_hit,top10_hit,winner_correct,correct_3_sd,log_loss_p3_sd,season_mae_sd,n_seasons,n_matches,window_seasons
Baseline (Phase 4 PL),0.5827756887251443,0.7900294379154078,0.8788448101396201,0.08954842902911822,0.23261649011355953,1.283383086872069,0.014186296098369048,0.006566847271963694,0.8941678993272643,1.6810561705829734,0.7711070668491183,10.437662183641784,0.6388888888888888,0.6685714285714286,0.7022610722610723,0.4666666666666667,0.061557355271454714,0.14753891075542605,0.08701451789750503,15.0,2689.0,all (2012-2026)
Performance ML (B),0.588562693056153,0.7887856315661176,0.8776906536706248,0.09668830510035487,0.25784201663543194,1.2393214670033394,0.012375833901406617,0.0046167307912143496,0.8742996185875351,1.668264883125751,0.784927505080529,9.928882203885701,0.6611111111111111,0.6556349206349206,0.7036363636363635,0.4,0.057951513367135145,0.14920222708850933,0.08563496402360676,15.0,2689.0,all (2012-2026)
"Performance ML (B, default params)",0.5880917134172952,0.7874387104949915,0.8737229607929571,0.10214309610945364,0.25701483698006944,1.251759182915244,0.0123835515690647,0.004768454921888084,0.887313851284455,1.694537908052651,0.7823926219427886,10.154627046901089,0.5999999999999999,0.6518253968253969,0.6958585858585857,0.4,0.05306903174580553,0.14850358847622783,0.08514421626844472,15.0,2689.0,all (2012-2026)
Stats-only (C),0.5919949972883202,0.7835627644044334,0.8777328748332806,0.08983391829949232,0.2355768737455045,1.2836542652212475,0.01255819663626428,0.005517325778590346,0.9216320876845506,1.7293798387522463,0.7788243388777301,10.520523931501659,0.6277777777777778,0.6324603174603174,0.6874747474747473,0.4666666666666667,0.05074868128058986,0.1515839256092149,0.07555607808647502,15.0,2689.0,all (2012-2026)
Stats-only ML (C-ML),0.5897355814211952,0.7814498043629612,0.872260473685725,0.09575686670948672,0.23972429654246105,1.262307948905005,0.012476265742020456,0.004886574415786309,0.8905315067276687,1.7057610935840581,0.7814242614459125,10.045049527706075,0.6277777777777777,0.6301587301587301,0.6958585858585858,0.5333333333333333,0.05475651938778134,0.14462653975662862,0.08314613159739163,15.0,2689.0,all (2012-2026)
Structural (A),0.5967898464182412,0.7823641227965462,0.8770875159073118,0.09708389218049875,0.2423635871519389,1.262557765821737,0.012478146264604455,0.004870851699429092,0.9005386060075116,1.6880827219599044,0.7818171051213619,10.354276931480566,0.5833333333333334,0.6289682539682538,0.689191919191919,0.3333333333333333,0.05789488099395541,0.15210315911362177,0.0784946533880479,15.0,2689.0,all (2012-2026)
Baseline (Phase 4 PL),0.5665675522566426,0.7704140025285285,0.8713365462942069,0.08072078082704448,0.2265680830582888,1.3107753229510606,0.013840481403488336,0.005133157968791527,0.9630807942009323,1.8663984421128403,0.7491002723394949,9.478553274682307,0.6499999999999999,0.7,0.73,0.2,0.08398400780442589,0.19968520226285344,0.09564914659100053,5.0,938.0,recent (2022-2026)
Performance ML (B),0.570874337318567,0.7758124585532854,0.8693517165667183,0.08591866145760116,0.2523529460817763,1.284221069679907,0.01225072052592957,0.005055202364140069,0.9226926793631789,1.7967458781146406,0.7711890747545214,8.461771030993042,0.5999999999999999,0.6628571428571429,0.74,0.2,0.0672092591662701,0.20665843209849794,0.10422487408850675,5.0,938.0,recent (2022-2026)
"Performance ML (B, default params)",0.5745944998776457,0.7853492782087365,0.8661982791093467,0.09067517206996364,0.2448683598522691,1.2936427262888952,0.012215077244518733,0.005121015859171383,0.9320554553040491,1.8214261317472389,0.7697664654255997,8.464098671726756,0.5333333333333333,0.6514285714285715,0.74,0.2,0.06455489124416727,0.20952583043796574,0.10739901778637748,5.0,938.0,recent (2022-2026)
Stats-only (C),0.5916284255320842,0.7714744020776177,0.8664162141924562,0.08739631221397143,0.22066380004061265,1.299238830479591,0.012241437910039427,0.004347932174521866,0.9652446531076582,1.8954651419308965,0.7631576202881467,9.61292852624921,0.5999999999999999,0.5714285714285714,0.7,0.2,0.0580501930685635,0.20650394738284225,0.09857158316984004,5.0,938.0,recent (2022-2026)
