model,correct_3,a3_in_top2,a3_in_top3,exact_321,unordered_top3,log_loss_p3,brier_p3,ece_p3,season_mae,season_rmse,spearman,rank_mae_top30,top3_hit,top5_hit,top10_hit,winner_correct,correct_3_sd,log_loss_p3_sd,season_mae_sd,n_seasons,n_matches,window_seasons
Baseline (Phase 4 PL),0.586202512646092,0.7861636347008937,0.8798529913619954,0.09800938712869468,0.24682489476118202,1.256551979280939,0.014065905008855396,0.005347353303195599,0.8571579679267919,1.652715985988981,0.7751673736036192,10.584554076273717,0.6166666666666667,0.6419047619047619,0.694988344988345,0.4666666666666667,0.06033671829532195,0.17668728155834146,0.09383873741237517,15.0,2689.0,all (2012-2026)
Performance ML (B),0.5833068629575957,0.7868336334212652,0.878782493945822,0.09792197706269766,0.25545190925849753,1.24782479269135,0.01243711808236092,0.004329175885699795,0.8723563634867486,1.658689911358732,0.7854924583322818,9.77944993030582,0.6388888888888888,0.6784920634920635,0.7152525252525253,0.4,0.05897818533838416,0.14194842190585602,0.08866656562240174,15.0,2689.0,all (2012-2026)
"Performance ML (B, default params)",0.5841624014473596,0.7841824715058207,0.8781529942327053,0.09796912901871775,0.2531070584110712,1.2556465590463095,0.012457499709563367,0.0045484494177898864,0.8790458675755484,1.6784097015633563,0.7837999766164458,9.997418528085662,0.6222222222222221,0.6407142857142857,0.6958585858585857,0.4,0.05701066165873388,0.14462215582937615,0.08544406041277629,15.0,2689.0,all (2012-2026)
Stats-only (C),0.5972892515476143,0.7845284674846643,0.87938424013795,0.0981372606233863,0.24882889145569934,1.2539528428268405,0.012358606892923469,0.004745001185314827,0.894493057437489,1.6960374528805806,0.781952657978838,10.354335145092161,0.6055555555555555,0.6251587301587302,0.7008080808080808,0.4666666666666667,0.0624185600323397,0.17532321309242987,0.08376366280205366,15.0,2689.0,all (2012-2026)
Stats-only ML (C-ML),0.5839078095561097,0.782353626429021,0.8737914662468719,0.09792516787355492,0.24508369879327532,1.2641682347376166,0.012484223066993445,0.004527339895332228,0.8883958094787816,1.6968108861689022,0.7820795989848704,10.040514523311886,0.6666666666666665,0.6473015873015873,0.7019191919191918,0.5333333333333333,0.05332165869540191,0.139969289436988,0.0896232809707049,15.0,2689.0,all (2012-2026)
Structural (A),0.5949585597314343,0.7899465934769745,0.8827209969677405,0.09927365878371935,0.2568356579504427,1.2369040014097399,0.012322464742251998,0.004429298993384099,0.8744807088385265,1.660201421921044,0.785020183477007,10.252122882894879,0.6277777777777778,0.5951587301587301,0.7202020202020202,0.4666666666666667,0.059760133756932975,0.17650319232572156,0.08579951468559818,15.0,2689.0,all (2012-2026)
Baseline (Phase 4 PL),0.5708409417801057,0.7791367737851058,0.8704585244664156,0.08836799331505074,0.23657753317118457,1.2937337439127858,0.013831474785407619,0.0049097712563528715,0.9005839832432325,1.8008904716050698,0.7561804269485611,9.793235581622678,0.6666666666666666,0.7,0.71,0.2,0.08645600710348718,0.2474572465275875,0.12500666497819019,5.0,938.0,recent (2022-2026)
Performance ML (B),0.5697007547054076,0.7735812553929645,0.8671374858672689,0.09018470429695852,0.24707604779360764,1.2972392142735467,0.012319545385514979,0.00501440215497897,0.9226893026134363,1.7961267911407837,0.7721707770007524,8.224010120177102,0.5333333333333333,0.7314285714285715,0.74,0.2,0.06337901753827384,0.1975164128038229,0.11221074127922515,5.0,938.0,recent (2022-2026)
"Performance ML (B, default params)",0.5696474609338844,0.7758126521673046,0.8674711248640634,0.08487883138224393,0.2421311197215496,1.2974695715612217,0.012286437615197137,0.005273579277041469,0.9216243445201338,1.8060307729764653,0.7707591721079663,8.365755850727387,0.5999999999999999,0.6514285714285715,0.74,0.2,0.06264251390796059,0.20509905530201936,0.1104617721228737,5.0,938.0,recent (2022-2026)
Stats-only (C),0.5936878520052693,0.775962494616751,0.8642551845563597,0.08604462374264432,0.237731956938983,1.2720446056987007,0.012028498305230288,0.004252392154689001,0.9296840102644921,1.8544438990933045,0.768499021996821,9.269791271347248,0.5333333333333333,0.6114285714285714,0.7,0.2,0.08970543356186532,0.2546311938503541,0.10882727052110011,5.0,938.0,recent (2022-2026)
Stats-only ML (C-ML),0.5761983515655688,0.7736285240101822,0.8598933183418417,0.09341095931663532,0.2343694285318893,1.3034256343851098,0.012256787950765341,0.005111007348012064,0.9404214137292053,1.8479950236616287,0.7686268826048164,8.2973055028463,0.6,0.6628571428571429,0.76,0.2,0.0663551183515661,0.20233045414562198,0.1214128098499546,5.0,938.0,recent (2022-2026)
Structural (A),0.5851507914432788,0.7855308919811943,0.8696544667897284,0.09304247417585389,0.25125899602628404,1.2653012210537806,0.012052884639834638,0.0041479593045549105,0.9029405603665905,1.7895919831730005,0.7712930932231072,9.071423149905124,0.6666666666666666,0.6114285714285714,0.72,0.2,0.08029422019626707,0.24694219514252147,0.10854198462284026,5.0,938.0,recent (2022-2026)
Baseline (Phase 4 PL),0.5779619292187934,0.7798649264839419,0.8750107779551671,0.0926689955586052,0.23752929075945642,1.281016220730071,0.014302888465792573,0.005335688134340234,0.865534527790597,1.6691571232150026,0.7764791469423324,10.95011746267422,0.5892857142857143,0.6282312925170067,0.6874875124875125,0.42857142857142855,0.053683782083511475,0.15643143612961855,0.09155428171516974,14.0,2498.0,pre-2026 (2012-2025)
Performance ML (B),0.5782251916131308,0.7832005833028889,0.8746117595941586,0.09444519980726583,0.2475204637343289,1.2637321705297229,0.012595741036521826,0.004105615231465131,0.8756024990454512,1.6631255212954845,0.786909112881471,10.083972851594945,0.6369047619047619,0.6657312925170068,0.7091991341991342,0.35714285714285715,0.05778870664508838,0.1333901197315506,0.09091343791734996,14.0,2498.0,pre-2026 (2012-2025)
