dimension,bin,scope,n_matches,consensus_correct,any_model_correct,Structural (A)_correct,Performance ML (B)_correct,Stats-only (C)_correct,share_of_matches,n_players,mae_A,mae_B,mae_mean_of_two,A_closer_share
agreement,2 vs 1,all,680.0,0.38088235294117645,0.6779411764705883,0.3573529411764706,0.33676470588235297,0.35441176470588237,0.22972972972972974,,,,,
agreement,all agree,all,2238.0,0.6680071492403932,0.6680071492403932,0.6680071492403932,0.6680071492403932,0.6680071492403932,0.7560810810810811,,,,,
agreement,all differ,all,42.0,0.38095238095238093,0.8571428571428571,0.42857142857142855,0.16666666666666666,0.2619047619047619,0.01418918918918919,,,,,
agreement,2 vs 1,recent (2022-2026),223.0,0.35874439461883406,0.6547085201793722,0.36771300448430494,0.2825112107623318,0.3721973094170404,0.21734892787524365,,,,,
agreement,all agree,recent (2022-2026),791.0,0.6510745891276865,0.6510745891276865,0.6510745891276865,0.6510745891276865,0.6510745891276865,0.7709551656920078,,,,,
agreement,all differ,recent (2022-2026),12.0,0.5,1.0,0.5833333333333334,0.16666666666666666,0.25,0.011695906432748537,,,,,
spread_bin,0.10-0.20,all,1193.0,0.6018440905280805,0.6663872590108969,0.595138306789606,0.5859178541492037,0.5884325230511316,0.40304054054054056,,,,,
spread_bin,0.20-0.35,all,596.0,0.6040268456375839,0.7231543624161074,0.5906040268456376,0.6023489932885906,0.5838926174496645,0.20135135135135135,,,,,
spread_bin,<0.10,all,1086.0,0.5985267034990792,0.6500920810313076,0.5976058931860037,0.5874769797421732,0.5985267034990792,0.3668918918918919,,,,,
spread_bin,>0.35,all,85.0,0.49411764705882355,0.7058823529411765,0.5294117647058824,0.4117647058823529,0.5529411764705883,0.028716216216216218,,,,,
spread_bin,0.10-0.20,recent (2022-2026),452.0,0.5862831858407079,0.6393805309734514,0.581858407079646,0.5597345132743363,0.581858407079646,0.4405458089668616,,,,,
spread_bin,0.20-0.35,recent (2022-2026),174.0,0.5689655172413793,0.6896551724137931,0.5689655172413793,0.5862068965517241,0.5632183908045977,0.1695906432748538,,,,,
spread_bin,<0.10,recent (2022-2026),369.0,0.6043360433604336,0.6639566395663956,0.6178861788617886,0.5826558265582655,0.6097560975609756,0.35964912280701755,,,,,
spread_bin,>0.35,recent (2022-2026),31.0,0.45161290322580644,0.6129032258064516,0.45161290322580644,0.3225806451612903,0.4838709677419355,0.030214424951267055,,,,,
season_ev_gap_A_vs_B,0-1,all,,,,,,,,9550.0,0.618918233495075,0.59416845856137,0.603725728380288,0.41769633507853404
season_ev_gap_A_vs_B,1-3,all,,,,,,,,524.0,2.815067062237925,2.848489670532205,2.762048783662585,0.5076335877862596
season_ev_gap_A_vs_B,3-6,all,,,,,,,,48.0,4.892305675638334,4.6046549371160745,4.488799249926937,0.4375
