test_season,w_A_structural_pl,w_B_performance_xgb_rank_tuned,w_C_stats_only_pl,n_train_seasons
2015,0.3183122757101203,0.6152715666407423,0.06641615764913741,3
2016,0.20578604914116638,0.6333941120718872,0.1608198387869465,4
2017,0.19500351705316685,0.6386064918553875,0.16638999109144567,5
2018,0.28016554331874305,0.6256946274718431,0.09413982920941394,6
2019,0.280463528635196,0.6401133567265589,0.07942311463824517,7
2020,0.3375878128933282,0.6467859926125248,0.01562619449414695,8
2021,0.33446143422503644,0.6556529053736389,0.009885660401324665,9
2022,0.3523737332743545,0.6476262667255692,7.609088487631094e-14,10
2023,0.3389745057627114,0.65365858931338,0.007366904923908785,11
2024,0.3819693453420376,0.6068114676368181,0.01121918702114441,12
2025,0.3973177414488139,0.6026822585510938,9.2430875291497e-14,13
2026,0.3873774812305886,0.6090071098808414,0.0036154088885700223,14
