model,season,RUCK_ev_bias,RUCK_n,MIDFIELDER_ev_bias,MIDFIELDER_n,KEY_DEFENDER_ev_bias,KEY_DEFENDER_n,MEDIUM_DEFENDER_ev_bias,MEDIUM_DEFENDER_n,KEY_FORWARD_ev_bias,KEY_FORWARD_n,MEDIUM_FORWARD_ev_bias,MEDIUM_FORWARD_n,MIDFIELDER_3voter_hit,MIDFIELDER_3voters,KEY_DEFENDER_3voter_hit,KEY_DEFENDER_3voters,MEDIUM_DEFENDER_3voter_hit,MEDIUM_DEFENDER_3voters,RUCK_3voter_hit,RUCK_3voters
Structural (A),2012,-0.055608249228023925,19,-0.16007935798273512,164,-0.827240405027419,12,-0.8908394871575683,22,-0.6041771356143265,12,-0.2878636846299689,21,0.576,125,0.5,4,0.25,12,0.6923076923076923,13
Structural (A),2013,-0.3900095173718231,21,-0.10818325154666827,168,-1.4126232696178618,11,-1.2107376723720056,16,-1.13404088553092,11,-0.15307439127891626,22,0.5899280575539568,139,0.5,2,0.5454545454545454,11,0.3,10
Structural (A),2014,0.11341484161985009,17,-0.14844222805818202,161,-1.9499661158711168,8,-0.2482011219587729,21,-0.7041114886185206,16,-1.3332544656694054,17,0.6183206106870229,131,0.5,2,0.5454545454545454,11,0.5,4
Structural (A),2015,-0.6294835756110673,16,-0.16585537323546512,157,-1.6319451520538863,7,-0.5239257224302848,14,-0.7788725474912422,15,-0.627183684215663,18,0.6744186046511628,129,0.0,1,0.14285714285714285,7,0.3333333333333333,9
Structural (A),2016,-0.11103925406789243,14,0.023309216484661333,147,-1.4700933227538127,13,-0.3279077961394403,16,-0.9648731286219078,18,-0.7694701938016356,21,0.6910569105691057,123,0.0,3,0.36363636363636365,11,0.2857142857142857,7
Structural (A),2017,-0.270478783587008,17,-0.0690250708402128,143,-1.5515915872007293,9,-0.6442786782611116,22,-1.3156882895689266,15,-0.3916934741406009,13,0.6691729323308271,133,0.0,1,0.5714285714285714,7,0.16666666666666666,6
Structural (A),2018,-0.10516205590567168,18,-0.05044149823661018,148,-0.25225286849183404,7,-0.967494257899935,26,-0.4893287540988128,16,-0.6918639206965533,22,0.5121951219512195,123,0.5,2,0.15384615384615385,13,0.5,8
Structural (A),2019,-0.13103110567319848,18,-0.21841673851809643,137,-1.1510578385817236,10,0.5486631318495918,18,-0.4371607037244503,14,-0.9693616360523432,31,0.7364341085271318,129,0.3333333333333333,3,0.25,4,0.8,10
Structural (A),2020,0.31526181413900894,14,-0.2781990612386345,138,-0.4691405808532701,15,0.7942435256990229,23,0.1454501606343692,9,-0.8625759120333447,31,0.5729166666666666,96,0.2,5,0.6666666666666666,3,0.25,4
Structural (A),2021,-0.30432448228836456,20,-0.3727365323501358,87,-0.08352638583814748,22,0.37140063234243337,41,-0.4990107583872989,32,-0.12640265023148736,28,0.6861313868613139,137,0.0,3,0.625,8,0.5,12
Structural (A),2022,0.472342897586528,21,-0.2083346331709839,82,0.07814986509757492,14,-0.006990959871457081,40,-0.9657890613349357,33,-1.0924568357648032,26,0.7192982456140351,114,0.0,2,0.42105263157894735,19,0.6666666666666666,12
Structural (A),2023,1.3194910334741228,18,-0.5011232298668741,91,-0.5285029371519991,18,0.0622422434357372,39,-0.5572621193979611,34,-0.7027381728414632,36,0.5298507462686567,134,0.2222222222222222,9,0.375,16,0.3333333333333333,6
Structural (A),2024,2.509785880320205,19,-0.9210686300326643,85,0.5230466156047643,20,-0.3540288288331337,41,-0.3596122756397996,32,-0.5905536392845621,26,0.5827338129496403,139,0.6666666666666666,3,0.4,20,0.2857142857142857,7
Structural (A),2025,0.9762027441495744,16,-0.37236994332309853,83,-0.5722312416641887,15,-0.42724171831700114,46,-0.04015176468185754,26,-0.8404349932393592,30,0.6260869565217392,115,0.5,2,0.32,25,0.3125,16
Structural (A),2026,0.1905577718379072,15,-0.8891172015184873,113,0.04935961594988284,9,1.6470102667571596,34,-0.9525295151757417,13,-0.5552242336664966,34,0.7238805970149254,134,,0,0.8571428571428571,14,0.5454545454545454,11
"Performance ML (B, default params)",2012,-1.2872042988270775,16,0.08278650193322931,166,-1.4616950669049418,10,-1.248981650724814,20,-0.42291508894438046,11,-0.06080699082245952,23,0.592,125,0.5,4,0.25,12,0.46153846153846156,13
"Performance ML (B, default params)",2013,-1.246917816017816,18,0.11661888461802962,166,-1.7252909345069314,11,-1.136775557772594,16,-1.029619379381529,11,-0.24345031389512073,21,0.60431654676259,139,0.5,2,0.6363636363636364,11,0.1,10
"Performance ML (B, default params)",2014,-0.5727272593240322,16,0.04195423011217144,160,-2.3580284276968655,8,-0.22259963179396633,20,-0.6303214827781657,16,-1.095834946621333,17,0.6335877862595419,131,0.0,2,0.5454545454545454,11,0.25,4
"Performance ML (B, default params)",2015,-1.6379929463804443,14,0.06267441755618561,151,-2.150412401883481,7,-0.7689859124401903,12,-0.4183453821911447,15,-0.75607520446684,16,0.6821705426356589,129,0.0,1,0.2857142857142857,7,0.0,9
"Performance ML (B, default params)",2016,-0.409304322974063,12,0.20425861838060214,150,-1.6787556778216248,13,-0.5647928515535919,16,-0.8350555538602502,19,-1.0384833563821614,22,0.7154471544715447,123,0.0,3,0.2727272727272727,11,0.2857142857142857,7
"Performance ML (B, default params)",2017,-0.9541267375563957,16,0.1652474373275563,141,-2.191721819096607,8,-0.7576635341396554,22,-1.5141274612775362,15,-0.6395570880333108,13,0.6842105263157895,133,0.0,1,0.42857142857142855,7,0.16666666666666666,6
"Performance ML (B, default params)",2018,-0.5644500805854648,17,0.23255084124524106,146,-1.4146164492576725,6,-1.325878298339835,25,-0.814678174176166,16,-0.8276673698898123,22,0.5447154471544715,123,0.5,2,0.15384615384615385,13,0.5,8
"Performance ML (B, default params)",2019,-1.0124781671055372,19,0.032105464570696046,138,-1.743603720648981,9,0.023131873475539095,15,-0.3237742106791259,15,-0.7377379153707937,31,0.689922480620155,129,0.0,3,0.25,4,0.6,10
"Performance ML (B, default params)",2020,-0.23818219241866198,12,0.07124050076138712,133,-1.1490040664243,14,0.689780478687701,21,-0.09527479456221617,9,-1.1428149145286182,32,0.5729166666666666,96,0.2,5,0.6666666666666666,3,0.5,4
"Performance ML (B, default params)",2021,-0.28412457423590387,20,-0.3576039546273928,86,-0.9955971483969632,17,0.20321132179793744,38,-0.44147520066652646,33,0.04514870216773742,32,0.7153284671532847,137,0.0,3,0.5,8,0.5,12
"Performance ML (B, default params)",2022,0.3301646897504095,19,0.259399575856355,82,-1.2632427024053328,9,-0.18155261525057897,35,-0.8800296536294809,34,-1.0407359996150118,26,0.7368421052631579,114,0.0,2,0.5263157894736842,19,0.6666666666666666,12
"Performance ML (B, default params)",2023,0.9628234242731255,17,-0.24788113130353714,88,-1.4532006835886024,17,0.06912063081083726,35,-0.16385355110587188,34,-0.7194753059854424,33,0.5074626865671642,134,0.1111111111111111,9,0.375,16,0.0,6
"Performance ML (B, default params)",2024,1.9945520696559091,18,-1.1216005957624067,87,0.2392641450816214,19,-0.1212842285131604,43,-0.2968232939161296,32,-0.15237073480097618,29,0.5539568345323741,139,0.6666666666666666,3,0.4,20,0.42857142857142855,7
"Performance ML (B, default params)",2025,-0.22402175532834032,15,-0.3013596803104882,84,-0.9443970815637933,15,-0.12817263580357807,47,0.02149529909214882,28,-0.5690254296933068,31,0.6260869565217392,115,0.5,2,0.28,25,0.25,16
"Performance ML (B, default params)",2026,0.22916617861236996,15,-0.8244991670362035,114,-0.5641662883648568,6,1.4873886930993385,34,-0.5725055817503958,15,-0.563880587812051,34,0.6940298507462687,134,,0,0.7142857142857143,14,0.45454545454545453,11
Performance ML (B),2012,-1.0443298709038098,16,0.07258167927897394,167,-1.206846787240232,11,-1.121950773342501,21,-0.4167513121435864,11,-0.3319149958543405,20,0.584,125,0.25,4,0.3333333333333333,12,0.5384615384615384,13
Performance ML (B),2013,-1.1351411757099767,18,0.0888021837852311,165,-1.3239307764790487,12,-1.1097527725845442,16,-0.8784757935238922,11,-0.44635323727147425,21,0.6115107913669064,139,0.0,2,0.5454545454545454,11,0.0,10
Performance ML (B),2014,-0.33778815051726396,16,0.034238587875142314,159,-2.1615174222709355,8,-0.1752346939370859,21,-0.8748083962508477,16,-1.214846078007041,17,0.6183206106870229,131,0.0,2,0.5454545454545454,11,0.25,4
Performance ML (B),2015,-1.324114775799002,14,0.036480394663713465,150,-1.8748458181129402,7,-0.5528834553518922,14,-0.39878596630361385,16,-0.8190773805732732,16,0.6589147286821705,129,0.0,1,0.14285714285714285,7,0.0,9
Performance ML (B),2016,-0.09748327208386402,12,0.15990573802792407,148,-1.5603606388688065,13,-0.5745250435364088,16,-1.0298130797460492,18,-0.936014795686649,22,0.7235772357723578,123,0.0,3,0.18181818181818182,11,0.2857142857142857,7
Performance ML (B),2017,-0.44984029152609833,17,0.05622677579689211,141,-2.0431217045212335,8,-0.6077548597452828,23,-1.2800604484475344,15,-0.5052870265094409,13,0.6616541353383458,133,0.0,1,0.42857142857142855,7,0.16666666666666666,6
Performance ML (B),2018,-0.45528707868197754,16,0.1841809560616637,145,-0.9521492625034218,7,-1.0854432542778178,27,-0.6518363073543259,16,-0.79154852817754,22,0.5365853658536586,123,0.5,2,0.15384615384615385,13,0.5,8
Performance ML (B),2019,-0.7358841465090878,20,-0.004373501966167417,139,-1.2947156777352795,10,0.17770590956395993,16,-0.2801298969923859,15,-0.7382081316652497,31,0.7286821705426356,129,0.0,3,0.25,4,0.6,10
Performance ML (B),2020,0.3251953764972644,13,0.014332167928998515,133,-0.8544093746151218,14,0.772456914968011,21,-0.18255741834663025,9,-1.1752127842198061,32,0.5833333333333334,96,0.2,5,0.6666666666666666,3,0.5,4
Performance ML (B),2021,-0.22766781804503694,20,-0.4187444309862116,86,-0.5349646632445467,18,0.278942311303044,38,-0.45486182853074725,33,-0.023899189622739795,30,0.7226277372262774,137,0.3333333333333333,3,0.5,8,0.4166666666666667,12
Performance ML (B),2022,0.3196282799067416,19,0.20868488696140128,82,-0.6367576774213259,11,-0.168852533029545,36,-0.8165291578634006,34,-1.0116449400228062,26,0.6842105263157895,114,0.0,2,0.42105263157894735,19,0.6666666666666666,12
Performance ML (B),2023,1.0216846739238203,17,-0.3346842068708573,88,-1.1884773787065552,17,0.13741268426216827,35,-0.15662452468598037,34,-0.6741028674281481,33,0.47761194029850745,134,0.1111111111111111,9,0.4375,16,0.0,6
Performance ML (B),2024,1.9891529860414652,19,-1.2021020661548925,87,0.5123360575092046,21,-0.11285005867939982,42,-0.26746153547494467,32,-0.13851317516128644,28,0.539568345323741,139,0.6666666666666666,3,0.4,20,0.42857142857142855,7
Performance ML (B),2025,-0.19089004824488337,15,-0.33714024245025614,83,-0.765497289530607,15,-0.22318560128142997,47,0.14958813758123488,28,-0.550008846567113,31,0.6260869565217392,115,0.5,2,0.24,25,0.25,16
Performance ML (B),2026,0.20448539324979778,14,-0.8345707036587144,113,-0.33213819048349896,6,1.4491025294746176,34,-0.9052352643700727,12,-0.5306875545024514,34,0.7164179104477612,134,,0,0.7142857142857143,14,0.5454545454545454,11
Stats-only (C),2012,0.12402587143922077,20,-0.24536731600354,169,-1.2956823287046537,10,-1.0395693069749323,23,-0.006011578577483382,13,0.24265061069292285,24,0.584,125,0.5,4,0.25,12,0.7692307692307693,13
Stats-only (C),2013,-0.3202917518927948,21,-0.238469083171842,172,-1.6803611502085183,11,-0.8277915232464766,16,-0.30723244484306456,12,0.1516491680238181,22,0.6187050359712231,139,0.5,2,0.6363636363636364,11,0.3,10
Stats-only (C),2014,0.2162736603333343,17,-0.18802184461542387,169,-2.1384796150640417,8,-0.21444824271867916,22,-0.49691979123636965,16,-0.9187793186636714,17,0.6183206106870229,131,0.0,2,0.7272727272727273,11,0.75,4
Stats-only (C),2015,-0.3338311612845242,16,-0.2645646029236718,161,-1.7913352468389554,7,-0.3366182829203781,15,-0.26940343973670733,15,-0.4500744130151903,18,0.6046511627906976,129,0.0,1,0.2857142857142857,7,0.3333333333333333,9
Stats-only (C),2016,0.006194144601775063,14,-0.08069854253287381,148,-1.6245233596194626,13,-0.3167151389978269,16,-0.8172346479835197,18,-0.15013327967675497,23,0.6666666666666666,123,0.0,3,0.36363636363636365,11,0.2857142857142857,7
Stats-only (C),2017,-0.26390682684927785,18,-0.10730524714736552,144,-2.113633235194602,8,-0.5416775670967051,22,-0.9451683922449946,16,-0.34953924132221315,13,0.6842105263157895,133,0.0,1,0.42857142857142855,7,0.16666666666666666,6
Stats-only (C),2018,-0.1808005841925348,18,-0.13984515921226526,148,-0.6657920077299563,7,-0.6906202948844211,28,-0.10548789456779961,16,-0.4613046988872487,23,0.4959349593495935,123,0.5,2,0.38461538461538464,13,0.625,8
Stats-only (C),2019,0.04589928482344326,20,-0.24710288054545995,139,-1.3146877457982336,10,0.5379767356333383,18,-0.34889989014536127,15,-0.8796647622929685,31,0.6821705426356589,129,0.0,3,0.25,4,0.9,10
Stats-only (C),2020,-0.03431050235774992,15,-0.2871356217829382,139,-0.9315890040925121,14,0.881945297756417,23,0.41919983464949445,9,-0.7727366115760333,31,0.53125,96,0.2,5,0.6666666666666666,3,0.0,4
Stats-only (C),2021,-0.05378991310354686,20,-0.6309685082622943,87,-0.8547289013917189,17,0.48319352284098144,40,-0.34300966759555257,32,0.0017406335208015524,29,0.6496350364963503,137,0.3333333333333333,3,0.625,8,0.5833333333333334,12
Stats-only (C),2022,0.8223616116383861,20,-0.4209931789737444,83,-0.4251469491470824,13,0.19644190686269694,41,-0.7249652909707636,33,-0.7819668694393725,27,0.6842105263157895,114,0.0,2,0.42105263157894735,19,0.8333333333333334,12
Stats-only (C),2023,1.569171679755163,18,-0.7302791954418894,92,-1.0663067981258205,17,0.33773297639704924,40,-0.3843909450405046,34,-0.4219954780485759,37,0.5149253731343284,134,0.2222222222222222,9,0.5625,16,0.3333333333333333,6
