a,b,metric,n_matches,mean_diff,ci_lo,ci_hi
A_structural_pl,B_performance_xgb_rank,correct_3,2960,0.007770270270270271,-0.003724662162162162,0.019594594594594596
A_structural_pl,B_performance_xgb_rank,log_loss_p3,2960,0.009289339424183625,-0.0070899989705790626,0.024622651251189717
A_structural_pl,B_performance_xgb_rank,exact_321,2960,-0.004391891891891892,-0.01521114864864865,0.0057432432432432436
A_structural_pl,B_performance_xgb_rank_tuned,correct_3,2960,0.008445945945945946,-0.004054054054054054,0.020954391891891886
A_structural_pl,B_performance_xgb_rank_tuned,log_loss_p3,2960,0.020629999851680226,0.004530406069124848,0.03557732540438472
A_structural_pl,B_performance_xgb_rank_tuned,exact_321,2960,0.0006756756756756757,-0.009797297297297298,0.011486486486486487
A_structural_pl,C_stats_only_pl,correct_3,2960,0.0030405405405405407,-0.006756756756756757,0.013513513513513514
A_structural_pl,C_stats_only_pl,log_loss_p3,2960,-0.019752297516357528,-0.028276297921094054,-0.010718317636441143
A_structural_pl,C_stats_only_pl,exact_321,2960,0.004054054054054054,-0.005076013513513514,0.013175675675675676
A_structural_pl,C_stats_only_xgb_rank,correct_3,2960,0.0033783783783783786,-0.009121621621621622,0.016216216216216217
A_structural_pl,C_stats_only_xgb_rank,log_loss_p3,2960,0.002470173917748008,-0.015441963207962766,0.01911233208520589
A_structural_pl,C_stats_only_xgb_rank,exact_321,2960,-0.00033783783783783786,-0.011486486486486487,0.010810810810810811
A_structural_pl,baseline_phase4_pl_legacy,correct_3,2689,0.014131647452584604,0.002231312755671253,0.025660096690219413
A_structural_pl,baseline_phase4_pl_legacy,log_loss_p3,2689,-0.020855842386087047,-0.03314772767994991,-0.008766302038966679
A_structural_pl,baseline_phase4_pl_legacy,exact_321,2689,0.007809594644849386,-0.001859427296392711,0.017850502045370024
baseline_phase4_pl_legacy,A_structural_pl,correct_3,2689,-0.014131647452584604,-0.025660096690219413,-0.002231312755671253
baseline_phase4_pl_legacy,A_structural_pl,log_loss_p3,2689,0.020855842386087047,0.008766302038966679,0.03314772767994991
baseline_phase4_pl_legacy,A_structural_pl,exact_321,2689,-0.007809594644849386,-0.017850502045370024,0.001859427296392711
baseline_phase4_pl_legacy,B_performance_xgb_rank,correct_3,2689,-0.004462625511342506,-0.01822238750464857,0.009669021941242098
baseline_phase4_pl_legacy,B_performance_xgb_rank,log_loss_p3,2689,0.031074953011904848,0.015087898593895956,0.04690835573171854
baseline_phase4_pl_legacy,B_performance_xgb_rank,exact_321,2689,-0.011528449237634809,-0.021950539233915954,-0.0007437709185570844
baseline_phase4_pl_legacy,B_performance_xgb_rank_tuned,correct_3,2689,-0.004462625511342506,-0.017478616586091483,0.009669021941242098
baseline_phase4_pl_legacy,B_performance_xgb_rank_tuned,log_loss_p3,2689,0.04305591971961475,0.025527848836793664,0.059172115928772355
baseline_phase4_pl_legacy,B_performance_xgb_rank_tuned,exact_321,2689,-0.006322052807735217,-0.017116028263294905,0.004834510970621049
baseline_phase4_pl_legacy,C_stats_only_pl,correct_3,2689,-0.009669021941242098,-0.023438081071030122,0.00334696913350688
baseline_phase4_pl_legacy,C_stats_only_pl,log_loss_p3,2689,-0.00028042493484625806,-0.01279600159216,0.013326599969740404
baseline_phase4_pl_legacy,C_stats_only_pl,exact_321,2689,-0.0003718854592785422,-0.010784678319077723,0.01004090740052064
baseline_phase4_pl_legacy,C_stats_only_xgb_rank,correct_3,2689,-0.006322052807735217,-0.019709929341762737,0.007818891781331341
baseline_phase4_pl_legacy,C_stats_only_xgb_rank,log_loss_p3,2689,0.020545722975407434,0.0040233300901314425,0.03746593907158265
baseline_phase4_pl_legacy,C_stats_only_xgb_rank,exact_321,2689,-0.005578281889178133,-0.016744142804016364,0.005950167348456675
