pilot_test_season,inner_holdout,max_depth,n_estimators,learning_rate,min_child_weight,holdout_pl_nll_per_match,holdout_correct_3,tau,seconds
2014,2013,3,200,0.05,5,5.276383298302665,0.5757575757575758,2.1275796405338148,29.3
2014,2013,3,200,0.05,20,5.30455861357868,0.5656565656565656,2.1228109608876906,39.3
2014,2013,3,400,0.05,5,5.16823333895146,0.5909090909090909,2.2820414555845976,71.8
2014,2013,3,400,0.05,20,5.173737656646574,0.5909090909090909,2.291360064557172,66.0
2014,2013,4,200,0.05,5,5.239635796716371,0.5757575757575758,2.157611878973203,32.3
2014,2013,4,200,0.05,20,5.238882926514911,0.5555555555555556,2.164891505735668,43.8
2014,2013,4,400,0.05,5,5.162349797747462,0.5505050505050505,2.3164509226520407,76.8
2014,2013,4,400,0.05,20,5.156732704433693,0.5656565656565656,2.309799668804172,58.9
2014,2013,6,200,0.05,5,5.167246862111358,0.5656565656565656,2.2067534694552515,42.2
2014,2013,6,200,0.05,20,5.170419450943845,0.5707070707070707,2.1787093289118387,46.9
2014,2013,6,400,0.05,5,5.140498282340578,0.5353535353535354,2.363437382958067,63.1
2014,2013,6,400,0.05,20,5.1302440662674496,0.5353535353535354,2.335095162739118,85.6
2015,2014,3,200,0.05,5,4.899778104675603,0.5757575757575758,2.1989512701173353,36.2
2015,2014,3,200,0.05,20,4.888090956634676,0.5707070707070707,2.230770568868716,30.7
2015,2014,3,400,0.05,5,4.716804310755077,0.5959595959595959,2.397914304574388,70.0
2015,2014,3,400,0.05,20,4.696695550444162,0.5808080808080808,2.441195211135023,65.8
2015,2014,4,200,0.05,5,4.789038333796003,0.5757575757575758,2.2909350286360275,28.9
2015,2014,4,200,0.05,20,4.814598122223985,0.5858585858585859,2.275388821285985,24.5
2015,2014,4,400,0.05,5,4.654724430916878,0.6060606060606061,2.462095999266065,50.9
2015,2014,4,400,0.05,20,4.657515937301713,0.6060606060606061,2.469852021594908,46.9
2015,2014,6,200,0.05,5,4.638371036742544,0.6161616161616161,2.377372363038956,30.7
2015,2014,6,200,0.05,20,4.676024770978744,0.5858585858585859,2.3332183646357794,36.5
2015,2014,6,400,0.05,5,4.5894725818924496,0.5909090909090909,2.598216871249906,58.8
2015,2014,6,400,0.05,20,4.601331991592639,0.5959595959595959,2.531648481137399,60.0
2016,2015,3,200,0.05,5,5.080879678531569,0.5786802030456852,2.1562885241236005,29.4
2016,2015,3,200,0.05,20,5.082485899633291,0.5786802030456852,2.1549884827257286,27.1
2016,2015,3,400,0.05,5,4.930458535953444,0.5989847715736041,2.320037014183361,43.2
2016,2015,3,400,0.05,20,4.924639643455039,0.5888324873096447,2.3157677824634293,49.8
2016,2015,4,200,0.05,5,5.002811665437659,0.583756345177665,2.1947591508242126,31.1
2016,2015,4,200,0.05,20,5.010131524533642,0.5786802030456852,2.1968927282244013,23.1
2016,2015,4,400,0.05,5,4.9044753094108735,0.5989847715736041,2.3502902836058484,57.8
2016,2015,4,400,0.05,20,4.892199146504304,0.6040609137055838,2.349804065331067,51.4
2016,2015,6,200,0.05,5,4.94492075394611,0.5736040609137056,2.2173744898621615,38.3
2016,2015,6,200,0.05,20,4.942022829639669,0.5939086294416244,2.222400581019075,38.8
2016,2015,6,400,0.05,5,4.8902036705795595,0.5634517766497462,2.4174024070428723,60.9
2016,2015,6,400,0.05,20,4.872744501853476,0.5786802030456852,2.398559004425865,68.5
