max_depth,n_estimators,learning_rate,min_child_weight,mean_nll,mean_correct_3,n,selected
6,400,0.05,20,4.868106853237855,0.5699977781196055,3,True
6,400,0.05,5,4.873391511604196,0.5632381343041242,3,False
4,400,0.05,20,4.90214926274657,0.5919260284742518,3,False
4,400,0.05,5,4.907183179358404,0.5851834760464202,3,False
6,200,0.05,5,4.916846217600004,0.5851407475772957,3,False
6,200,0.05,20,4.929489017187419,0.5834914286690936,3,False
3,400,0.05,20,4.931690950181925,0.5868498863422721,3,False
3,400,0.05,5,4.938498728553327,0.5952844861474303,3,False
4,200,0.05,5,5.010495265316678,0.5784238322309389,3,False
4,200,0.05,20,5.021204191090846,0.5733647814866089,3,False
3,200,0.05,5,5.085680360503279,0.5767317848536123,3,False
3,200,0.05,20,5.091711823282216,0.5716812798031072,3,False
