model,experiment,season,n_matches,correct_3,a3_in_top2,a3_in_top3,exact_321,unordered_top3,top3_ev_precision,log_loss_p3,brier_p3,ev_mae,ece_p3,n_player_rows,n_players,season_mae,season_rmse,season_bias,spearman,rank_mae_top30,winner_pred_rank,winner_correct,top3_hit,top3_n,top5_hit,top5_n,top10_hit,top10_n
"A (current, with role)",A_structural_pl,2012,198,0.5505050505050505,0.7828282828282829,0.8585858585858586,0.07575757575757576,0.21212121212121213,0.6498316498316498,1.3084708064394552,0.013174752925993098,0.12730595396164246,0.00583600865345574,8712,676,0.7996818455892238,1.5206777827576867,-1.0300767471078375e-15,0.7527687325875915,11.516129032258064,4,False,0.0,3,0.6,5,0.8,10
"A (current, with role)",A_structural_pl,2013,198,0.5707070707070707,0.7525252525252525,0.8434343434343434,0.09090909090909091,0.23737373737373738,0.654882154882155,1.3480814214945924,0.01308022206519865,0.1281833734458902,0.006053004831008774,8712,677,0.7917778073017353,1.4956536819414046,1.2069780592675263e-16,0.7702469861910302,10.970588235294118,1,True,1.0,3,0.6,5,0.6,10
"A (current, with role)",A_structural_pl,2014,198,0.6161616161616161,0.7777777777777778,0.8787878787878788,0.13131313131313133,0.29797979797979796,0.7138047138047139,1.227834563723058,0.012419952492420163,0.11490832833415388,0.005118895899240563,8712,663,0.7011689410394275,1.3295467553579476,3.2687109261965395e-16,0.7690988766384865,10.3,5,False,0.5,4,0.75,8,0.7,10
"A (current, with role)",A_structural_pl,2015,197,0.5888324873096447,0.7461928934010152,0.883248730964467,0.09644670050761421,0.233502538071066,0.676818950930626,1.246224646113135,0.0126041621170071,0.11738055291009385,0.005000679278980923,8668,665,0.6839384917187924,1.338381622627475,-3.739698609263685e-17,0.7690427429267568,12.0,1,True,0.6666666666666666,3,0.8,5,0.7,10
"A (current, with role)",A_structural_pl,2016,198,0.6111111111111112,0.803030303030303,0.8888888888888888,0.10101010101010101,0.23232323232323232,0.6868686868686869,1.1908214434295714,0.012520913734355033,0.11023057321492016,0.0023493218946896654,8712,656,0.7302287058681376,1.5372454074517636,6.5421922621814105e-15,0.7626435479369739,9.833333333333334,1,True,0.6666666666666666,3,0.42857142857142855,7,0.6666666666666666,12
"A (current, with role)",A_structural_pl,2017,198,0.6313131313131313,0.8333333333333334,0.9090909090909091,0.1111111111111111,0.26262626262626265,0.6969696969696971,1.068836424562452,0.011591322186268174,0.10813168515303753,0.0025274827482881317,8712,656,0.6894230953584298,1.456642593560234,-1.2144756744984945e-15,0.7700113892590574,9.162162162162161,2,False,1.0,3,0.6,5,0.6,10
"A (current, with role)",A_structural_pl,2018,198,0.5404040404040404,0.7474747474747475,0.8737373737373737,0.1111111111111111,0.2777777777777778,0.6919191919191919,1.396329748853082,0.014111529673382636,0.11469957468125076,0.0042837543027818385,8712,656,0.8134224450976102,1.7557010077998225,7.213741799027846e-15,0.7766280755745284,13.676470588235293,1,True,0.3333333333333333,3,0.2,5,0.6363636363636364,11
"A (current, with role)",A_structural_pl,2019,198,0.6414141414141414,0.8232323232323232,0.9090909090909091,0.09595959595959595,0.2878787878787879,0.7104377104377105,1.1264097170816005,0.011617048766683659,0.10495980837827966,0.003421310651165285,8712,654,0.6928512415988315,1.4026619508313496,-6.056996562480976e-16,0.7535294337125,8.612903225806452,3,False,0.75,4,0.6,5,0.8,10
"A (current, with role)",A_structural_pl,2020,153,0.5620915032679739,0.7712418300653595,0.8954248366013072,0.08496732026143791,0.22875816993464052,0.6557734204793029,1.2966727727257068,0.013271831218722942,0.12220492504966474,0.004344595453492733,6732,654,0.6401626500901794,1.2648476094680046,1.8469765302632573e-16,0.7565370357455432,9.5,1,True,0.5,4,0.625,8,0.8,10
"A (current, with role)",A_structural_pl,2021,198,0.6818181818181818,0.8636363636363636,0.9191919191919192,0.13131313131313133,0.2777777777777778,0.696969696969697,1.0625006665227381,0.00988886468814228,0.10139525176265794,0.004634450882334612,9108,674,0.7050953363911404,1.4943680576912122,6.773348779315495e-16,0.7469448650281058,7.774193548387097,1,True,0.6666666666666666,3,0.6666666666666666,6,0.9,10
"A (current, with role)",A_structural_pl,2022,198,0.6414141414141414,0.8333333333333334,0.9040404040404041,0.06060606060606061,0.24242424242424243,0.6919191919191919,1.0912873703891253,0.010970110249316368,0.10163394521062921,0.003481155035288107,9108,683,0.6808464461350023,1.4346802587834426,-3.901222926940521e-17,0.7723211374834122,14.264705882352942,3,False,0.6666666666666666,3,0.8,5,0.7,10
"A (current, with role)",A_structural_pl,2023,207,0.5120772946859904,0.7101449275362319,0.8260869565217391,0.043478260869565216,0.20772946859903382,0.6183574879227053,1.5108306830914646,0.013700146306905456,0.12060634442067887,0.004076886321406735,9522,663,0.8658482929937578,1.8339793356944583,-5.572884202040001e-16,0.738825641878674,9.4,6,False,0.3333333333333333,3,0.6,5,0.7,10
"A (current, with role)",A_structural_pl,2024,207,0.5120772946859904,0.7246376811594203,0.821256038647343,0.07729468599033816,0.23671497584541062,0.639291465378422,1.5219460258839672,0.014042281039695811,0.11850312120398357,0.0051589301289404164,9522,658,0.8598729166900272,1.8004214863808201,9.718669638056082e-17,0.7322751850809741,6.911764705882353,2,False,0.6666666666666666,3,0.4,5,0.7,10
"A (current, with role)",A_structural_pl,2025,207,0.5362318840579711,0.7294685990338164,0.8599033816425121,0.06763285024154589,0.18357487922705315,0.6457326892109501,1.4142054334664935,0.013402933688425033,0.11615693917749666,0.004231371963536877,9522,742,0.743662044493583,1.740796538622859,-1.0437891940411176e-15,0.7134482734794461,9.2,6,False,0.6666666666666666,3,0.4,5,0.7,10
