test_season,window,n_train_seasons,fit_seconds,n_matches,correct_3,a3_in_top2,a3_in_top3,exact_321,unordered_top3,top3_ev_precision,log_loss_p3,brier_p3,ev_mae,ece_p3,n_player_rows,correct_3_ci_lo,correct_3_ci_hi,log_loss_p3_ci_lo,log_loss_p3_ci_hi,exact_321_ci_lo,exact_321_ci_hi,n_players,season_mae,season_rmse,season_bias,spearman,rank_mae_top30,winner_pred_rank,winner_correct,top3_hit,top3_n,top5_hit,top5_n,top10_hit,top10_n
2017,recent8,8,29.6,198,0.6262626262626263,0.8232323232323232,0.9090909090909091,0.10101010101010101,0.24242424242424243,0.691919191919192,1.0815509028539545,0.011672629058597386,0.1082399744214019,0.0028232687088644024,8712,0.5555555555555556,0.6868686868686869,0.9561368434023857,1.2263052399321706,0.06565656565656566,0.1414141414141414,656,0.6917923401798317,1.4690735123927927,2.108069816269962e-15,0.769363543669978,9.135135135135135,2,False,1.0,3,0.6,5,0.6,10
2018,recent8,8,30.7,198,0.5353535353535354,0.7474747474747475,0.8585858585858586,0.1111111111111111,0.2777777777777778,0.6902356902356902,1.402630882766905,0.01418511748373511,0.11511071447490967,0.004161414986539602,8712,0.4619949494949495,0.6060606060606061,1.217898175799242,1.6164063286611539,0.0707070707070707,0.15416666666666656,656,0.8171471132289866,1.7627125496925893,-6.065608719903294e-15,0.7759614642935089,13.617647058823529,1,True,0.3333333333333333,3,0.2,5,0.5454545454545454,11
2019,recent8,8,31.1,198,0.6414141414141414,0.8383838383838383,0.9090909090909091,0.1111111111111111,0.29797979797979796,0.7154882154882156,1.1262156132097965,0.011646647974293194,0.10540116798786597,0.004323775348868654,8712,0.5781565656565657,0.7121212121212122,0.9758734310647726,1.2891639463349958,0.06805555555555556,0.15656565656565657,654,0.6988403329320744,1.4005214321254407,-6.002673723355587e-16,0.7539912004582473,8.838709677419354,3,False,0.75,4,0.6,5,0.8,10
2020,recent8,8,30.3,153,0.5424836601307189,0.7581699346405228,0.8954248366013072,0.06535947712418301,0.2222222222222222,0.6492374727668845,1.2934707822164102,0.013288138755519721,0.12188232317015579,0.003541076022721791,6732,0.47058823529411764,0.6209150326797386,1.135792718386929,1.4639278411204215,0.0292483660130719,0.1111111111111111,654,0.6351147144013373,1.2600781444642812,-5.975512303792891e-17,0.7574219317974447,9.533333333333333,1,True,0.5,4,0.75,8,0.8,10
2021,recent8,8,32.0,198,0.6818181818181818,0.8585858585858586,0.9141414141414141,0.12626262626262627,0.2777777777777778,0.6952861952861954,1.0704299386669758,0.00989465963466229,0.1017498949749925,0.004759540463426001,9108,0.626010101010101,0.7474747474747475,0.903038935355755,1.268602928747387,0.08080808080808081,0.16666666666666666,674,0.706302596431626,1.5049311831761332,-7.24774674829479e-16,0.7478944662207194,8.064516129032258,1,True,0.6666666666666666,3,0.6666666666666666,6,0.9,10
2022,recent8,8,32.1,198,0.6616161616161617,0.8383838383838383,0.898989898989899,0.0707070707070707,0.26262626262626265,0.6986531986531987,1.0851357201385248,0.010875437413801023,0.10137805663173508,0.0037486090006422536,9108,0.5983585858585858,0.7272727272727273,0.9372099572298035,1.239907575535631,0.03535353535353535,0.10606060606060606,683,0.6787951086519225,1.434384469890406,5.64376916764062e-16,0.7730998401753819,14.323529411764707,3,False,0.6666666666666666,3,0.8,5,0.7,10
2023,recent8,8,36.0,207,0.5169082125603864,0.7101449275362319,0.8260869565217391,0.05314009661835749,0.22705314009661837,0.6231884057971014,1.5068880078258067,0.013652230081593105,0.12009264158784022,0.003824764375126917,9522,0.45410628019323673,0.5748792270531401,1.303334823483114,1.730962887062408,0.026449275362318843,0.0821256038647343,663,0.8612882945627186,1.832927200230856,2.829310441035693e-15,0.7390769248761424,9.433333333333334,6,False,0.3333333333333333,3,0.6,5,0.7,10
2024,recent8,8,33.0,207,0.5072463768115942,0.7246376811594203,0.8164251207729468,0.07729468599033816,0.23671497584541062,0.640901771336554,1.5196950687926436,0.013994812022915777,0.1183960983905111,0.004226386686153168,9522,0.4419082125603865,0.5700483091787439,1.3259678967315411,1.7320108883735192,0.043478260869565216,0.11594202898550725,658,0.8604521972667221,1.8007859422265873,9.718669638056082e-17,0.7313720771940256,6.882352941176471,2,False,0.6666666666666666,3,0.4,5,0.7,10
2025,recent8,8,33.3,207,0.5314009661835749,0.7198067632850241,0.8599033816425121,0.06280193236714976,0.18840579710144928,0.6457326892109502,1.4113435666107699,0.013383114603179931,0.11612976923153209,0.00422840088655492,9522,0.463768115942029,0.6015700483091786,1.2538242987640127,1.5702534881617964,0.033816425120772944,0.09432367149758443,742,0.7432340181837642,1.7352768366039275,-4.88378430239422e-16,0.7128370159911618,9.1,6,False,0.6666666666666666,3,0.4,5,0.7,10
2026,recent8,8,16.7,207,0.7101449275362319,0.8792270531400966,0.927536231884058,0.2028985507246377,0.36231884057971014,0.7600644122383253,0.8891767742875587,0.008952140170904578,0.09060247154310325,0.004620764318431713,9522,0.6496376811594203,0.782608695652174,0.7703272708968839,1.0020722369895478,0.15458937198067632,0.2537439613526569,745,0.5783507738829265,1.2834147335045247,-1.5236134501701477e-15,0.7160998204669605,5.548387096774194,1,True,1.0,3,0.8571428571428571,7,0.8,10
