test_season,window,n_train_seasons,fit_seconds,n_matches,correct_3,a3_in_top2,a3_in_top3,exact_321,unordered_top3,top3_ev_precision,log_loss_p3,brier_p3,ev_mae,ece_p3,n_player_rows,correct_3_ci_lo,correct_3_ci_hi,log_loss_p3_ci_lo,log_loss_p3_ci_hi,exact_321_ci_lo,exact_321_ci_hi,n_players,season_mae,season_rmse,season_bias,spearman,rank_mae_top30,winner_pred_rank,winner_correct,top3_hit,top3_n,top5_hit,top5_n,top10_hit,top10_n
2017,recent8,8,29.2,198,0.6212121212121212,0.8181818181818182,0.898989898989899,0.12626262626262627,0.26262626262626265,0.696969696969697,1.0818851525106492,0.011649080080107958,0.10818325184629277,0.002812912073902703,8712,0.5555555555555556,0.6895202020202019,0.9549979217425111,1.2282125643645911,0.08585858585858586,0.16666666666666666,656,0.6906321438899469,1.4551616351624255,2.1392102181801796e-16,0.7695224556122529,9.08108108108108,2,False,1.0,3,0.6,5,0.6,10
2018,recent8,8,30.8,198,0.5252525252525253,0.7525252525252525,0.8686868686868687,0.12121212121212122,0.2828282828282828,0.6936026936026938,1.4074953813288074,0.01425765223762311,0.11483748697956357,0.004494499222494004,8712,0.4518939393939394,0.5959595959595959,1.2237596314443926,1.6196701768547956,0.08080808080808081,0.16666666666666666,656,0.8121700781266458,1.7459877947751383,2.5800499947874368e-14,0.7768010833093527,13.558823529411764,1,True,0.3333333333333333,3,0.2,5,0.5454545454545454,11
2019,recent8,8,31.2,198,0.6464646464646465,0.8232323232323232,0.9141414141414141,0.1111111111111111,0.30808080808080807,0.7205387205387206,1.1210332910838272,0.011571442849364594,0.10542645491251514,0.004977365603825848,8712,0.5808080808080808,0.7147727272727271,0.969322621512731,1.2836195202884386,0.0731060606060606,0.15921717171717162,654,0.6958893524920375,1.3969939330303782,7.06196908630069e-16,0.7518256181380903,8.516129032258064,3,False,0.75,4,0.6,5,0.8,10
2020,recent8,8,30.8,153,0.5490196078431373,0.7581699346405228,0.8823529411764706,0.0718954248366013,0.21568627450980393,0.6557734204793028,1.2978565199799874,0.01329818229834634,0.1219300652607686,0.0038123224026523645,6732,0.4736928104575164,0.6308823529411763,1.1397392500521233,1.4676046269980796,0.032679738562091505,0.11764705882352941,654,0.6375671816895824,1.2701643946716308,1.412393817260138e-16,0.7567435357708253,9.766666666666667,1,True,0.5,4,0.625,8,0.8,10
2021,recent8,8,30.6,198,0.6767676767676768,0.8535353535353535,0.9090909090909091,0.12121212121212122,0.2878787878787879,0.6919191919191919,1.0717010954018185,0.00992366931038976,0.10168425420086617,0.004378667837603379,9108,0.6212121212121212,0.7474747474747475,0.9079049021196235,1.2635000881665108,0.08080808080808081,0.16161616161616163,674,0.7054714477620753,1.499313857408261,-6.509794352104775e-16,0.7467571051808441,7.580645161290323,1,True,1.0,3,0.6666666666666666,6,0.9,10
2022,recent8,8,34.0,198,0.6616161616161617,0.8333333333333334,0.9040404040404041,0.08080808080808081,0.2474747474747475,0.6919191919191919,1.0874992985151493,0.010878094797737482,0.10129755525587886,0.0028556489850765283,9108,0.5959595959595959,0.7248737373737373,0.9420716931424712,1.243131268101923,0.045454545454545456,0.12121212121212122,683,0.680742159510997,1.4352508151018897,-8.452649675037795e-16,0.772445532586576,14.147058823529411,3,False,0.6666666666666666,3,0.8,5,0.8,10
2023,recent8,8,35.5,207,0.5120772946859904,0.7053140096618358,0.8260869565217391,0.05314009661835749,0.2222222222222222,0.6231884057971014,1.5037700815994077,0.013616453527003669,0.12022492430074302,0.004002544092512077,9522,0.4467391304347826,0.5700483091787439,1.30258014190362,1.7290829892176036,0.024154589371980676,0.0821256038647343,663,0.8646563647770849,1.8375921602121061,-4.758385741741847e-15,0.7390304866438413,9.433333333333334,6,False,0.3333333333333333,3,0.6,5,0.7,10
2024,recent8,8,31.9,207,0.5217391304347826,0.7198067632850241,0.8164251207729468,0.07246376811594203,0.2222222222222222,0.6280193236714976,1.5269874631443443,0.014047734899379967,0.11854037012261838,0.005037660216970254,9522,0.45410628019323673,0.5845410628019324,1.3302259161990933,1.7357739787412265,0.03864734299516908,0.10628019323671498,658,0.8605603812769467,1.7997459926513426,1.9437339276112163e-16,0.7322088479100854,6.764705882352941,2,False,0.6666666666666666,3,0.4,5,0.7,10
2025,recent8,8,32.1,207,0.5265700483091788,0.7198067632850241,0.8647342995169082,0.04830917874396135,0.16908212560386474,0.6441223832528179,1.4109379248190739,0.013416882604092286,0.11619861261490658,0.003963343553324793,9522,0.45893719806763283,0.5967391304347824,1.2526827819730932,1.5760254788636328,0.01932367149758454,0.07983091787439603,742,0.7439907527848668,1.7352891015196312,4.404981919806551e-16,0.712969911428977,9.2,6,False,0.6666666666666666,3,0.4,5,0.7,10
2026,recent8,8,20.0,207,0.7004830917874396,0.8695652173913043,0.9468599033816425,0.1932367149758454,0.36231884057971014,0.7648953301127215,0.8924514434154428,0.008982963168333772,0.09075655289968307,0.004800769584904021,9522,0.6328502415458938,0.7729468599033816,0.7731000558643594,1.002219797152983,0.14492753623188406,0.2463768115942029,745,0.5814711550037264,1.2907826273277365,-2.0481752014024363e-15,0.7167894123959205,5.645161290322581,1,True,1.0,3,0.8571428571428571,7,0.8,10
