test_season,window,n_train_seasons,fit_seconds,n_matches,correct_3,a3_in_top2,a3_in_top3,exact_321,unordered_top3,top3_ev_precision,log_loss_p3,brier_p3,ev_mae,ece_p3,n_player_rows,correct_3_ci_lo,correct_3_ci_hi,log_loss_p3_ci_lo,log_loss_p3_ci_hi,exact_321_ci_lo,exact_321_ci_hi,n_players,season_mae,season_rmse,season_bias,spearman,rank_mae_top30,winner_pred_rank,winner_correct,top3_hit,top3_n,top5_hit,top5_n,top10_hit,top10_n
2017,recent8,8,47.0,198,0.6313131313131313,0.8333333333333334,0.9090909090909091,0.12121212121212122,0.26262626262626265,0.6952861952861954,1.0703764283432196,0.011653620192348798,0.10855462953597127,0.003183082737839294,8712,0.5606060606060606,0.6919191919191919,0.9440492471457366,1.2091675560848698,0.07575757575757576,0.16666666666666666,656,0.6936410156502578,1.4535591565065602,2.3693784062122245e-16,0.7695422705258259,9.162162162162161,2,False,1.0,3,0.6,5,0.6,10
2018,recent8,8,49.9,198,0.5303030303030303,0.7525252525252525,0.8737373737373737,0.12121212121212122,0.2878787878787879,0.6952861952861954,1.3956748823858376,0.014061288517022,0.11470976225866912,0.00474447943381696,8712,0.4595959595959596,0.6036616161616161,1.211696065820527,1.613509305521895,0.07815656565656566,0.16426767676767665,656,0.8149373721574814,1.7517480933072616,3.2743455643335106e-14,0.7762993916900691,13.647058823529411,1,True,0.3333333333333333,3,0.2,5,0.6363636363636364,11
2019,recent8,8,49.4,198,0.6464646464646465,0.8131313131313131,0.9242424242424242,0.10606060606060606,0.30303030303030304,0.7205387205387206,1.1230895685864173,0.011582726908645825,0.10512141700670198,0.004206853224034692,8712,0.5858585858585859,0.7121212121212122,0.9668858100760164,1.2913733130065115,0.0707070707070707,0.15151515151515152,654,0.6956869229330892,1.4130090101178903,-1.2317703771682166e-15,0.7531549690411045,8.612903225806452,3,False,0.75,4,0.6,5,0.8,10
2020,recent8,8,48.9,153,0.5620915032679739,0.7843137254901961,0.9019607843137255,0.0784313725490196,0.2222222222222222,0.6579520697167756,1.2993464933678962,0.013273152373994823,0.12291661855953667,0.004694469271478484,6732,0.48676470588235293,0.6405228758169934,1.1324572613298263,1.4717077944797539,0.0392156862745098,0.13071895424836602,654,0.6385642265577353,1.2620677163077112,6.681709212422961e-16,0.7564043377575154,9.466666666666667,1,True,0.5,4,0.625,8,0.8,10
2021,recent8,8,50.1,198,0.6818181818181818,0.8535353535353535,0.9191919191919192,0.13636363636363635,0.2777777777777778,0.7037037037037036,1.0545765762553496,0.009806032836956594,0.10061682689213476,0.004468877860138051,9108,0.626010101010101,0.7474747474747475,0.8890606964467133,1.2405694699902652,0.09090909090909091,0.18686868686868688,674,0.6974459875547545,1.4920134364996296,5.376510315098681e-16,0.74692690222436,7.741935483870968,1,True,0.6666666666666666,3,0.6666666666666666,6,0.9,10
2022,recent8,8,52.7,198,0.6464646464646465,0.8282828282828283,0.9090909090909091,0.08080808080808081,0.2474747474747475,0.6952861952861954,1.092682401137933,0.011001983834741559,0.10131400151595996,0.003490925993955474,9108,0.5808080808080808,0.7121212121212122,0.9500468374144116,1.2540117242643425,0.045454545454545456,0.1188131313131312,683,0.6778089391823588,1.434038884088647,2.808880507397175e-16,0.7715539224047678,14.470588235294118,3,False,0.6666666666666666,3,0.8,5,0.7,10
2023,recent8,8,52.4,207,0.5217391304347826,0.7053140096618358,0.8164251207729468,0.043478260869565216,0.19806763285024154,0.605475040257649,1.5209147367408655,0.013787398016246477,0.12111345025541823,0.004150818005040361,9522,0.45410628019323673,0.5797101449275363,1.3144379903263306,1.7493144358166084,0.01932367149758454,0.07246376811594203,663,0.8700865060600644,1.8481359171162295,8.080682092958002e-15,0.7384872302239819,9.666666666666666,6,False,0.3333333333333333,3,0.6,5,0.7,10
2024,recent8,8,50.0,207,0.5169082125603864,0.7294685990338164,0.8260869565217391,0.05314009661835749,0.21739130434782608,0.6264090177133657,1.524312628845969,0.014077370836303497,0.1187174240421184,0.004418218768213421,9522,0.4492753623188406,0.5797101449275363,1.3276498215950847,1.7409250648312216,0.026449275362318843,0.0821256038647343,658,0.8645221397051917,1.8088068774110977,4.751349600827417e-16,0.7319823739551113,6.911764705882353,2,False,0.6666666666666666,3,0.4,5,0.7,10
2025,recent8,8,51.9,207,0.5314009661835749,0.714975845410628,0.8599033816425121,0.06763285024154589,0.18840579710144928,0.6489533011272142,1.4096122918368248,0.013361852474294299,0.11613749499476529,0.003882935550834016,9522,0.461231884057971,0.6038647342995169,1.2529208291759075,1.567639734229973,0.033816425120772944,0.10144927536231885,742,0.7443732530975293,1.7412864208117635,-2.9781508196952985e-15,0.712746880890977,9.2,6,False,0.6666666666666666,3,0.4,5,0.7,10
2026,recent8,8,40.6,207,0.6956521739130435,0.8743961352657005,0.9371980676328503,0.21256038647342995,0.3719806763285024,0.7616747181964574,0.8962722169223695,0.009006392086788474,0.09100395725993449,0.005247409567081567,9522,0.6328502415458938,0.7681159420289855,0.7757188010678542,1.005461654732197,0.16654589371980677,0.2682367149758453,745,0.5760263448126719,1.2830367776209028,-7.999566706292403e-16,0.716876292081999,5.612903225806452,1,True,1.0,3,0.8571428571428571,7,0.8,10
