test_season,window,n_train_seasons,fit_seconds,n_matches,correct_3,a3_in_top2,a3_in_top3,exact_321,unordered_top3,top3_ev_precision,log_loss_p3,brier_p3,ev_mae,ece_p3,n_player_rows,correct_3_ci_lo,correct_3_ci_hi,log_loss_p3_ci_lo,log_loss_p3_ci_hi,exact_321_ci_lo,exact_321_ci_hi,n_players,season_mae,season_rmse,season_bias,spearman,rank_mae_top30,winner_pred_rank,winner_correct,top3_hit,top3_n,top5_hit,top5_n,top10_hit,top10_n
2017,recent8,8,31.2,198,0.6313131313131313,0.8232323232323232,0.898989898989899,0.09595959595959595,0.25757575757575757,0.6952861952861954,1.0790604239282429,0.011667261788898077,0.10877196549098339,0.0028181135191907296,8712,0.5555555555555556,0.696969696969697,0.9526301061552824,1.224202823330969,0.05555555555555555,0.13636363636363635,656,0.6920556196518645,1.4658900971071211,-1.3634080314604057e-15,0.7707052253410666,8.945945945945946,2,False,1.0,3,0.6,5,0.6,10
2018,recent8,8,31.5,198,0.5505050505050505,0.7424242424242424,0.8686868686868687,0.11616161616161616,0.2878787878787879,0.696969696969697,1.4106867345859668,0.014134464649081925,0.11503336413989564,0.004488652368723943,8712,0.48484848484848486,0.6188131313131312,1.2199742830979516,1.6331579210009874,0.07575757575757576,0.16161616161616163,656,0.8118059491447217,1.761271360578339,3.7368482292261364e-14,0.7768632972810772,13.823529411764707,1,True,0.3333333333333333,3,0.2,5,0.6363636363636364,11
2019,recent8,8,32.4,198,0.6212121212121212,0.8181818181818182,0.9090909090909091,0.10606060606060606,0.2878787878787879,0.7087542087542088,1.1457147178664078,0.011777812859740435,0.10567039840168398,0.0037554740026946973,8712,0.5529040404040404,0.6895202020202019,0.9886749283246385,1.312203872297303,0.0707070707070707,0.15151515151515152,654,0.6962836432278279,1.4061038110412767,-3.5323426141284795e-15,0.7524648656728387,8.290322580645162,3,False,0.75,4,0.6,5,0.8,10
2020,recent8,8,31.4,153,0.5490196078431373,0.7450980392156863,0.8823529411764706,0.09803921568627451,0.23529411764705882,0.6448801742919389,1.288068885171827,0.013240370582087173,0.12152993360888051,0.0033644233265567205,6732,0.4736928104575164,0.6274509803921569,1.1326161290918226,1.4564236965813526,0.05228758169934641,0.1503267973856209,654,0.638648980289642,1.2719896124888013,-2.3358820823917666e-16,0.755790638828764,9.533333333333333,1,True,0.5,4,0.75,8,0.8,10
2021,recent8,8,32.4,198,0.6868686868686869,0.8585858585858586,0.9141414141414141,0.13636363636363635,0.2777777777777778,0.702020202020202,1.0678020645072583,0.009921533845151025,0.1021946665039578,0.004307285254535345,9108,0.6262626262626263,0.7474747474747475,0.9008363961331033,1.2540097095930962,0.09090909090909091,0.18181818181818182,674,0.7101454996730732,1.4957289771633284,3.821539194555435e-16,0.7451718392021627,7.967741935483871,1,True,0.6666666666666666,3,0.6666666666666666,6,0.9,10
2022,recent8,8,33.5,198,0.6262626262626263,0.8282828282828283,0.898989898989899,0.0707070707070707,0.2474747474747475,0.696969696969697,1.084332204324734,0.010928524977816606,0.10202962125908556,0.003221551255566801,9108,0.5555555555555556,0.694570707070707,0.938396754451499,1.2434521406321863,0.04040404040404041,0.10606060606060606,683,0.68273420735978,1.4340075808036972,-1.0936428271856593e-15,0.7718318485336012,14.294117647058824,3,False,0.6666666666666666,3,0.8,5,0.7,10
2023,recent8,8,39.1,207,0.5265700483091788,0.7101449275362319,0.8260869565217391,0.04830917874396135,0.20772946859903382,0.6103059581320451,1.5123277883375295,0.013545663733012898,0.12138597430820613,0.003401454755758507,9522,0.45893719806763283,0.5942028985507246,1.3001057350741014,1.7358717775191654,0.024154589371980676,0.07729468599033816,663,0.8688808984427765,1.8290826651615322,-2.4177743768850467e-14,0.7377076806831658,9.033333333333333,6,False,0.6666666666666666,3,0.6,5,0.7,10
2024,recent8,8,34.8,207,0.5169082125603864,0.7198067632850241,0.8260869565217391,0.06763285024154589,0.2318840579710145,0.6360708534621579,1.5176779396668687,0.014070424001781868,0.11888592248688856,0.004414999653713301,9522,0.4492753623188406,0.5845410628019324,1.3175954482811094,1.7225471215974693,0.03864734299516908,0.1039855072463767,658,0.8571429937083977,1.7896496040823124,-4.85933481902804e-16,0.7312807528483996,6.617647058823529,2,False,0.6666666666666666,3,0.4,5,0.7,10
2025,recent8,8,35.6,207,0.5362318840579711,0.7536231884057971,0.8647342995169082,0.07246376811594203,0.18357487922705315,0.6505636070853463,1.4101739013846908,0.013283863439371064,0.11622739511780916,0.0037924500509244107,9522,0.47342995169082125,0.6064009661835748,1.2496396437646893,1.5654925773352435,0.03864734299516908,0.10628019323671498,742,0.7406660134663472,1.735884264473884,-2.5855328659734105e-15,0.7121914387175042,8.966666666666667,6,False,0.6666666666666666,3,0.4,5,0.7,10
2026,recent8,8,21.4,207,0.7294685990338164,0.8599033816425121,0.9371980676328503,0.18357487922705315,0.357487922705314,0.7600644122383253,0.8887611560648685,0.008907616862896402,0.09092692960641073,0.004835973788154164,9522,0.6618357487922706,0.8019323671497585,0.7688701094965479,0.9995558712554181,0.13043478260869565,0.2318840579710145,745,0.5792084688342386,1.293813620182021,2.7408351501887084e-15,0.7169285617849893,5.483870967741935,1,True,1.0,3,0.8571428571428571,7,0.8,10
