test_season,window,n_train_seasons,fit_seconds,n_matches,correct_3,a3_in_top2,a3_in_top3,exact_321,unordered_top3,top3_ev_precision,log_loss_p3,brier_p3,ev_mae,ece_p3,n_player_rows,correct_3_ci_lo,correct_3_ci_hi,log_loss_p3_ci_lo,log_loss_p3_ci_hi,exact_321_ci_lo,exact_321_ci_hi,n_players,season_mae,season_rmse,season_bias,spearman,rank_mae_top30,winner_pred_rank,winner_correct,top3_hit,top3_n,top5_hit,top5_n,top10_hit,top10_n
2017,recent8,8,43.9,198,0.6262626262626263,0.8383838383838383,0.898989898989899,0.08585858585858586,0.23737373737373738,0.6885521885521887,1.074122456811111,0.011507882339270312,0.10839539245343857,0.002618143159117578,8712,0.5606060606060606,0.6895202020202019,0.9392914451615706,1.2223366386807417,0.050505050505050504,0.12121212121212122,656,0.6863683452347709,1.4535702970660704,-5.090778747061693e-16,0.7677285384566178,8.972972972972974,1,True,1.0,3,0.6,5,0.6,10
2018,recent8,8,46.1,198,0.5202020202020202,0.7474747474747475,0.8686868686868687,0.09595959595959595,0.2878787878787879,0.6818181818181818,1.3942007936235736,0.014072544464269388,0.11530868669071281,0.004017588267069024,8712,0.4468434343434343,0.5858585858585859,1.2106607289597024,1.6150970247948953,0.06060606060606061,0.13636363636363635,656,0.8137670678718888,1.7589162512630112,-1.8955027249697796e-15,0.7765469124029968,13.705882352941176,1,True,0.3333333333333333,3,0.2,5,0.5454545454545454,11
2019,recent8,8,46.5,198,0.6262626262626263,0.8232323232323232,0.9191919191919192,0.1111111111111111,0.29797979797979796,0.7188552188552191,1.1467698872891472,0.011787596100360296,0.10611163699040965,0.003948264170692759,8712,0.5630050505050505,0.699621212121212,0.9886001348476698,1.3059006597112695,0.0707070707070707,0.16161616161616163,654,0.6912345772810959,1.402146162091005,-3.4698713491342815e-16,0.753429674993924,9.064516129032258,3,False,0.75,4,0.6,5,0.8,10
2020,recent8,8,46.5,153,0.5686274509803921,0.7647058823529411,0.8758169934640523,0.06535947712418301,0.1895424836601307,0.6383442265795206,1.3562780408077035,0.013744120630540275,0.12501165675149578,0.004826513707052733,6732,0.49673202614379086,0.6504901960784313,1.1932030414165553,1.5403137096577981,0.032679738562091505,0.10457516339869281,654,0.6686415555465509,1.332418852779232,1.7926536911378675e-16,0.7524858840149873,10.666666666666666,1,True,0.5,4,0.75,8,0.8,10
2021,recent8,8,48.1,198,0.6565656565656566,0.8535353535353535,0.9090909090909091,0.12121212121212122,0.22727272727272727,0.6767676767676768,1.0817887479459767,0.010155266498281993,0.10291096586554616,0.003517678612042882,9108,0.5959595959595959,0.7272727272727273,0.9195040932606517,1.2569822517401494,0.0731060606060606,0.1717171717171717,674,0.7297007748171284,1.5748129700487996,-6.588860680267991e-16,0.7438515974009083,8.451612903225806,1,True,0.6666666666666666,3,0.6666666666666666,6,0.8,10
2022,recent8,8,51.2,198,0.6363636363636364,0.8181818181818182,0.9040404040404041,0.0707070707070707,0.23232323232323232,0.6902356902356903,1.1082137479395846,0.011055328125968326,0.10215330448183196,0.002871961457995027,9108,0.5781565656565657,0.7046717171717171,0.9515056382279952,1.2711602987888666,0.04040404040404041,0.10101010101010101,683,0.6859519924602921,1.4413790161671607,-1.0663342666970757e-16,0.7703515213293918,14.588235294117647,6,False,0.3333333333333333,3,0.8,5,0.7,10
2023,recent8,8,55.2,207,0.5120772946859904,0.7053140096618358,0.8115942028985508,0.03864734299516908,0.21256038647342995,0.6119162640901772,1.541134834207832,0.01391063286846204,0.1218298546258129,0.0038128511759994996,9522,0.4444444444444444,0.5774154589371979,1.3260676668919826,1.7626853737722386,0.014492753623188406,0.06763285024154589,663,0.8776641225816461,1.86303133590252,3.5795063913103085e-15,0.7369882678935576,9.933333333333334,6,False,0.3333333333333333,3,0.6,5,0.7,10
2024,recent8,8,44.1,207,0.5265700483091788,0.6908212560386473,0.8164251207729468,0.0821256038647343,0.21739130434782608,0.6247987117552335,1.5207010497459914,0.013938785855406616,0.11886405026939507,0.004256083934097678,9522,0.45893719806763283,0.5919082125603863,1.3256768059443527,1.7351500378027458,0.043478260869565216,0.12077294685990338,658,0.8659195462612388,1.7943588427190593,4.751349600827417e-16,0.7304675102019831,6.588235294117647,2,False,0.6666666666666666,3,0.4,5,0.7,10
2025,recent8,8,51.5,207,0.5314009661835749,0.7101449275362319,0.8405797101449275,0.057971014492753624,0.178743961352657,0.6360708534621579,1.4260607396799636,0.01354924069543805,0.11694389459133486,0.003664836441929505,9522,0.45893719806763283,0.5990338164251208,1.268937489377478,1.5864919094462875,0.028985507246376812,0.08695652173913043,742,0.7454857556805095,1.7447017600643104,-5.151913636643314e-15,0.7123687479952143,8.9,6,False,0.6666666666666666,3,0.4,5,0.6,10
2026,recent8,8,38.8,207,0.7198067632850241,0.8743961352657005,0.9468599033816425,0.18840579710144928,0.3719806763285024,0.7584541062801933,0.9095007109324765,0.00903558918731654,0.0921860355315017,0.0048941937816322865,9522,0.6618357487922706,0.7922705314009661,0.788969920368155,1.0206977131546795,0.14009661835748793,0.24154589371980675,745,0.5881868611063535,1.2756118555609735,-1.5319587507579342e-16,0.715016863550162,5.483870967741935,1,True,1.0,3,0.7142857142857143,7,0.9,10
