test_season,window,n_train_seasons,fit_seconds,n_matches,correct_3,a3_in_top2,a3_in_top3,exact_321,unordered_top3,top3_ev_precision,log_loss_p3,brier_p3,ev_mae,ece_p3,n_player_rows,correct_3_ci_lo,correct_3_ci_hi,log_loss_p3_ci_lo,log_loss_p3_ci_hi,exact_321_ci_lo,exact_321_ci_hi,n_players,season_mae,season_rmse,season_bias,spearman,rank_mae_top30,winner_pred_rank,winner_correct,top3_hit,top3_n,top5_hit,top5_n,top10_hit,top10_n
2017,recent8,8,31.4,198,0.6313131313131313,0.8333333333333334,0.9090909090909091,0.1111111111111111,0.26262626262626265,0.696969696969697,1.0784739836227013,0.011678215169887861,0.10874477860287458,0.002454535096452568,8712,0.5606060606060606,0.6919191919191919,0.9584826973193823,1.2222893824737406,0.0707070707070707,0.15656565656565657,656,0.6956884522134564,1.4723115070359352,5.537575817947428e-16,0.7695901718360486,9.243243243243244,2,False,1.0,3,0.6,5,0.5,10
2018,recent8,8,31.1,198,0.5252525252525253,0.7272727272727273,0.8787878787878788,0.1111111111111111,0.29292929292929293,0.7003367003367003,1.4051385399585272,0.014163433394352215,0.1148426509964244,0.004119233934123554,8712,0.4468434343434343,0.601010101010101,1.2158271009840305,1.6254476120715553,0.06565656565656566,0.15921717171717162,656,0.8211548221851562,1.762925911320627,1.7362804960723178e-14,0.7765699698304043,13.558823529411764,1,True,0.3333333333333333,3,0.2,5,0.5454545454545454,11
2019,recent8,8,32.9,198,0.6414141414141414,0.8131313131313131,0.9141414141414141,0.1111111111111111,0.2676767676767677,0.7070707070707071,1.126293449420775,0.011616626262695736,0.10588945730836836,0.004260420063179311,8712,0.5757575757575758,0.7121212121212122,0.975793124323515,1.2955731205042258,0.0731060606060606,0.15921717171717162,654,0.6998561098231725,1.4101625594464784,-8.555847162248913e-17,0.7513583092413112,8.387096774193548,3,False,0.75,4,0.6,5,0.8,10
2020,recent8,8,31.0,153,0.5555555555555556,0.7581699346405228,0.8888888888888888,0.06535947712418301,0.2222222222222222,0.6557734204793028,1.2993779917603576,0.013278166355875507,0.12247744199135721,0.003620662860422236,6732,0.48022875816993466,0.6339869281045751,1.1388946180815995,1.4753881835304674,0.032679738562091505,0.11454248366013056,654,0.6411634014061033,1.2685974707328025,-6.79035489067374e-16,0.7572770071765269,9.833333333333334,1,True,0.5,4,0.75,8,0.8,10
2021,recent8,8,31.7,198,0.6868686868686869,0.8535353535353535,0.9090909090909091,0.13636363636363635,0.30808080808080807,0.7138047138047137,1.0547647899651222,0.009806191284925946,0.1019254803710603,0.00470524659094483,9108,0.6262626262626263,0.7474747474747475,0.8873445729357883,1.2396252285118523,0.09090909090909091,0.18181818181818182,674,0.6971932799436694,1.4724524549920488,4.585847033466522e-16,0.7478367910562601,7.225806451612903,1,True,1.0,3,0.6666666666666666,6,0.9,10
2022,recent8,8,33.1,198,0.6767676767676768,0.8383838383838383,0.9040404040404041,0.09090909090909091,0.26262626262626265,0.6986531986531987,1.0819220941373517,0.010860342973081838,0.1017647037120866,0.0035132363866817243,9108,0.6212121212121212,0.7373737373737373,0.9326753791575096,1.229820150040338,0.05555555555555555,0.13396464646464634,683,0.6773554621427219,1.4253215129569081,1.7945625463926396e-16,0.7723040681869999,14.764705882352942,3,False,0.6666666666666666,3,0.8,5,0.7,10
2023,recent8,8,38.2,207,0.5169082125603864,0.7198067632850241,0.821256038647343,0.043478260869565216,0.21256038647342995,0.6151368760064413,1.5164764553905936,0.01371098995859733,0.12127528093026263,0.00429018185361097,9522,0.45410628019323673,0.5797101449275363,1.3119822777448866,1.7421636942383094,0.014492753623188406,0.07246376811594203,663,0.8731509442734471,1.851309382836473,-6.001567602196925e-15,0.737719024373499,9.266666666666667,6,False,0.6666666666666666,3,0.6,5,0.7,10
2024,recent8,8,35.1,207,0.5024154589371981,0.714975845410628,0.8309178743961353,0.05314009661835749,0.21256038647342995,0.6280193236714976,1.5177361924300936,0.014097603665490106,0.11869093151108973,0.004530037744062759,9522,0.43478260869565216,0.5700483091787439,1.3241936661397995,1.7234332212199652,0.024154589371980676,0.08466183574879216,658,0.871437626369104,1.8391397584686358,2.1597043640124626e-17,0.7328133082507945,6.911764705882353,2,False,0.6666666666666666,3,0.4,5,0.7,10
2025,recent8,8,35.4,207,0.5458937198067633,0.7342995169082126,0.855072463768116,0.06763285024154589,0.178743961352657,0.6360708534621577,1.401023134471416,0.013305097606279629,0.11658786739289323,0.004579018054928989,9522,0.4782608695652174,0.6135265700483091,1.2487216100826086,1.5591581669012062,0.033816425120772944,0.09915458937198057,742,0.7414527465729501,1.740720189699137,-2.0780023404304816e-15,0.7127327684414173,8.933333333333334,6,False,0.6666666666666666,3,0.4,5,0.7,10
2026,recent8,8,20.5,207,0.6956521739130435,0.8840579710144928,0.9420289855072463,0.18357487922705315,0.357487922705314,0.7568438003220613,0.8915542136118974,0.009008950936269845,0.0907839420529432,0.004342653584771345,9522,0.6376811594202898,0.7658212560386471,0.7724182457852193,0.9998021749405975,0.13756038647342994,0.23671497584541062,745,0.5778168236545567,1.274688427225505,-3.3345436777197992e-15,0.7167181982811348,5.32258064516129,1,True,1.0,3,0.8571428571428571,7,0.9,10
