test_season,window,n_train_seasons,fit_seconds,n_matches,correct_3,a3_in_top2,a3_in_top3,exact_321,unordered_top3,top3_ev_precision,log_loss_p3,brier_p3,ev_mae,ece_p3,n_player_rows,correct_3_ci_lo,correct_3_ci_hi,log_loss_p3_ci_lo,log_loss_p3_ci_hi,exact_321_ci_lo,exact_321_ci_hi,n_players,season_mae,season_rmse,season_bias,spearman,rank_mae_top30,winner_pred_rank,winner_correct,top3_hit,top3_n,top5_hit,top5_n,top10_hit,top10_n
2017,recent8,8,34.0,198,0.6262626262626263,0.8282828282828283,0.9090909090909091,0.09090909090909091,0.2474747474747475,0.6902356902356903,1.0551459543727977,0.011403067050198886,0.10864457424791327,0.0034198193749640613,8712,0.5579545454545455,0.6919191919191919,0.9278949746283762,1.1958561476135618,0.06060606060606061,0.13636363636363635,656,0.6869307470972217,1.4281486454577927,5.293868324737027e-16,0.7684574498149649,8.378378378378379,2,False,1.0,3,0.6,5,0.6,10
2018,recent8,8,34.4,198,0.5303030303030303,0.7424242424242424,0.8636363636363636,0.09090909090909091,0.2828282828282828,0.6851851851851852,1.401128091190511,0.014081365883545164,0.11596297780460196,0.004128553168411963,8712,0.45694444444444443,0.5959595959595959,1.206512820578742,1.6206952789198072,0.05555555555555555,0.12891414141414131,656,0.8195629560084097,1.7537313631699836,-5.404890627199542e-15,0.7744851983817062,13.764705882352942,1,True,0.3333333333333333,3,0.2,5,0.5454545454545454,11
2019,recent8,8,31.5,198,0.6717171717171717,0.8333333333333334,0.9242424242424242,0.13131313131313133,0.30303030303030304,0.7205387205387206,1.1287060211826954,0.01156537084227699,0.10563219696037036,0.00350622173869461,8712,0.6060606060606061,0.7424242424242424,0.9694095204477091,1.2868154312706461,0.09090909090909091,0.1794191919191918,654,0.6915849762855142,1.3831141686850206,-1.487087721057549e-16,0.7533562282971523,8.903225806451612,3,False,0.75,4,0.6,5,0.8,10
2020,recent8,8,39.6,153,0.5686274509803921,0.7712418300653595,0.8954248366013072,0.0915032679738562,0.2222222222222222,0.6492374727668845,1.3073544886567374,0.013226250308554602,0.12341204913152981,0.004000935887256758,6732,0.49019607843137253,0.6470588235294118,1.1432496880732341,1.4894948661835525,0.0457516339869281,0.14722222222222206,654,0.6460751399193854,1.2892120923126589,4.237181451780414e-16,0.7543693317764445,9.6,1,True,0.5,4,0.875,8,0.8,10
2021,recent8,8,44.2,198,0.6767676767676768,0.8585858585858586,0.9191919191919192,0.12626262626262627,0.2727272727272727,0.6986531986531985,1.053329855162439,0.009842480883996946,0.10176145274193518,0.004290798747392541,9108,0.6262626262626263,0.7424242424242424,0.8917272119479723,1.2323070206919384,0.08320707070707072,0.1717171717171717,674,0.714416937515813,1.4934428270214928,5.271088544214393e-16,0.7478791735634764,8.0,1,True,0.6666666666666666,3,0.6666666666666666,6,0.9,10
2022,recent8,8,44.6,198,0.6111111111111112,0.8181818181818182,0.8888888888888888,0.0707070707070707,0.23232323232323232,0.6969696969696971,1.0938434376918387,0.011006088496214775,0.10223950344428155,0.0034898618984832773,9108,0.5377525252525253,0.6818181818181818,0.9491472848813384,1.2490902506889117,0.04040404040404041,0.10101010101010101,683,0.674634591130727,1.4225064774968874,-4.3693696781733834e-16,0.7733392966958826,14.147058823529411,3,False,0.6666666666666666,3,0.8,5,0.8,10
2023,recent8,8,48.5,207,0.5072463768115942,0.714975845410628,0.8115942028985508,0.04830917874396135,0.20772946859903382,0.6167471819645733,1.518062922266077,0.013940597253984393,0.12121963700762686,0.0037881771597276697,9522,0.4396135265700483,0.5700483091787439,1.3176213129402987,1.7506096991530922,0.01932367149758454,0.07729468599033816,663,0.8746781222829084,1.8446202140370564,4.5440440416633854e-15,0.7381929779352295,9.3,6,False,0.3333333333333333,3,0.6,5,0.7,10
2024,recent8,8,44.1,207,0.5072463768115942,0.6859903381642513,0.8115942028985508,0.06763285024154589,0.21739130434782608,0.6264090177133657,1.5371647329291274,0.014156684983714961,0.1191016792312689,0.004377678239378234,9522,0.4345410628019324,0.5725845410628018,1.3329054710799455,1.7422847441978495,0.033816425120772944,0.10144927536231885,658,0.8554728659745833,1.7938656360783638,-7.127024401241126e-16,0.7328119794229407,6.794117647058823,2,False,0.6666666666666666,3,0.4,5,0.7,10
2025,recent8,8,46.8,207,0.5507246376811594,0.7246376811594203,0.855072463768116,0.06280193236714976,0.178743961352657,0.6328502415458938,1.4126787467996273,0.013396000381904943,0.11633105200800443,0.0036547664605554486,9522,0.48538647342995167,0.6183574879227053,1.2519129265289286,1.5780836148271447,0.028985507246376812,0.09178743961352658,742,0.7421398409569545,1.7613674101085766,1.0437891940411176e-15,0.713154430745631,8.8,6,False,0.6666666666666666,3,0.4,5,0.7,10
2026,recent8,8,38.2,207,0.7101449275362319,0.855072463768116,0.9371980676328503,0.19806763285024154,0.38164251207729466,0.7665056360708535,0.9103898440853286,0.009125108299019687,0.09119913372571814,0.005146882730053088,9522,0.642512077294686,0.782608695652174,0.7902975609645546,1.0258188756053976,0.1497584541062802,0.25120772946859904,745,0.5842019151799671,1.3046936996921512,-2.3724497385278515e-16,0.7155975826348159,5.580645161290323,1,True,1.0,3,0.8571428571428571,7,0.8,10
