test_season,window,n_train_seasons,fit_seconds,n_matches,correct_3,a3_in_top2,a3_in_top3,exact_321,unordered_top3,top3_ev_precision,log_loss_p3,brier_p3,ev_mae,ece_p3,n_player_rows,correct_3_ci_lo,correct_3_ci_hi,log_loss_p3_ci_lo,log_loss_p3_ci_hi,exact_321_ci_lo,exact_321_ci_hi,n_players,season_mae,season_rmse,season_bias,spearman,rank_mae_top30,winner_pred_rank,winner_correct,top3_hit,top3_n,top5_hit,top5_n,top10_hit,top10_n
2017,recent8,8,30.2,198,0.6262626262626263,0.8383838383838383,0.9040404040404041,0.1111111111111111,0.25757575757575757,0.6952861952861954,1.0724425332235767,0.011621632184142134,0.10807200706624655,0.002667486868491053,8712,0.5555555555555556,0.6868686868686869,0.9479879029899172,1.2130833246777026,0.0707070707070707,0.15416666666666656,656,0.6888186276465195,1.4538813308575655,-9.139030995390008e-17,0.7699583575352807,9.27027027027027,2,False,1.0,3,0.6,5,0.5,10
2018,recent8,8,30.4,198,0.5404040404040404,0.7474747474747475,0.8737373737373737,0.1111111111111111,0.2828282828282828,0.6936026936026936,1.3933751898872855,0.014081006619761253,0.11463922716129966,0.004710437484767238,8712,0.46464646464646464,0.6137626262626261,1.2059001747756,1.609402856184324,0.0707070707070707,0.15416666666666656,656,0.8124087211625304,1.7525056395524963,-3.558129400871843e-14,0.776557645147603,13.676470588235293,1,True,0.3333333333333333,3,0.2,5,0.6363636363636364,11
2019,recent8,8,31.4,198,0.6414141414141414,0.8282828282828283,0.9141414141414141,0.09090909090909091,0.29797979797979796,0.7154882154882156,1.1240492758189669,0.011605595797000181,0.10496124734275607,0.0035134822149717865,8712,0.5757575757575758,0.7046717171717171,0.9689165894140586,1.2917694919640064,0.05795454545454545,0.13131313131313133,654,0.691788279632228,1.3993737934930623,-6.939742698268563e-16,0.7535095083599803,8.548387096774194,3,False,0.75,4,0.6,5,0.8,10
2020,recent8,8,30.9,153,0.5686274509803921,0.7581699346405228,0.8954248366013072,0.08496732026143791,0.22875816993464052,0.6514161220043573,1.2984524644815536,0.01326586427615884,0.1224620933074323,0.0034934359163870665,6732,0.49019607843137253,0.6439542483660129,1.1377222288406519,1.473689095580029,0.0423202614379085,0.13725490196078433,654,0.641875605024353,1.2695433242037204,2.064267886764817e-16,0.7562525714250016,9.5,1,True,0.5,4,0.625,8,0.8,10
2021,recent8,8,32.9,198,0.6767676767676768,0.8636363636363636,0.9141414141414141,0.14646464646464646,0.2878787878787879,0.6986531986531985,1.0587384407061633,0.009851082008407678,0.1013438608781974,0.004531689188658084,9108,0.6212121212121212,0.7424242424242424,0.8909129048405648,1.2460878001139044,0.10101010101010101,0.19696969696969696,674,0.7070542040965557,1.5039470262986157,-1.2650612506114544e-15,0.7467686110848653,7.870967741935484,1,True,0.6666666666666666,3,0.6666666666666666,6,0.9,10
2022,recent8,8,33.8,198,0.6363636363636364,0.8434343434343434,0.9040404040404041,0.06565656565656566,0.24242424242424243,0.6902356902356903,1.0920724548932867,0.010966451009906761,0.10170469723061662,0.0032370685019030188,9108,0.5707070707070707,0.7046717171717171,0.9471121007594699,1.2513472638636152,0.032702020202020204,0.09595959595959595,683,0.6806043512460688,1.4381475517634503,3.2250109529374973e-16,0.7724669097379854,14.235294117647058,3,False,0.6666666666666666,3,0.8,5,0.7,10
2023,recent8,8,38.1,207,0.5072463768115942,0.7101449275362319,0.8260869565217391,0.043478260869565216,0.20772946859903382,0.6183574879227053,1.5108437314775327,0.013722809003446131,0.1206308721981331,0.004209854808701998,9522,0.4396135265700483,0.5652173913043478,1.3086511625445878,1.7348910319092319,0.014492753623188406,0.07246376811594203,663,0.8645118994239807,1.8325140011295156,-9.945454883640617e-15,0.7388829933487733,9.433333333333334,6,False,0.3333333333333333,3,0.6,5,0.7,10
2024,recent8,8,34.3,207,0.5120772946859904,0.7246376811594203,0.821256038647343,0.06763285024154589,0.22705314009661837,0.6344605475040258,1.5223868965479825,0.01404248688219607,0.11860082941799488,0.004499419016581867,9522,0.44420289855072465,0.5797101449275363,1.325460374984308,1.7363405992787784,0.033816425120772944,0.1039855072463767,658,0.8600861177181005,1.7998294318066987,-3.347541764219317e-16,0.7322611151389946,6.882352941176471,2,False,0.6666666666666666,3,0.4,5,0.7,10
2025,recent8,8,35.1,207,0.5362318840579711,0.7246376811594203,0.8599033816425121,0.06763285024154589,0.1932367149758454,0.6489533011272142,1.4127270697293086,0.013381054073298919,0.11615823209064331,0.004261988468331396,9522,0.46606280193236715,0.6038647342995169,1.2552350980185074,1.5728900020010328,0.033816425120772944,0.10144927536231885,742,0.7425116064977901,1.7384446495628183,-1.0246370987376107e-15,0.7132991698740849,9.066666666666666,6,False,0.6666666666666666,3,0.4,5,0.7,10
2026,recent8,8,21.7,207,0.714975845410628,0.8792270531400966,0.9323671497584541,0.2028985507246377,0.36231884057971014,0.7600644122383254,0.8913656092462778,0.008948420875173993,0.09062426832278224,0.004692008887612604,9522,0.6521739130434783,0.782608695652174,0.7735624577105689,1.0021991628347324,0.15458937198067632,0.2560386473429952,745,0.5764946780412645,1.2829605367655943,-1.7525131234351465e-16,0.7167041625428411,5.548387096774194,1,True,1.0,3,0.8571428571428571,7,0.8,10
