test_season,window,n_train_seasons,fit_seconds,n_matches,correct_3,a3_in_top2,a3_in_top3,exact_321,unordered_top3,top3_ev_precision,log_loss_p3,brier_p3,ev_mae,ece_p3,n_player_rows,correct_3_ci_lo,correct_3_ci_hi,log_loss_p3_ci_lo,log_loss_p3_ci_hi,exact_321_ci_lo,exact_321_ci_hi,n_players,season_mae,season_rmse,season_bias,spearman,rank_mae_top30,winner_pred_rank,winner_correct,top3_hit,top3_n,top5_hit,top5_n,top10_hit,top10_n
2017,recent8,8,27.6,198,0.6313131313131313,0.8333333333333334,0.9090909090909091,0.1111111111111111,0.26262626262626265,0.6969696969696971,1.0687864362297002,0.011590297993335491,0.1081305495068429,0.002436192779162657,8712,0.5579545454545455,0.694570707070707,0.9452839419639563,1.2097190260775044,0.06805555555555556,0.15921717171717162,656,0.6894020737252629,1.4566048394420692,5.25325040920196e-16,0.7700211265745782,9.162162162162161,2,False,1.0,3,0.6,5,0.6,10
2018,recent8,8,29.2,198,0.5404040404040404,0.7474747474747475,0.8737373737373737,0.1111111111111111,0.2777777777777778,0.6919191919191919,1.3963517215155588,0.014111474110588147,0.11469925146766473,0.004284029152243145,8712,0.46464646464646464,0.6137626262626261,1.2094338422377808,1.6126390333103784,0.0707070707070707,0.15416666666666656,656,0.8134084666913874,1.7556654280481354,1.0398186376977075e-15,0.7766071492901886,13.676470588235293,1,True,0.3333333333333333,3,0.2,5,0.6363636363636364,11
2019,recent8,8,29.2,198,0.6414141414141414,0.8232323232323232,0.9090909090909091,0.09595959595959595,0.2878787878787879,0.7104377104377105,1.1263658044982523,0.011616787002344359,0.1049584260716521,0.003601319610907572,8712,0.5757575757575758,0.7046717171717171,0.9714661641319837,1.2966713350877614,0.06060606060606061,0.1390151515151514,654,0.6928105137410078,1.4025752389113366,-1.0104048077322526e-15,0.7535317825288897,8.612903225806452,3,False,0.75,4,0.6,5,0.8,10
2020,recent8,8,29.3,153,0.5620915032679739,0.7712418300653595,0.8954248366013072,0.08496732026143791,0.22875816993464052,0.6557734204793029,1.2966265632923837,0.01327150055363134,0.12219941146091995,0.004343759939353729,6732,0.48676470588235293,0.6405228758169934,1.1371344238410033,1.4726350543108115,0.0423202614379085,0.13725490196078433,654,0.640142028569536,1.264811277849041,-5.703898108165942e-16,0.7565283210178447,9.5,1,True,0.5,4,0.625,8,0.8,10
2021,recent8,8,31.8,198,0.6818181818181818,0.8636363636363636,0.9191919191919192,0.13131313131313133,0.2777777777777778,0.696969696969697,1.0623972913338744,0.00988799584924168,0.10139297770449478,0.004633421886353193,9108,0.626010101010101,0.7474747474747475,0.8948504427021313,1.2501327338633268,0.08585858585858586,0.1794191919191918,674,0.7051231878510614,1.4944654481913702,-8.85542875428018e-16,0.746940107312519,7.806451612903226,1,True,0.6666666666666666,3,0.6666666666666666,6,0.9,10
2022,recent8,8,34.2,198,0.6414141414141414,0.8333333333333334,0.9040404040404041,0.06060606060606061,0.24242424242424243,0.6919191919191919,1.0912171738385508,0.010969293282494762,0.10163234116945864,0.003546034146293401,9108,0.5757575757575758,0.7121212121212122,0.9477090100597859,1.2490981891110902,0.027651515151515156,0.09090909090909091,683,0.6808318575252366,1.4346560096584469,3.589125092785279e-16,0.7722939470438082,14.264705882352942,3,False,0.6666666666666666,3,0.8,5,0.7,10
2023,recent8,8,31.1,207,0.5120772946859904,0.7101449275362319,0.8260869565217391,0.043478260869565216,0.2028985507246377,0.6167471819645733,1.5108273224798114,0.013699817838548683,0.1206054067673479,0.004075655347681141,9522,0.4444444444444444,0.5700483091787439,1.3081589269187262,1.7370661683822497,0.014492753623188406,0.07246376811594203,663,0.8658082283821413,1.833972588073854,8.295023793036464e-15,0.7388309085920429,9.4,6,False,0.3333333333333333,3,0.6,5,0.7,10
2024,recent8,8,32.1,207,0.5120772946859904,0.7246376811594203,0.821256038647343,0.07729468599033816,0.23671497584541062,0.639291465378422,1.5219038481697582,0.014041217369813156,0.11850828783558026,0.005157497602351018,9522,0.44420289855072465,0.5797101449275363,1.3261368907780875,1.7354146096867342,0.043478260869565216,0.11594202898550725,658,0.8600614531270407,1.800693589905616,-4.535379164426171e-16,0.7322982180971035,6.911764705882353,2,False,0.6666666666666666,3,0.4,5,0.7,10
2025,recent8,8,31.3,207,0.5362318840579711,0.7294685990338164,0.8599033816425121,0.06763285024154589,0.18357487922705315,0.6457326892109501,1.4142469955093668,0.013402805981534961,0.11615568013929066,0.004232217585830204,9522,0.46606280193236715,0.6038647342995169,1.2575010649756346,1.5735193559023624,0.033816425120772944,0.10144927536231885,742,0.7436522457196701,1.7407727293072093,2.2599472458137957e-15,0.7134482734794461,9.2,6,False,0.6666666666666666,3,0.4,5,0.7,10
2026,recent8,8,20.9,207,0.7101449275362319,0.8792270531400966,0.9323671497584541,0.20772946859903382,0.3671497584541063,0.7616747181964574,0.8906233837123633,0.00895106224684977,0.09054085472775693,0.004510735863902308,9522,0.6496376811594203,0.782608695652174,0.7727869910556628,1.0018350337451953,0.15942028985507245,0.2634057971014492,745,0.5764941239905765,1.283429538005387,1.0670062894384054e-15,0.7167293770180546,5.580645161290323,1,True,1.0,3,0.8571428571428571,7,0.8,10
