test_season,window,n_train_seasons,fit_seconds,n_matches,correct_3,a3_in_top2,a3_in_top3,exact_321,unordered_top3,top3_ev_precision,log_loss_p3,brier_p3,ev_mae,ece_p3,n_player_rows,correct_3_ci_lo,correct_3_ci_hi,log_loss_p3_ci_lo,log_loss_p3_ci_hi,exact_321_ci_lo,exact_321_ci_hi,n_players,season_mae,season_rmse,season_bias,spearman,rank_mae_top30,winner_pred_rank,winner_correct,top3_hit,top3_n,top5_hit,top5_n,top10_hit,top10_n
2017,recent8,8,30.0,198,0.6111111111111112,0.8232323232323232,0.9090909090909091,0.10101010101010101,0.25252525252525254,0.6936026936026937,1.0748668759799742,0.011660239840632686,0.1080751365836861,0.002753678606970968,8712,0.5404040404040404,0.6767676767676768,0.9503402652707528,1.2154982506402543,0.06565656565656566,0.14646464646464646,656,0.6730345589701285,1.4192521797364548,4.738756812424449e-16,0.7710129454519844,8.675675675675675,2,False,1.0,3,0.6,5,0.7,10
2018,recent8,8,30.2,198,0.5404040404040404,0.7424242424242424,0.8787878787878788,0.1111111111111111,0.2727272727272727,0.6902356902356903,1.3945889249157069,0.014099804573688698,0.11446393015734167,0.00436338444291535,8712,0.46464646464646464,0.6111111111111112,1.2104895958438633,1.6111802250560374,0.0707070707070707,0.15416666666666656,656,0.7985702881761619,1.7158855561384176,-1.2466992208229807e-14,0.7774094861405582,13.323529411764707,1,True,0.3333333333333333,3,0.2,5,0.6363636363636364,11
2019,recent8,8,30.1,198,0.6363636363636364,0.8434343434343434,0.9191919191919192,0.12626262626262627,0.31313131313131315,0.7188552188552189,1.119659945381452,0.011581376166572963,0.10457024963088797,0.004011444569215651,8712,0.5707070707070707,0.7070707070707071,0.9621460441304107,1.2920868506119234,0.08585858585858586,0.17676767676767677,654,0.674095719081653,1.3461078246397937,6.871839149361825e-16,0.7542687302689736,8.129032258064516,3,False,0.75,4,0.6,5,0.8,10
2020,recent8,8,30.1,153,0.5686274509803921,0.7516339869281046,0.9019607843137255,0.0718954248366013,0.2222222222222222,0.6470588235294118,1.2910569113257087,0.013215688353298272,0.12208444081609496,0.004642488168359828,6732,0.49673202614379086,0.6470588235294118,1.1281294856452104,1.4623813869546052,0.0357843137254902,0.12418300653594772,654,0.6253063156959471,1.2190538120179968,2.6074962780187164e-16,0.7574640746597472,8.733333333333333,1,True,0.5,4,0.75,8,0.8,10
2021,recent8,8,31.6,198,0.6919191919191919,0.8636363636363636,0.9141414141414141,0.12626262626262627,0.2828282828282828,0.6986531986531985,1.0503174370904007,0.009739906326587876,0.10077959040649484,0.005118701842544079,9108,0.6363636363636364,0.7525252525252525,0.8829938244242425,1.239930929874934,0.08585858585858586,0.17436868686868676,674,0.6822310027216739,1.4099272748173952,5.560998414146184e-16,0.7479962473505924,7.548387096774194,1,True,1.0,3,0.6666666666666666,6,0.9,10
2022,recent8,8,32.2,198,0.6464646464646465,0.8383838383838383,0.9090909090909091,0.09090909090909091,0.25252525252525254,0.6986531986531987,1.0870166638824856,0.01092433627022248,0.10138179261179026,0.00315936370355659,9108,0.5856060606060606,0.7121212121212122,0.9429899774228483,1.245210202254205,0.050505050505050504,0.13131313131313133,683,0.6583490481622378,1.3742133856114873,3.2510191057837674e-16,0.7733353825695681,13.617647058823529,3,False,0.6666666666666666,3,0.8,5,0.8,10
2023,recent8,8,37.0,207,0.5120772946859904,0.7101449275362319,0.8164251207729468,0.05314009661835749,0.2028985507246377,0.6231884057971014,1.502305546270119,0.013616414508986915,0.12002442166521506,0.005095184440961975,9522,0.4444444444444444,0.5748792270531401,1.2908688529345858,1.7274519411799576,0.024154589371980676,0.09178743961352658,663,0.8311423482201508,1.73435339327625,7.930642902903079e-16,0.7409662823350396,8.3,6,False,0.6666666666666666,3,0.6,5,0.7,10
2024,recent8,8,34.6,207,0.5024154589371981,0.7246376811594203,0.8164251207729468,0.07729468599033816,0.2318840579710145,0.6344605475040257,1.5221726846695611,0.014011004983414042,0.11796193201614762,0.004752097789793924,9522,0.4322463768115942,0.5603864734299517,1.3256174097621276,1.7380495749322702,0.043478260869565216,0.1111111111111111,658,0.8268059175889505,1.688060099986924,-8.63881745604985e-17,0.734411966325045,6.411764705882353,2,False,0.6666666666666666,3,0.6,5,0.7,10
2025,recent8,8,34.1,207,0.5362318840579711,0.7198067632850241,0.8502415458937198,0.06280193236714976,0.178743961352657,0.6376811594202898,1.400208517353653,0.013304389034238365,0.11577746151127008,0.003720192627393258,9522,0.46859903381642515,0.6038647342995169,1.2431004837142359,1.5599840147566013,0.028985507246376812,0.09178743961352658,742,0.7101258991232571,1.6285411909613332,3.734658584183815e-16,0.7135708825950345,8.133333333333333,5,False,0.6666666666666666,3,0.6,5,0.7,10
2026,recent8,8,20.3,207,0.7101449275362319,0.8695652173913043,0.9371980676328503,0.18357487922705315,0.36231884057971014,0.7536231884057972,0.9167983107230746,0.009116047867914851,0.09339617579189674,0.0055455856687971145,9522,0.6496376811594203,0.7851449275362318,0.7975380581731009,1.028361786094267,0.13526570048309178,0.23671497584541062,745,0.6320898651825374,1.4139012874891814,1.1635733390970768e-15,0.7160977304458211,5.838709677419355,1,True,1.0,3,0.8571428571428571,7,0.7,10
