test_season,window,n_train_seasons,fit_seconds,n_matches,correct_3,a3_in_top2,a3_in_top3,exact_321,unordered_top3,top3_ev_precision,log_loss_p3,brier_p3,ev_mae,ece_p3,n_player_rows,correct_3_ci_lo,correct_3_ci_hi,log_loss_p3_ci_lo,log_loss_p3_ci_hi,exact_321_ci_lo,exact_321_ci_hi,n_players,season_mae,season_rmse,season_bias,spearman,rank_mae_top30,winner_pred_rank,winner_correct,top3_hit,top3_n,top5_hit,top5_n,top10_hit,top10_n
2012,expanding,9,36.0,198,0.5555555555555556,0.7727272727272727,0.8484848484848485,0.09090909090909091,0.23232323232323232,0.6515151515151515,1.3110549278454082,0.013091727871138421,0.1283237802850176,0.005974754522353588,8712,0.48724747474747476,0.6262626262626263,1.175866485892778,1.440288730792473,0.045454545454545456,0.13131313131313133,676,0.801625623542618,1.5140662629046375,-9.512443429924417e-16,0.7534126170607275,11.516129032258064,3,False,0.3333333333333333,3,0.6,5,0.8,10
2013,expanding,10,39.4,198,0.5707070707070707,0.7626262626262627,0.8535353535353535,0.09090909090909091,0.2222222222222222,0.64983164983165,1.3721544684410771,0.013245678318304976,0.1305862515991419,0.006751062759988656,8712,0.507449494949495,0.6414141414141414,1.247903307797922,1.5054998923833895,0.06060606060606061,0.13131313131313133,677,0.8078541388390421,1.5474475617419854,-8.396369107948009e-17,0.7671381607267077,11.294117647058824,1,True,1.0,3,0.6,5,0.6,10
2014,expanding,11,43.3,198,0.6060606060606061,0.7878787878787878,0.8787878787878788,0.12121212121212122,0.2676767676767677,0.7037037037037037,1.2478547080528262,0.012648587497065687,0.11896046989912512,0.006681721498359284,8712,0.5327020202020202,0.6717171717171717,1.131070223733518,1.3765860176323834,0.07575757575757576,0.16161616161616163,663,0.7212736169190378,1.369566720978902,1.339635625490385e-16,0.766890573147463,10.8,3,False,0.5,4,0.875,8,0.7,10
2015,expanding,12,45.3,197,0.5888324873096447,0.7563451776649747,0.8781725888324873,0.09137055837563451,0.2182741116751269,0.6700507614213198,1.2912020780624036,0.01290039810531239,0.122040653321194,0.005294044849087405,8668,0.5228426395939086,0.65748730964467,1.1558487273565892,1.433488936167766,0.05583756345177665,0.13705583756345177,665,0.7034982244800355,1.3624020455761698,2.6712132923312036e-17,0.7675604037169343,12.911764705882353,2,False,0.6666666666666666,3,1.0,5,0.6,10
2016,expanding,13,38.7,198,0.6161616161616161,0.797979797979798,0.8636363636363636,0.09595959595959595,0.24242424242424243,0.6784511784511785,1.2347074138545007,0.012741177397603342,0.11537800324574524,0.0029206505954022756,8712,0.5505050505050505,0.6818181818181818,1.1037056885493262,1.37553054913586,0.05555555555555555,0.13396464646464634,656,0.7792449675558645,1.6470035268002563,2.5128950411027932e-15,0.7570412412671074,10.416666666666666,1,True,0.3333333333333333,3,0.42857142857142855,7,0.5833333333333334,12
2017,expanding,14,45.7,198,0.6060606060606061,0.8131313131313131,0.9141414141414141,0.08585858585858586,0.24242424242424243,0.6851851851851852,1.1100076993387014,0.011687437152141782,0.11423673607078685,0.004003236616768637,8712,0.5377525252525253,0.6666666666666666,0.9940126403429327,1.2395699170798171,0.050505050505050504,0.12891414141414131,656,0.7196464977027847,1.485050313500504,-1.2388464238195344e-15,0.7672887363722658,9.432432432432432,2,False,1.0,3,0.6,5,0.6,10
2018,expanding,15,47.6,198,0.5252525252525253,0.7676767676767676,0.8686868686868687,0.10606060606060606,0.2828282828282828,0.6784511784511783,1.4424205956564595,0.014538694249340539,0.121660120421695,0.00285674978137371,8712,0.45694444444444443,0.5959595959595959,1.263772381852672,1.64694622357935,0.06565656565656566,0.15151515151515152,656,0.8244508179792022,1.7806161130589222,9.423356404135476e-16,0.7752832472695179,13.705882352941176,1,True,0.3333333333333333,3,0.2,5,0.45454545454545453,11
2019,expanding,16,52.0,198,0.6515151515151515,0.797979797979798,0.9040404040404041,0.12626262626262627,0.2727272727272727,0.7070707070707071,1.1722469535998457,0.011777674730137268,0.11226970752238986,0.005662184998314329,8712,0.5858585858585859,0.7222222222222222,1.0225335313210897,1.3282331878473561,0.08585858585858586,0.17676767676767677,654,0.72897256969502,1.4317235588402584,8.827461357875862e-17,0.7489305040037542,8.03225806451613,3,False,0.75,4,0.6,5,0.8,10
2020,expanding,17,50.8,153,0.5816993464052288,0.7450980392156863,0.8888888888888888,0.058823529411764705,0.2222222222222222,0.6535947712418301,1.3500388024745618,0.013516661051781014,0.13009733263292533,0.0055007841217607914,6732,0.5129084967320262,0.6601307189542484,1.205045563435209,1.5071613006558655,0.026143790849673203,0.09803921568627451,654,0.6532311389434119,1.24634573418455,-1.0864567825077984e-16,0.7558495868077624,9.166666666666666,1,True,0.5,4,0.75,8,0.9,10
2021,expanding,18,60.6,198,0.6818181818181818,0.8787878787878788,0.9141414141414141,0.13636363636363635,0.2828282828282828,0.7037037037037036,1.0790884935849328,0.010144450010882902,0.10825588777747262,0.007405017160856731,9108,0.6262626262626263,0.7474747474747475,0.9485795879774727,1.2347809653749977,0.08825757575757576,0.18686868686868688,674,0.7098909860683758,1.495848036832925,6.852415107478711e-17,0.7502703868529239,7.806451612903226,2,False,0.6666666666666666,3,0.6666666666666666,6,0.8,10
2022,expanding,19,86.0,198,0.6414141414141414,0.8181818181818182,0.8838383838383839,0.09595959595959595,0.2222222222222222,0.6801346801346803,1.1906937830274074,0.011676211195270547,0.11098291448748769,0.0047333783907454845,9108,0.5808080808080808,0.7046717171717171,1.0531916826816334,1.3307058615579206,0.05555555555555555,0.1390151515151514,683,0.7169776051275074,1.5240819374022148,1.0663342666970757e-16,0.7693057316276132,16.5,6,False,0.3333333333333333,3,0.6,5,0.7,10
2023,expanding,20,88.5,207,0.5072463768115942,0.714975845410628,0.8019323671497585,0.043478260869565216,0.178743961352657,0.5990338164251208,1.5214945439798258,0.013766881030664362,0.1282109422908037,0.0028133997254172404,9522,0.4444444444444444,0.5700483091787439,1.3166671608433356,1.7152995171105991,0.01932367149758454,0.07499999999999989,663,0.9064228864288463,1.8675785370780051,-4.394004851608463e-16,0.7298570113883185,10.066666666666666,4,False,0.6666666666666666,3,0.8,5,0.6,10
