test_season,window,n_train_seasons,fit_seconds,n_matches,correct_3,a3_in_top2,a3_in_top3,exact_321,unordered_top3,top3_ev_precision,log_loss_p3,brier_p3,ev_mae,ece_p3,n_player_rows,correct_3_ci_lo,correct_3_ci_hi,log_loss_p3_ci_lo,log_loss_p3_ci_hi,exact_321_ci_lo,exact_321_ci_hi,n_players,season_mae,season_rmse,season_bias,spearman,rank_mae_top30,winner_pred_rank,winner_correct,top3_hit,top3_n,top5_hit,top5_n,top10_hit,top10_n,tau
2012,expanding,9,85.0,198,0.5404040404040404,0.7929292929292929,0.8737373737373737,0.07575757575757576,0.20707070707070707,0.64983164983165,1.2987327286061443,0.013460772331374079,0.12269809109017339,0.00481996183074229,8712,0.47474747474747475,0.6111111111111112,1.1451719941125766,1.4333077502322975,0.04040404040404041,0.11616161616161616,676,0.7533756220820544,1.5127962324765627,4.9927189273083965e-17,0.757611530837226,10.161290322580646,2,False,0.6666666666666666,3,0.8,5,0.8,10,2.2106762301617184
2013,expanding,10,93.2,198,0.5353535353535354,0.7424242424242424,0.8535353535353535,0.06060606060606061,0.20707070707070707,0.6531986531986531,1.309884110939431,0.012853261841729947,0.1221667342085584,0.004030630866223152,8712,0.46464646464646464,0.6036616161616161,1.1751146993251371,1.458503144503157,0.030303030303030304,0.09595959595959595,677,0.7643757691207427,1.4923544249620415,-2.6238653462337524e-17,0.765496632491367,10.5,1,True,1.0,3,0.6,5,0.6,10,2.3010243649891775
2014,expanding,11,101.2,198,0.5959595959595959,0.7676767676767676,0.8888888888888888,0.10101010101010101,0.2828282828282828,0.7053872053872055,1.2181258599031677,0.01245089808782542,0.11096112649390123,0.004466158487363796,8712,0.5276515151515152,0.6666666666666666,1.0904961962190136,1.36244001637338,0.06060606060606061,0.1414141414141414,663,0.6746163043271247,1.3091980438376754,-1.875489875686539e-17,0.7672944838641276,9.066666666666666,4,False,0.75,4,0.75,8,0.8,10,2.335095162739118
2015,expanding,12,89.7,197,0.5786802030456852,0.751269035532995,0.8629441624365483,0.09644670050761421,0.2233502538071066,0.676818950930626,1.2325521182174377,0.012636188708154505,0.11198745738199599,0.004268739878822287,8668,0.5025380710659898,0.6473350253807105,1.0918003458382697,1.3964802861756034,0.06091370558375635,0.1447969543147207,665,0.6807134670695966,1.4264129400556749,6.94515456006113e-17,0.7709458644724558,13.117647058823529,2,False,0.6666666666666666,3,1.0,5,0.7,10,2.531648481137399
2016,expanding,13,98.2,198,0.6212121212121212,0.8131313131313131,0.8737373737373737,0.08585858585858586,0.24242424242424243,0.6818181818181818,1.1876553887884964,0.012452104866513547,0.11181449105992577,0.00357484641255878,8712,0.5529040404040404,0.6794191919191918,1.0582501781025728,1.3158828392965207,0.050505050505050504,0.13131313131313133,656,0.7965480315621246,1.666833739039169,2.166288828536891e-17,0.7599434712201688,11.583333333333334,1,True,0.3333333333333333,3,0.42857142857142855,7,0.5,12,2.398559004425865
2017,expanding,14,107.5,198,0.6262626262626263,0.8282828282828283,0.8939393939393939,0.11616161616161616,0.2727272727272727,0.7121212121212122,1.0997732043240775,0.011632004874974053,0.10756972345890894,0.00358943274520683,8712,0.5555555555555556,0.696969696969697,0.9702339807851309,1.2331300776363223,0.07575757575757576,0.15656565656565657,656,0.6863830687391217,1.4111484503498044,-6.092687330260006e-17,0.7674884298671784,9.432432432432432,1,True,1.0,3,0.6,5,0.6,10,2.427458634344151
2018,expanding,15,115.6,198,0.5151515151515151,0.7626262626262627,0.8484848484848485,0.09595959595959595,0.2676767676767677,0.6818181818181818,1.3788235125662553,0.0141334724566765,0.1131076259329139,0.002745292376183166,8712,0.4417929292929293,0.5808080808080808,1.2013546255915124,1.5799507297727708,0.05555555555555555,0.13636363636363635,656,0.782200793255585,1.681994423447775,4.332577657073782e-17,0.7761308773291827,13.264705882352942,1,True,0.3333333333333333,3,0.2,5,0.45454545454545453,11,2.490956995281308
2019,expanding,16,125.7,198,0.6414141414141414,0.8232323232323232,0.9141414141414141,0.11616161616161616,0.30303030303030304,0.7154882154882153,1.134239537146483,0.011768807184606813,0.1069573274084561,0.003636110844005355,8712,0.5757575757575758,0.702020202020202,0.9995515236701583,1.2761087965402174,0.0731060606060606,0.16161616161616163,654,0.7194360058325334,1.4726481613679703,-5.975512303792891e-17,0.7507333657344645,9.064516129032258,2,False,0.75,4,0.6,5,0.7,10,2.3156546201017942
2020,expanding,17,133.5,153,0.6013071895424836,0.7843137254901961,0.8758169934640523,0.12418300653594772,0.23529411764705882,0.6601307189542484,1.2699221555288924,0.012925394803474747,0.1172649076529489,0.0034029550777746795,6732,0.5228758169934641,0.673202614379085,1.1155459512968477,1.4654642935796314,0.0718954248366013,0.17647058823529413,654,0.6121764328793007,1.2346279693479405,7.605197477554589e-17,0.756968687914793,9.733333333333333,1,True,0.75,4,0.875,8,0.9,10,2.519491962499874
2021,expanding,18,143.1,198,0.696969696969697,0.8535353535353535,0.9191919191919192,0.13131313131313133,0.29292929292929293,0.7053872053872055,1.0777716336969752,0.010105826549625442,0.1069034543747775,0.008069359966120092,9108,0.6464646464646465,0.7676767676767676,0.942842856251324,1.226823335958773,0.09090909090909091,0.1717171717171717,674,0.6855597936711495,1.4706439322675824,-7.115969534689431e-17,0.7539252105637083,6.354838709677419,2,False,0.6666666666666666,3,0.6666666666666666,6,0.8,10,2.1911716329972823
