test_season,window,n_train_seasons,fit_seconds,n_matches,correct_3,a3_in_top2,a3_in_top3,exact_321,unordered_top3,top3_ev_precision,log_loss_p3,brier_p3,ev_mae,ece_p3,n_player_rows,correct_3_ci_lo,correct_3_ci_hi,log_loss_p3_ci_lo,log_loss_p3_ci_hi,exact_321_ci_lo,exact_321_ci_hi,n_players,season_mae,season_rmse,season_bias,spearman,rank_mae_top30,winner_pred_rank,winner_correct,top3_hit,top3_n,top5_hit,top5_n,top10_hit,top10_n
2012,expanding,9,28.4,198,0.5707070707070707,0.7777777777777778,0.8787878787878788,0.09090909090909091,0.24242424242424243,0.6565656565656567,1.325374999272541,0.013042849331723862,0.13177091931050344,0.007905335738312523,8712,0.5,0.6390151515151514,1.2073207607766567,1.4669276213388478,0.05555555555555555,0.13636363636363635,676,0.7945574034459693,1.5385947556179054,8.934339133078183e-16,0.7510308737437839,11.709677419354838,3,False,0.3333333333333333,3,0.6,5,0.8,10
2013,expanding,10,31.5,198,0.5707070707070707,0.7929292929292929,0.8636363636363636,0.09090909090909091,0.21717171717171718,0.6632996632996634,1.3911550588549872,0.013466221054876713,0.1338307482273653,0.00822771526972314,8712,0.5,0.6414141414141414,1.2738693841369124,1.5186423377285925,0.052904040404040405,0.13636363636363635,677,0.813789419379911,1.5153714356740986,-1.049546138493501e-16,0.7662586442929394,10.441176470588236,1,True,1.0,3,0.8,5,0.6,10
2014,expanding,11,33.6,198,0.6363636363636364,0.7626262626262627,0.8686868686868687,0.10606060606060606,0.23737373737373738,0.6868686868686869,1.2728150459676433,0.012681021377848734,0.12149741210309571,0.006509282784818629,8712,0.5757575757575758,0.702020202020202,1.1538605173491818,1.4057058917078191,0.0707070707070707,0.14646464646464646,663,0.7571469155304766,1.4419324243576424,-1.875489875686539e-16,0.7625482185278268,11.2,6,False,0.5,4,0.75,8,0.6,10
2015,expanding,12,34.4,197,0.5685279187817259,0.7614213197969543,0.883248730964467,0.08629441624365482,0.22842639593908629,0.6700507614213198,1.2827863617290383,0.012746718679793363,0.1241597290612896,0.006714944410625667,8668,0.49987309644670047,0.6345177664974619,1.159982091272286,1.4266460880055594,0.04809644670050762,0.12956852791878162,665,0.7445648281824512,1.444006160901674,-5.876669243128648e-17,0.7655999279613624,12.5,1,True,0.6666666666666666,3,1.0,5,0.8,10
2016,expanding,13,42.1,198,0.5909090909090909,0.7777777777777778,0.8787878787878788,0.07575757575757576,0.2222222222222222,0.6818181818181818,1.2351249032585396,0.012621541567465236,0.11662703487987419,0.004392873573617813,8712,0.5202020202020202,0.6565656565656566,1.1136876880980573,1.3826746643015717,0.045454545454545456,0.1087121212121211,656,0.7746704590685924,1.6013409684226423,-5.307407629915382e-16,0.7550366349288121,10.666666666666666,1,True,0.6666666666666666,3,0.5714285714285714,7,0.6666666666666666,12
2017,expanding,14,47.8,198,0.6212121212121212,0.803030303030303,0.8939393939393939,0.11616161616161616,0.24242424242424243,0.6936026936026936,1.1486259527932143,0.011990854347160672,0.11611170122954786,0.0046307930963891625,8712,0.5579545454545455,0.6844696969696968,1.0303404124455984,1.2771201429575825,0.07575757575757576,0.16161616161616163,656,0.7286544009757026,1.4637451686367384,-4.1701059949335146e-16,0.7635202382122754,9.864864864864865,2,False,1.0,3,0.6,5,0.6,10
2018,expanding,15,51.5,198,0.5303030303030303,0.7626262626262627,0.8686868686868687,0.08080808080808081,0.25252525252525254,0.6835016835016834,1.450519235975085,0.014548999705887043,0.12185528618436228,0.0031046098213982575,8712,0.4494949494949495,0.6087121212121211,1.2823013597759918,1.6668753705278303,0.050505050505050504,0.12121212121212122,656,0.813735218293984,1.685558824427177,-6.065608719903295e-16,0.7740766351468404,13.411764705882353,1,True,0.3333333333333333,3,0.2,5,0.5454545454545454,11
2019,expanding,16,52.1,198,0.6212121212121212,0.7878787878787878,0.8838383838383839,0.10101010101010101,0.25757575757575757,0.6986531986531987,1.2137768237030038,0.012139956910364404,0.11497535788307857,0.005252137330622041,8712,0.5529040404040404,0.696969696969697,1.0619844634277444,1.3598151202975683,0.06060606060606061,0.15151515151515152,654,0.7680719283867229,1.576588826337092,2.4173663410798515e-16,0.7459347338501988,9.129032258064516,7,False,0.5,4,0.4,5,0.7,10
2020,expanding,17,44.4,153,0.5424836601307189,0.7516339869281046,0.869281045751634,0.0718954248366013,0.23529411764705882,0.6623093681917211,1.3538385239303925,0.013435009353213227,0.13098346003674355,0.005586273563828449,6732,0.46715686274509804,0.6274509803921569,1.2053734465647095,1.5012031488075102,0.032679738562091505,0.11764705882352941,654,0.6749577710421192,1.2743071273515731,5.703898108165942e-17,0.7543990919211816,9.733333333333333,1,True,0.75,4,0.875,8,0.8,10
2021,expanding,18,60.0,198,0.6616161616161617,0.8787878787878788,0.9191919191919192,0.10101010101010101,0.25757575757575757,0.6902356902356903,1.1178980869301804,0.010379988944509448,0.1102117760735369,0.007237222738643656,9108,0.601010101010101,0.7272727272727273,0.9717878125581821,1.2813677520430236,0.06060606060606061,0.14646464646464646,674,0.7224267424773718,1.5280826682948037,2.5037670585018366e-17,0.7474354194887788,7.451612903225806,1,True,0.6666666666666666,3,0.8333333333333334,6,0.7,10
