test_season,window,n_train_seasons,fit_seconds,n_matches,correct_3,a3_in_top2,a3_in_top3,exact_321,unordered_top3,top3_ev_precision,log_loss_p3,brier_p3,ev_mae,ece_p3,n_player_rows,correct_3_ci_lo,correct_3_ci_hi,log_loss_p3_ci_lo,log_loss_p3_ci_hi,exact_321_ci_lo,exact_321_ci_hi,n_players,season_mae,season_rmse,season_bias,spearman,rank_mae_top30,winner_pred_rank,winner_correct,top3_hit,top3_n,top5_hit,top5_n,top10_hit,top10_n,tau
2012,expanding,9,35.6,198,0.5555555555555556,0.7777777777777778,0.8434343434343434,0.08585858585858586,0.22727272727272727,0.6464646464646465,1.2951290892448764,0.013131105503682697,0.12405059762398506,0.004892073173861264,8712,0.48484848484848486,0.6289141414141413,1.1471675586636483,1.445601536943058,0.045454545454545456,0.12626262626262627,676,0.7715485869071178,1.5195244441987414,0.0,0.7536382724600605,11.741935483870968,3,False,0.3333333333333333,3,0.6,5,0.8,10,2.2416331246178065
2013,expanding,10,39.9,198,0.5707070707070707,0.7878787878787878,0.8484848484848485,0.045454545454545456,0.18181818181818182,0.6414141414141414,1.3281698944095686,0.012922047385176896,0.1230430404293436,0.006083824994324845,8712,0.507449494949495,0.6363636363636364,1.1894921012670676,1.4789290430388629,0.015151515151515152,0.08080808080808081,677,0.7584905056125288,1.4602059684096584,9.445915246441509e-17,0.764141991686715,10.147058823529411,1,True,1.0,3,0.8,5,0.6,10,2.322908934251377
2014,expanding,11,43.1,198,0.6060606060606061,0.7878787878787878,0.8838383838383839,0.08585858585858586,0.2676767676767677,0.6919191919191919,1.2291354435340796,0.01259462066186172,0.11330050907466772,0.00419306686028421,8712,0.5377525252525253,0.6767676767676768,1.0964595139328468,1.375417027241484,0.045454545454545456,0.12626262626262627,663,0.7091388567850772,1.3724006771886639,5.35854250196154e-18,0.7646582986193874,9.6,8,False,0.5,4,0.75,8,0.7,10,2.342564499947317
2015,expanding,12,47.3,197,0.5939086294416244,0.766497461928934,0.8730964467005076,0.08629441624365482,0.2131979695431472,0.673434856175973,1.2376463772879,0.01250489267934499,0.11289687585131156,0.003787723685687018,8668,0.5201776649746193,0.6548223350253807,1.0972622904327445,1.3990080186921408,0.050761421319796954,0.12956852791878162,665,0.6967218473015867,1.4434374633559888,-1.6027279753987223e-17,0.7676962293721251,12.647058823529411,1,True,1.0,3,1.0,5,0.7,10,2.488541556099913
2016,expanding,13,53.8,198,0.6313131313131313,0.7878787878787878,0.8787878787878788,0.10606060606060606,0.22727272727272727,0.6818181818181818,1.2056179386878998,0.012546768925949157,0.11230016511902902,0.0027933922520254036,8712,0.5656565656565656,0.696969696969697,1.0742814861698857,1.3368746862987728,0.06805555555555556,0.15151515151515152,656,0.7597795183304721,1.5710578141565266,-5.415722071342227e-17,0.7565643058206247,10.555555555555555,1,True,0.6666666666666666,3,0.42857142857142855,7,0.5833333333333334,12,2.3870478677404354
2017,expanding,14,59.6,198,0.6161616161616161,0.7929292929292929,0.8686868686868687,0.13131313131313133,0.22727272727272727,0.696969696969697,1.1661083498618212,0.012241472535372042,0.11041835117927183,0.0036592903364440843,8712,0.5505050505050505,0.6868686868686869,1.0336381118424784,1.301910138788231,0.08585858585858586,0.18181818181818182,656,0.7163122607972431,1.4886432287170341,-9.748299728416009e-17,0.762342258614484,9.378378378378379,1,True,1.0,3,0.6,5,0.6,10,2.4012768155662454
2018,expanding,15,65.8,198,0.5202020202020202,0.7525252525252525,0.8686868686868687,0.09595959595959595,0.25757575757575757,0.6801346801346803,1.3911060902952777,0.014001100510537871,0.115327053029537,0.0036518881699586637,8712,0.4518939393939394,0.5858585858585859,1.2073173646115662,1.59520349126005,0.05555555555555555,0.14646464646464646,656,0.7840134411881755,1.6627803201256586,1.0831444142684454e-17,0.7741287069316762,13.058823529411764,1,True,0.3333333333333333,3,0.2,5,0.45454545454545453,11,2.375395398845699
2019,expanding,16,72.4,198,0.6262626262626263,0.803030303030303,0.8888888888888888,0.1111111111111111,0.25757575757575757,0.6986531986531989,1.1934166503130401,0.012194766252984551,0.11013332050153758,0.0033802785760055874,8712,0.5505050505050505,0.6919191919191919,1.0565658448491106,1.3397284146178179,0.0731060606060606,0.16161616161616163,654,0.7649815460206855,1.6049242602122886,-6.79035489067374e-17,0.7490075399030991,10.35483870967742,5,False,0.5,4,0.6,5,0.6,10,2.2752679098587554
2020,expanding,17,75.8,153,0.5816993464052288,0.7516339869281046,0.8758169934640523,0.10457516339869281,0.21568627450980393,0.6514161220043573,1.2951526612099011,0.01313775285888554,0.12056074306804522,0.005111404006214836,6732,0.5032679738562091,0.6601307189542484,1.140839642918443,1.4926200431034677,0.06535947712418301,0.1568627450980392,654,0.6333109491891423,1.2753309181255286,5.432283912538992e-17,0.7529208399765288,9.466666666666667,1,True,0.75,4,0.75,8,0.8,10,2.4340145825467587
2021,expanding,18,81.5,198,0.6818181818181818,0.8484848484848485,0.9141414141414141,0.12626262626262627,0.2777777777777778,0.7053872053872055,1.1030060556161665,0.01027461086675155,0.11009310416086357,0.008740281419252104,9108,0.6236111111111111,0.7551767676767676,0.9661794362496544,1.2495440042474264,0.09090909090909091,0.16666666666666666,674,0.6993103511363785,1.5054817530202578,-1.4495493496589582e-17,0.752734422319719,6.193548387096774,1,True,0.6666666666666666,3,0.6666666666666666,6,0.8,10,2.0757121163503305
2022,expanding,19,87.6,198,0.601010101010101,0.8131313131313131,0.8838383838383839,0.12626262626262627,0.25757575757575757,0.6986531986531987,1.1375663990101805,0.011349448738651045,0.10204719128706974,0.004350510453430208,9108,0.5353535353535354,0.6693181818181817,0.9917871573287604,1.2928183816336993,0.08585858585858586,0.17676767676767677,683,0.6403402207258792,1.3528689976746788,2.600815284627014e-18,0.7749049703821546,13.117647058823529,4,False,0.3333333333333333,3,0.8,5,0.8,10,2.446180331545881
2023,expanding,20,94.3,207,0.48792270531400966,0.6908212560386473,0.8067632850241546,0.07729468599033816,0.21739130434782608,0.6151368760064413,1.5608810549525072,0.013907712179939408,0.11989909721291968,0.004284113529269216,9522,0.4251207729468599,0.5532608695652173,1.3321352142928757,1.7936263178138279,0.04094202898550725,0.11594202898550725,663,0.8586513524601684,1.8427383378047073,4.286834001569232e-17,0.7337349582757902,9.766666666666667,7,False,0.3333333333333333,3,0.6,5,0.7,10,2.594430923657984
2024,expanding,21,100.2,207,0.5314009661835749,0.714975845410628,0.821256038647343,0.057971014492753624,0.2028985507246377,0.6473429951690821,1.4867394933888203,0.013643562018971288,0.12866248603524127,0.005507261995372941,9522,0.463768115942029,0.6038647342995169,1.3320334208902536,1.6391607929850727,0.024154589371980676,0.08695652173913043,658,0.9232048761948538,1.9568608846589588,6.479113092037387e-17,0.7328537463062615,7.352941176470588,3,False,0.6666666666666666,3,0.4,5,0.8,10,1.8828838673364638
2025,expanding,22,106.4,207,0.5507246376811594,0.748792270531401,0.8743961352657005,0.043478260869565216,0.178743961352657,0.6505636070853462,1.3813673173994945,0.012994664104118326,0.12208522729507076,0.00485019583075245,9522,0.4927536231884058,0.616062801932367,1.2394426112714887,1.5280057587283595,0.01678743961352657,0.06763285024154589,742,0.7670809783268996,1.7480811404891332,-3.830419060701349e-17,0.7091484369745105,7.1,8,False,0.6666666666666666,3,0.4,5,0.7,10,2.0272851135344143
2026,expanding,23,112.0,207,0.6956521739130435,0.855072463768116,0.9178743961352657,0.1497584541062802,0.3285024154589372,0.7342995169082127,1.0032326189909966,0.009959947142145842,0.10135847413436162,0.0077782624707312615,9522,0.642512077294686,0.7584541062801933,0.9064992581068364,1.1003743519658027,0.1111111111111111,0.19806763285024154,745,0.6853639681366182,1.501465510156713,2.3843715965104033e-17,0.7132135971460063,5.161290322580645,1,True,0.6666666666666666,3,0.8571428571428571,7,0.8,10,2.055036690347144
2012,recent8,8,32.2,198,0.5757575757575758,0.7727272727272727,0.8585858585858586,0.11616161616161616,0.22727272727272727,0.6464646464646465,1.3097440459859455,0.013230421167049679,0.1244397517867769,0.004847617854899273,8712,0.5050505050505051,0.6541666666666666,1.1638186700616158,1.451205754223073,0.0707070707070707,0.15656565656565657,676,0.7720700551987347,1.5085024464720924,3.153296164615829e-17,0.7553447400574933,11.709677419354838,3,False,0.3333333333333333,3,0.6,5,0.8,10,2.217672862161066
2013,recent8,8,32.8,198,0.5505050505050505,0.7676767676767676,0.8535353535353535,0.050505050505050504,0.1919191919191919,0.6531986531986532,1.3236553022038824,0.012911184312784518,0.12159243700507626,0.0038481751461772492,8712,0.48724747474747476,0.6262626262626263,1.177321688221392,1.4828670687002095,0.025252525252525252,0.0784090909090908,677,0.7628521505758282,1.467958309514254,-9.445915246441509e-17,0.7632725464093837,10.529411764705882,1,True,1.0,3,0.8,5,0.6,10,2.2753283843306695
