test_season,window,n_train_seasons,fit_seconds,n_matches,correct_3,a3_in_top2,a3_in_top3,exact_321,unordered_top3,top3_ev_precision,log_loss_p3,brier_p3,ev_mae,ece_p3,n_player_rows,correct_3_ci_lo,correct_3_ci_hi,log_loss_p3_ci_lo,log_loss_p3_ci_hi,exact_321_ci_lo,exact_321_ci_hi,n_players,season_mae,season_rmse,season_bias,spearman,rank_mae_top30,winner_pred_rank,winner_correct,top3_hit,top3_n,top5_hit,top5_n,top10_hit,top10_n
2012,expanding,9,13.0,183,0.5683060109289617,0.8032786885245902,0.8688524590163934,0.1092896174863388,0.23497267759562843,0.6630236794171219,1.2901090429543323,0.014928372746913852,0.1472506757113878,0.007196853466516772,7214,0.49986338797814206,0.644808743169399,1.1664596810677321,1.424641881290026,0.06557377049180328,0.15846994535519127,544,0.9240142755625471,1.6816989633480461,0.02757352941177158,0.785970730793143,14.485714285714286,1,True,0.6666666666666666,3,0.6666666666666666,6,0.8,10
2013,expanding,10,15.9,174,0.5919540229885057,0.7701149425287356,0.8735632183908046,0.06896551724137931,0.21264367816091953,0.6704980842911877,1.3842119438927465,0.015229797723030765,0.14708843517676473,0.008658843816590796,7305,0.5172413793103449,0.6639367816091952,1.23145190255185,1.5320565817312615,0.034482758620689655,0.11221264367816079,571,0.9023426034279447,1.6116733568703814,0.042031523642732216,0.7877861516198351,10.0625,2,False,0.75,4,0.6,5,0.7,10
2014,expanding,11,19.4,183,0.6065573770491803,0.819672131147541,0.8961748633879781,0.09289617486338798,0.26229508196721313,0.697632058287796,1.2190718431288614,0.014129176020195148,0.13221273826753727,0.007559820094629932,7470,0.546448087431694,0.6666666666666666,1.1068900861192548,1.3494633575055217,0.060109289617486336,0.1366120218579235,558,0.8339564752873538,1.4752469856633894,0.01612903225806423,0.7902478786788765,11.575757575757576,5,False,0.3333333333333333,3,0.6,5,0.6,10
2015,expanding,12,20.8,178,0.5955056179775281,0.7584269662921348,0.8651685393258427,0.0898876404494382,0.21348314606741572,0.6835205992509362,1.2679293400716962,0.014333544908358193,0.13599302930400686,0.007221219400022704,7326,0.5280898876404494,0.6573033707865169,1.1357650639859165,1.4049591424564551,0.05056179775280899,0.1348314606741573,557,0.8082526125822016,1.476839912071719,0.03770197486535011,0.7875334912820652,10.966666666666667,1,True,0.75,4,0.8,5,0.7692307692307693,13
2016,expanding,13,21.0,179,0.5698324022346368,0.776536312849162,0.88268156424581,0.07262569832402235,0.22905027932960895,0.6927374301675978,1.2564506791830234,0.014286171989053499,0.13320817758414974,0.006118192333860362,7441,0.4972067039106145,0.6368715083798883,1.1201752032571861,1.3855364446314702,0.03910614525139665,0.11173184357541899,560,0.8492344829031572,1.6667514488722228,0.023214285714286197,0.7812051944446617,10.21875,1,True,0.6666666666666666,3,0.42857142857142855,7,0.5454545454545454,11
2017,expanding,14,19.5,181,0.6574585635359116,0.8453038674033149,0.9281767955801105,0.10497237569060773,0.23204419889502761,0.6850828729281767,1.1366333141284017,0.012975808474754878,0.13280859056950464,0.007331537345823793,7471,0.5882596685082873,0.7377071823204419,1.005403615446535,1.254310998616479,0.06077348066298342,0.14917127071823205,551,0.8427417589699685,1.5494956371581434,0.021778584392014196,0.7908213992644749,8.78125,2,False,1.0,3,0.8,5,0.6,10
2018,expanding,15,17.5,184,0.5163043478260869,0.7771739130434783,0.8532608695652174,0.11413043478260869,0.2826086956521739,0.6865942028985507,1.4505359780456606,0.016743054174278137,0.14283155893856128,0.004912106656306476,7294,0.44279891304347824,0.5869565217391305,1.292401934065303,1.6156823126229183,0.07065217391304347,0.16304347826086957,552,0.972307212782141,1.915782701837277,0.019927536231884507,0.7905203285945112,14.548387096774194,1,True,0.3333333333333333,3,0.3333333333333333,6,0.5,10
2019,expanding,16,17.9,184,0.6304347826086957,0.8260869565217391,0.875,0.08152173913043478,0.20108695652173914,0.6847826086956522,1.201832359015026,0.013133612045710364,0.12888237687080153,0.005887973996992872,7495,0.5706521739130435,0.7010869565217391,1.037298107190309,1.3426057503511264,0.043478260869565216,0.11956521739130435,552,0.8778144552255515,1.5870259320253457,0.01449275362318848,0.7742499450651181,10.685714285714285,4,False,0.6666666666666666,3,0.6666666666666666,6,0.8,10
2020,expanding,17,15.6,125,0.528,0.744,0.872,0.072,0.216,0.6533333333333332,1.4015983012121938,0.015843382330577596,0.1547197204800103,0.006603570569520965,5361,0.44,0.6201999999999999,1.238647355650701,1.5676680330266028,0.032,0.12,522,0.7744633416639916,1.3467717224928364,0.04597701149425293,0.7631002335767745,10.941176470588236,1,True,0.6666666666666666,3,0.8,5,0.7692307692307693,13
2021,expanding,18,25.4,180,0.6444444444444445,0.8777777777777778,0.9111111111111111,0.13333333333333333,0.2722222222222222,0.712962962962963,1.0884968866937945,0.011989114045221646,0.1289770698344765,0.009346817873028154,7507,0.5722222222222222,0.7166666666666667,0.9492075892977166,1.2459520866103229,0.08888888888888889,0.18888888888888888,569,0.8119873004994441,1.572563687841033,0.017574692442882307,0.7696692877198389,6.90625,1,True,0.5,4,0.8333333333333334,6,0.8,10
