player_name,team_code,season_votes,OR,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,team_id,player_id,match_status
Nick Daicos,COLL,42.0,3.0,2.5,,3.0,,2.0,3.0,2.0,1.0,,0.5,3.0,1.0,1.5,,2.5,3.0,2.5,0.5,2.0,3.0,0.5,2.5,3.0,,collingwood,12943,resolved
Bailey Smith,GEE,32.5,,,,3.0,2.0,3.0,2.0,,,3.0,2.0,1.5,1.5,1.0,2.0,,,,0.5,2.0,,0.5,3.0,2.5,3.0,geelong,12692,resolved
Marcus Bontempelli,WB,30.5,0.5,3.0,2.0,,2.5,,,1.0,2.0,3.0,,2.0,0.5,1.5,,3.0,,,2.5,3.0,2.0,,,,2.0,western_bulldogs,12269,resolved
Jordan Dawson,ADE,25.0,,,1.0,,1.0,,,1.0,,2.0,2.0,3.0,,3.0,3.0,0.5,,3.0,2.5,,,1.0,2.0,,,adelaide,12516,resolved
Max Gawn,MEL,25.0,,2.0,,2.0,1.5,,,1.0,,1.0,2.0,,,1.5,2.0,2.0,,2.0,0.5,1.0,,3.0,,2.0,1.5,melbourne,11966,resolved
Patrick Cripps,CARL,25.0,,2.0,,,,0.5,,2.0,,1.0,2.5,2.0,2.5,,,2.0,2.0,1.0,,2.5,3.0,,,1.5,0.5,carlton,12261,resolved
Lachie Neale,BRIS,24.0,2.0,,,,2.0,3.0,1.0,3.0,,3.0,,,,2.0,0.5,,,,2.0,2.0,,,1.5,,2.0,brisbane_lions,12055,resolved
Izak Rankine,ADE,23.5,,,,,,2.0,,,,3.0,2.0,,,,,,,2.0,2.0,2.0,,1.5,3.0,3.0,3.0,adelaide,12798,resolved
Nasiah Wanganeen-Milera,STK,23.0,,,1.0,1.0,,3.0,,2.0,2.0,,,,,2.0,3.0,1.5,,3.0,1.5,,3.0,,,,,st_kilda,12950,resolved
Will Ashcroft,BRIS,22.5,,,,2.5,3.0,,,,0.5,,,,,,3.0,,1.0,,3.0,1.5,3.0,,2.0,3.0,,brisbane_lions,13040,resolved
Ed Richards,WB,22.0,3.0,,,,,,,,,1.5,,3.0,1.5,1.0,1.0,,,,2.0,,3.0,1.0,0.5,3.0,1.5,western_bulldogs,12605,resolved
Isaac Heeney,SYD,21.5,1.0,,,,3.0,3.0,,,1.0,3.0,0.5,,3.0,2.0,2.0,,,0.5,,,,,,2.5,,sydney,12326,resolved
Jai Newcombe,HAW,21.0,,,2.5,,,3.0,,3.0,1.0,,,,,2.0,,3.0,3.0,,,,0.5,3.0,,,,hawthorn,12915,resolved
Kysaiah Pickett,MEL,21.0,,,,3.0,1.5,1.5,,3.0,0.5,,,0.5,,3.0,3.0,,,,,2.0,,,3.0,,,melbourne,12771,resolved
Harry Sheezel,NM,21.0,,2.0,1.5,1.5,1.0,,3.0,,,0.5,,,,,3.0,1.0,3.0,2.0,,1.0,1.0,,0.5,,,north_melbourne,13034,resolved
Zak Butters,PA,19.0,,,3.0,1.5,1.5,2.0,1.5,1.0,,1.5,1.5,,,1.0,1.5,,3.0,,,,,,,,,port_adelaide,12698,resolved
Jason Horne-Francis,PA,19.0,,,2.0,,,0.5,1.5,3.0,,,,2.5,,3.0,,0.5,2.0,2.5,,,,1.5,,,,port_adelaide,12956,resolved
Luke Davies-Uniacke,NM,17.0,,,,2.0,2.5,1.0,1.0,,,2.0,,2.0,,,,,2.0,1.5,,,,,3.0,,,north_melbourne,12590,resolved
Chad Warner,SYD,16.5,,,1.0,,1.0,,,0.5,,,,,1.5,2.0,1.0,,3.0,,,1.5,0.5,2.0,1.5,1.0,,sydney,,ambiguous
Errol Gulden,SYD,16.5,2.0,1.0,,,,,,,,,,,,,,,,,,,3.0,3.0,2.0,2.5,3.0,sydney,12862,resolved
Luke Jackson,FRE,16.0,,2.5,,,,2.0,,0.5,1.5,3.0,,0.5,,1.5,,3.0,1.0,,,,0.5,,,,,fremantle,12779,resolved
Max Holmes,GEE,14.5,,2.0,,1.5,,,1.0,,3.0,1.5,,2.0,,0.5,2.0,,,1.0,,,,,,,,geelong,12881,resolved
Christian Petracca,GC,14.0,3.0,3.0,,,,,2.5,0.5,3.0,,1.0,1.0,,,,,,,,,,,,,,gold_coast,12430,resolved
Zac Bailey,BRIS,14.0,,,,,0.5,2.0,,2.0,2.5,,,,2.0,,0.5,,1.0,1.5,,,2.0,,,,,brisbane_lions,12610,resolved
Harley Reid,WCE,14.0,,,2.5,1.0,,,,,3.0,,3.0,,2.0,,,,,,,,,2.5,,,,west_coast,13111,resolved
Clayton Oliver,GWS,14.0,1.5,,,1.0,,1.0,1.5,,1.0,,2.0,1.0,,,,,,1.0,3.0,,,,,1.0,,greater_western_sydney,12410,resolved
Matt Rowell,GC,14.0,,,,,,1.0,2.5,,,,,3.0,,,,,,,,0.5,,2.0,3.0,,2.0,gold_coast,12768,resolved
Noah Anderson,GC,14.0,,2.0,,,,,,0.5,,2.0,3.0,,,,1.0,2.0,,,,,1.0,,0.5,,2.0,gold_coast,12767,resolved
