round,match_label,wheelo_player_name,team_id,player_id,match_status,wheelo_ev,wheelo_p3_pct,wheelo_match_rank
0,Syd v Carl,Justin McInerney,sydney,12711,resolved,2.631,67.6,1
0,Syd v Carl,Errol Gulden,sydney,12862,resolved,1.749,22.5,2
0,Syd v Carl,Isaac Heeney,sydney,12326,resolved,0.959,7.7,3
0,Syd v Carl,Sam Walsh,carlton,12684,resolved,0.222,1.1,4
0,Syd v Carl,Chad Warner,sydney,12797,resolved,0.206,1.1,5
0,Syd v Carl,James Rowbottom,sydney,12714,resolved,0.047,0.0,6
0,Syd v Carl,Angus Sheldrick,sydney,12951,resolved,0.036,0.0,7
0,Syd v Carl,Matt Roberts,sydney,12994,resolved,0.026,0.0,8
0,Syd v Carl,Brodie Grundy,sydney,12217,resolved,0.018,0.0,9
0,Syd v Carl,Marc Pittonet,carlton,12417,resolved,0.016,0.0,10
0,Syd v Carl,Joel Amartey,sydney,12844,resolved,0.015,0.0,11
0,Syd v Carl,Callum Mills,sydney,12413,resolved,0.013,0.0,12
0,Syd v Carl,Nick Blakey,sydney,12699,resolved,0.01,0.0,14
0,Syd v Carl,Tom McCartin,sydney,12627,resolved,0.01,0.0,13
0,Syd v Carl,Charlie Curnow,sydney,12421,resolved,0.01,0.0,15
0,Syd v Carl,Riley Bice,sydney,13195,resolved,0.007,0.0,16
0,Syd v Carl,Jai Serong,sydney,13022,resolved,0.006,0.0,17
0,Syd v Carl,Jagga Smith,carlton,13274,resolved,0.003,0.0,18
0,Syd v Carl,James Jordon,sydney,12860,resolved,0.003,0.0,19
0,Syd v Carl,Patrick Cripps,carlton,12261,resolved,0.003,0.0,21
0,Syd v Carl,Oliver Florent,carlton,12497,resolved,0.002,0.0,20
0,Syd v Carl,Dane Rampe,sydney,12140,resolved,0.002,0.0,23
0,Syd v Carl,Jake Lloyd,sydney,12268,resolved,0.002,0.0,22
0,Syd v Carl,Cooper Lord,carlton,13170,resolved,0.002,0.0,24
0,Syd v Carl,Logan McDonald,sydney,12861,resolved,0.001,0.0,25
0,Syd v Carl,Malcolm Rosas,sydney,12903,resolved,0.001,0.0,27
0,Syd v Carl,Tom Papley,sydney,12412,resolved,0.001,0.0,28
0,Syd v Carl,Lewis Melican,sydney,12526,resolved,0.001,0.0,26
0,Syd v Carl,Sam Wicks,sydney,12818,resolved,0.001,0.0,29
0,Syd v Carl,Zac Williams,carlton,12175,resolved,0.0,0.0,30
0,Syd v Carl,Oliver Hollands,carlton,13029,resolved,0.0,0.0,31
0,Syd v Carl,Elijah Hollands,carlton,13016,resolved,0.0,0.0,32
0,Syd v Carl,Campbell Chesser,carlton,13039,resolved,0.0,0.0,33
0,Syd v Carl,Jacob Weitering,carlton,12402,resolved,0.0,0.0,34
0,Syd v Carl,George Hewett,carlton,12411,resolved,0.0,0.0,35
0,Syd v Carl,Adam Saad,carlton,12330,resolved,0.0,0.0,36
0,Syd v Carl,Mitch McGovern,carlton,12404,resolved,0.0,0.0,37
0,Syd v Carl,Harry McKay,carlton,12566,resolved,0.0,0.0,38
0,Syd v Carl,Ben Ainsworth,carlton,12498,resolved,0.0,0.0,39
0,Syd v Carl,Brodie Kemp,carlton,12937,resolved,0.0,0.0,40
0,Syd v Carl,Ashton Moir,carlton,13171,resolved,0.0,0.0,41
0,Syd v Carl,Harry Dean,carlton,13273,resolved,0.0,0.0,42
0,Syd v Carl,Lewis Young,carlton,12559,resolved,0.0,0.0,43
0,Syd v Carl,Will Hayward,carlton,12509,resolved,0.0,0.0,44
0,Syd v Carl,Lachie Fogarty,carlton,12596,resolved,0.0,0.0,45
0,Syd v Carl,Liam Reidy,carlton,13172,resolved,0.0,0.0,46
0,GC v Geel,Christian Petracca,gold_coast,12430,resolved,2.948,94.9,1
0,GC v Geel,Bailey Humphrey,gold_coast,13049,resolved,1.203,3.7,2
0,GC v Geel,John Noble,gold_coast,12743,resolved,0.7,1.1,3
0,GC v Geel,Touk Miller,gold_coast,12331,resolved,0.333,0.2,4
0,GC v Geel,Noah Anderson,gold_coast,12767,resolved,0.245,0.1,5
0,GC v Geel,Sam Collins,gold_coast,12444,resolved,0.096,0.0,6
0,GC v Geel,Daniel Rioli,gold_coast,12403,resolved,0.079,0.0,7
0,GC v Geel,Wil Powell,gold_coast,12652,resolved,0.058,0.0,8
0,GC v Geel,Ben King,gold_coast,12728,resolved,0.045,0.0,9
0,GC v Geel,Tanner Bruhn,geelong,12871,resolved,0.031,0.0,10
0,GC v Geel,Mac Andrew,gold_coast,13019,resolved,0.024,0.0,11
0,GC v Geel,Tom Atkins,geelong,12690,resolved,0.023,0.0,14
0,GC v Geel,Alex Davies,gold_coast,12942,resolved,0.022,0.0,13
0,GC v Geel,Lachie Weller,gold_coast,12385,resolved,0.022,0.0,15
0,GC v Geel,Max Holmes,geelong,12881,resolved,0.021,0.0,12
0,GC v Geel,Leonardo Lombard,gold_coast,13232,resolved,0.021,0.0,18
0,GC v Geel,Oliver Dempsey,geelong,12974,resolved,0.019,0.0,16
0,GC v Geel,Joel Jeffrey,gold_coast,12933,resolved,0.019,0.0,17
0,GC v Geel,Jarrod Witts,gold_coast,12177,resolved,0.013,0.0,20
0,GC v Geel,Ben Long,gold_coast,12521,resolved,0.012,0.0,19
0,GC v Geel,Bodhi Uwland,gold_coast,13041,resolved,0.01,0.0,21
0,GC v Geel,Gryan Miers,geelong,12689,resolved,0.009,0.0,22
0,GC v Geel,Bailey Smith,geelong,12692,resolved,0.008,0.0,23
0,GC v Geel,Sam Clohesy,gold_coast,13119,resolved,0.007,0.0,24
0,GC v Geel,James Worpel,geelong,12619,resolved,0.007,0.0,25
0,GC v Geel,Zeke Uwland,gold_coast,13278,resolved,0.006,0.0,26
0,GC v Geel,Ethan Read,gold_coast,13121,resolved,0.005,0.0,27
0,GC v Geel,Tom Stewart,geelong,12505,resolved,0.005,0.0,28
0,GC v Geel,Will Graham,gold_coast,13120,resolved,0.003,0.0,29
0,GC v Geel,Oscar Adams,gold_coast,13251,resolved,0.001,0.0,30
0,GC v Geel,Mark O'Connor,geelong,12531,resolved,0.001,0.0,32
0,GC v Geel,Connor O'Sullivan,geelong,13122,resolved,0.001,0.0,31
0,GC v Geel,Zach Guthrie,geelong,12551,resolved,0.001,0.0,33
0,GC v Geel,Sam De Koning,geelong,12891,resolved,0.0,0.0,34
0,GC v Geel,Mark Blicavs,geelong,12153,resolved,0.0,0.0,35
0,GC v Geel,Jack Henry,geelong,12607,resolved,0.0,0.0,36
0,GC v Geel,Lawson Humphries,geelong,13160,resolved,0.0,0.0,37
0,GC v Geel,Oliver Henry,geelong,12851,resolved,0.0,0.0,38
0,GC v Geel,Jhye Clark,geelong,13062,resolved,0.0,0.0,39
0,GC v Geel,Jy Farrar,gold_coast,12848,resolved,0.0,0.0,40
0,GC v Geel,Mitch Knevitt,geelong,12986,resolved,0.0,0.0,41
0,GC v Geel,Shaun Mannagh,geelong,13104,resolved,0.0,0.0,42
0,GC v Geel,Jack Martin,geelong,12236,resolved,0.0,0.0,43
0,GC v Geel,Shannon Neale,geelong,12992,resolved,0.0,0.0,44
0,GC v Geel,Brad Close,geelong,12806,resolved,0.0,0.0,45
0,GC v Geel,Oisin Mullin,geelong,13066,resolved,0.0,0.0,46
0,GWS v Haw,Jake Stringer,greater_western_sydney,12167,resolved,2.293,48.7,1
0,GWS v Haw,Finn Callaghan,greater_western_sydney,12969,resolved,1.464,22.7,2
0,GWS v Haw,Clayton Oliver,greater_western_sydney,12410,resolved,1.298,19.4,3
0,GWS v Haw,Stephen Coniglio,greater_western_sydney,12028,resolved,0.427,5.5,4
0,GWS v Haw,Jake Riccardi,greater_western_sydney,12834,resolved,0.138,1.3,5
0,GWS v Haw,Joe Fonti,greater_western_sydney,13164,resolved,0.118,1.2,6
0,GWS v Haw,Toby Greene,greater_western_sydney,12025,resolved,0.075,0.6,7
0,GWS v Haw,Jai Newcombe,hawthorn,12915,resolved,0.062,0.4,8
0,GWS v Haw,Lachie Whitfield,greater_western_sydney,12143,resolved,0.036,0.2,9
0,GWS v Haw,James Sicily,hawthorn,12332,resolved,0.016,0.0,10
0,GWS v Haw,Harry Rowston,greater_western_sydney,13045,resolved,0.012,0.0,11
0,GWS v Haw,Lachie Ash,greater_western_sydney,12782,resolved,0.012,0.0,12
0,GWS v Haw,Harvey Thomas,greater_western_sydney,13101,resolved,0.006,0.0,13
0,GWS v Haw,Kieren Briggs,greater_western_sydney,12904,resolved,0.006,0.0,14
0,GWS v Haw,Jesse Hogan,greater_western_sydney,12321,resolved,0.005,0.0,15
0,GWS v Haw,Jayden Laverde,greater_western_sydney,12377,resolved,0.005,0.0,16
0,GWS v Haw,Harry Himmelberg,greater_western_sydney,12462,resolved,0.004,0.0,17
0,GWS v Haw,Connor Macdonald,hawthorn,12954,resolved,0.004,0.0,18
0,GWS v Haw,Josh Ward,hawthorn,12955,resolved,0.002,0.0,21
0,GWS v Haw,Mabior Chol,hawthorn,12485,resolved,0.002,0.0,20
0,GWS v Haw,Conor Nash,hawthorn,12670,resolved,0.002,0.0,23
0,GWS v Haw,Connor Idun,greater_western_sydney,12750,resolved,0.002,0.0,19
0,GWS v Haw,Jack Ginnivan,hawthorn,12927,resolved,0.002,0.0,26
0,GWS v Haw,Jack Buckley,greater_western_sydney,12846,resolved,0.002,0.0,24
0,GWS v Haw,Nick Watson,hawthorn,13105,resolved,0.002,0.0,27
0,GWS v Haw,Josh Battle,hawthorn,12558,resolved,0.002,0.0,22
0,GWS v Haw,Jack Gunston,hawthorn,11845,resolved,0.001,0.0,25
0,GWS v Haw,Callum Brown,greater_western_sydney,12910,resolved,0.001,0.0,29
0,GWS v Haw,Jack Scrimshaw,hawthorn,12565,resolved,0.001,0.0,28
0,GWS v Haw,Max Gruzewski,greater_western_sydney,13158,resolved,0.001,0.0,30
0,GWS v Haw,Phoenix Gothard,greater_western_sydney,13279,resolved,0.0,0.0,31
0,GWS v Haw,Massimo D'Ambrosio,hawthorn,12998,resolved,0.0,0.0,32
0,GWS v Haw,Ryan Angwin,greater_western_sydney,13001,resolved,0.0,0.0,33
0,GWS v Haw,Josh Weddle,hawthorn,13057,resolved,0.0,0.0,34
0,GWS v Haw,Jarman Impey,hawthorn,12237,resolved,0.0,0.0,35
0,GWS v Haw,Karl Amon,hawthorn,12357,resolved,0.0,0.0,36
0,GWS v Haw,Sam Butler,hawthorn,12988,resolved,0.0,0.0,37
0,GWS v Haw,Harry Morrison,hawthorn,12579,resolved,0.0,0.0,38
0,GWS v Haw,Blake Hardwick,hawthorn,12469,resolved,0.0,0.0,39
0,GWS v Haw,Xavier O'Halloran,greater_western_sydney,12821,resolved,0.0,0.0,40
0,GWS v Haw,Lloyd Meek,hawthorn,12856,resolved,0.0,0.0,41
0,GWS v Haw,Mitch Lewis,hawthorn,12636,resolved,0.0,0.0,42
0,GWS v Haw,Josaia Delana,greater_western_sydney,13222,resolved,0.0,0.0,43
0,GWS v Haw,Tom Barrass,hawthorn,12383,resolved,0.0,0.0,44
0,GWS v Haw,Dylan Moore,hawthorn,12710,resolved,0.0,0.0,45
0,GWS v Haw,Finn Maginness,hawthorn,12843,resolved,0.0,0.0,46
0,Bris v WB,Ed Richards,western_bulldogs,12605,resolved,2.641,68.3,1
0,Bris v WB,Lachie Neale,brisbane_lions,12055,resolved,1.74,23.7,2
