round,opponent,result,disposals,goals,p3,p2,p1,p0,expected_votes,deterministic_pick,primary_drivers
1,st_kilda,win by 12,41,0,0.7091009362129124,0.222152199975977,0.0559452439201235,0.0128016198909869,2.6275524525108147,3,disposals=41 (z=2.7); clearances=4 (z=1.9); inside 50s=5 (z=1.6)
2,adelaide,loss by 14,33,2,0.6783291593988117,0.2523578022493746,0.0821558673104561,0.0,2.6218589500056404,3,disposals=33 (z=2.1); clearances=4 (z=1.5); goals=2 (z=1.8); inside 50s=10 (z=3.8)
4,greater_western_sydney,win by 33,36,2,0.931608551387543,0.0643807821182453,0.0038115583595168,0.0001991081346947,2.9273987767586367,3,disposals=36 (z=2.0); contested possessions=12 (z=2.0); clearances=6 (z=2.3); tackles=5 (z=1.6); goals=2 (z=1.9); inside 50s=12 (z=4.4)
6,fremantle,loss by 6,31,0,0.4287629535670875,0.2593633654171047,0.1498700857197178,0.1620035952960899,1.9548856772551897,3,disposals=31 (z=2.6); contested possessions=10 (z=1.2); clearances=5 (z=1.9); inside 50s=7 (z=2.9)
7,carlton,win by 5,39,1,0.9473733627241978,0.0500624277998737,0.0024484583971944,0.0001157510787339,2.9446934021695355,3,disposals=39 (z=2.9); contested possessions=16 (z=3.3); clearances=8 (z=3.6); inside 50s=8 (z=2.9)
8,essendon,win by 77,42,0,0.4600600255236462,0.4950677470114011,0.042529719097247,0.0023425083677056,2.412845289690988,2,disposals=42 (z=2.7); contested possessions=14 (z=2.8); clearances=8 (z=4.0); inside 50s=8 (z=3.3); marks=8 (z=1.1)
9,hawthorn,draw by 0,34,1,0.4674722826513048,0.3032553459585538,0.1506040519097647,0.0786683194803767,2.159531591780787,3,disposals=34 (z=2.2); contested possessions=10 (z=1.6); clearances=4 (z=1.4); tackles=5 (z=1.5); inside 50s=8 (z=3.2)
10,geelong,loss by 54,29,0,0.0014514950561256,0.0137288915214472,0.0205103950855359,0.9643092183368912,0.0523226632968074,0,disposals=29 (z=1.4)
11,sydney,loss by 6,28,2,0.0127294050536615,0.029022614655826,0.0873237588859931,0.8709242214045192,0.1835572033586299,0,disposals=28 (z=1.4); goals=2 (z=2.5); inside 50s=5 (z=1.2); contested marks=1 (z=1.4)
12,west_coast,win by 10,34,3,0.9465384325016422,0.0513913946791025,0.0020093750552689,6.079776398641929e-05,2.9444074619184004,3,disposals=34 (z=2.7); clearances=7 (z=2.0); goals=3 (z=2.7); inside 50s=5 (z=1.6)
13,western_bulldogs,loss by 4,37,1,0.3298760768130657,0.2463726970804294,0.1749411288897616,0.2488100972167432,1.6573147534898176,3,disposals=37 (z=2.7); contested possessions=12 (z=2.1); clearances=5 (z=1.6); inside 50s=6 (z=1.7)
14,melbourne,loss by 8,35,2,0.4760312351401574,0.4105582991777143,0.0961703884380694,0.0172400772440587,2.3453806922139706,3,disposals=35 (z=2.7); contested possessions=12 (z=2.0); clearances=6 (z=2.3); goals=2 (z=1.7); inside 50s=7 (z=2.0); marks=6 (z=1.2)
16,port_adelaide,win by 26,41,1,0.9086093043770732,0.0989787549142032,0.0045700216136607,0.0,2.928355444573288,3,disposals=41 (z=3.1); contested possessions=14 (z=2.8); clearances=9 (z=3.5); tackles=4 (z=1.3); inside 50s=6 (z=1.8)
17,richmond,win by 34,37,3,0.9695334167420312,0.0298250471855657,0.0006314035426287,1.013252977437502e-05,2.9688817481398533,3,disposals=37 (z=2.9); contested possessions=11 (z=2.0); clearances=7 (z=3.3); goals=3 (z=2.2); inside 50s=9 (z=3.3)
18,gold_coast,win by 6,31,1,0.8517529912124207,0.1282279130287891,0.0175641692470683,0.0024549265117218,2.8292789689419084,3,disposals=31 (z=1.9); contested possessions=11 (z=1.5); clearances=8 (z=3.0); inside 50s=6 (z=2.0)
19,north_melbourne,win by 4,28,1,0.3456269388555869,0.2629369873121541,0.1840557258191507,0.2073803480131082,1.7468105170102195,3,disposals=28 (z=1.6)
20,carlton,win by 21,36,0,0.5270549232761638,0.3264913637677205,0.1104571189799657,0.03599659397615,2.344604616343898,3,disposals=36 (z=2.9); inside 50s=4 (z=1.1)
21,adelaide,win by 34,39,1,0.908754565782889,0.0849352362151873,0.0060143123222673,0.0002958856796563,2.902148482101309,3,disposals=39 (z=3.3); contested possessions=18 (z=2.9); clearances=7 (z=2.2); inside 50s=4 (z=1.2)
22,geelong,loss by 25,35,0,0.1065362272525145,0.2599662065726688,0.2355052549464099,0.3979923112284067,1.075046349849291,2,disposals=35 (z=2.7); contested possessions=13 (z=2.0); clearances=9 (z=2.8); inside 50s=7 (z=2.0)
23,west_coast,win by 19,39,1,0.8780833745918444,0.1094706979992822,0.0114371244673567,0.0010088029415165,2.8646286442414546,3,disposals=39 (z=3.1); contested possessions=17 (z=2.5); clearances=10 (z=2.9); inside 50s=11 (z=3.5)
24,hawthorn,draw by 0,36,1,0.7827838814432538,0.1740436412076216,0.0353474418497938,0.0078250354993307,2.7317863685947987,3,disposals=36 (z=2.9); inside 50s=8 (z=2.9)
25,brisbane_lions,loss by 63,26,1,0.0001327244252832,0.0009750023179453,0.0048482144171836,0.9940440588395876,0.0071963923289242,0,disposals=26 (z=1.3); contested possessions=12 (z=1.7); clearances=5 (z=1.1); inside 50s=5 (z=1.5)
