rank,player_id,player_name,team_id,A_historical,A_with_reputation,B_recent_era,C_stats_assisted,D_high,D_low,D_medium,FINAL_ENSEMBLE,structural_break_sensitivity,model_disagreement_range,reputation_effect,sim_mean_votes,sim_median_votes,sim_p10,sim_p90,sim_p2_5,sim_p97_5,prob_ge_10,prob_ge_15,prob_ge_20,prob_ge_25,prob_ge_30,prob_ge_35,prob_rank_1,prob_top3_rank,prob_top10_rank,projected_3_vote_games,projected_2_vote_games,projected_1_vote_games
1,12943,Nick Daicos,collingwood,46.83334565281508,47.32118052626432,47.75526375368466,46.9849792816447,46.92432583011285,46.85609069713952,46.886417422905446,47.07080104307936,0.1516336288296145,0.9219181008695756,0.4878348734492306,47.07045,47.0,43.0,51.0,41.0,53.0,1.0,1.0,1.0,1.0,1.0,0.99989,0.99028,1.0,1.0,17,2,0
2,12692,Bailey Smith,geelong,35.21822642989444,38.05896900041431,35.799387913317275,35.332540302801,35.286814753638374,35.23537351083042,35.25823628541173,35.374468582096306,0.114313872906564,0.5811614834228394,2.840742570519872,35.36536,35.0,31.0,40.0,28.0,43.0,1.0,1.0,1.0,0.99894,0.94605,0.58998,0.00971,0.98287,0.99998,7,8,2
3,12269,Marcus Bontempelli,western_bulldogs,25.206753361425985,28.360559736976825,26.12754247501806,26.420350622855317,25.934911718283583,25.388792950640383,25.631512402926248,25.815670225644663,1.213597261429328,1.213597261429328,3.15380637555084,25.80725,26.0,21.0,30.0,19.0,33.0,1.0,0.9996,0.96774,0.64635,0.14187,0.00643,0.0,0.29892,0.92801,6,4,3
4,13040,Will Ashcroft,brisbane_lions,24.976629317690684,23.603875902463805,25.31818259112321,24.25868138149162,24.545860555971245,24.868937127260825,24.72534754002101,24.79365819470752,0.7179479361990637,1.0595012096315948,-1.372753415226878,24.78326,25.0,21.0,29.0,19.0,31.0,1.0,0.9995,0.95148,0.53037,0.07431,0.00188,1e-05,0.1866,0.89225,5,5,2
5,12261,Patrick Cripps,carlton,23.85243215252213,24.722349357955636,25.088024634221515,23.363437128226764,23.559035137944907,23.779082898877824,23.68128389401875,23.928402390358627,0.4889950242953667,1.7245875059947515,0.8699172054335023,23.91563,24.0,19.0,29.0,17.0,31.0,0.99998,0.99473,0.88108,0.43276,0.07179,0.00319,0.0,0.14837,0.80152,5,5,1
6,12055,Lachie Neale,brisbane_lions,23.597030407669248,24.13813767856968,23.820751544356497,23.09268923257935,23.29442570261531,23.52137923140576,23.420510996387783,23.46525522372524,0.5043411750898983,0.7280623117771476,0.5411072709004294,23.47279,23.0,19.0,28.0,17.0,30.0,1.0,0.99763,0.88182,0.37622,0.03967,0.0008,0.0,0.11245,0.78946,4,7,2
7,12326,Isaac Heeney,sydney,22.53277364488169,21.63508911544847,23.99172108152062,23.40743176849877,23.05756851905194,22.663972363424254,22.838903988147667,23.130693475475454,0.8746581236170812,1.4589474366389297,-0.8976845294332207,23.11901,23.0,19.0,28.0,17.0,30.0,1.0,0.99653,0.85971,0.3339,0.03268,0.0009,0.0,0.0912,0.75707,6,2,5
8,13034,Harry Sheezel,north_melbourne,22.637685223062583,23.06135192107904,23.60644942006382,22.08332106016972,22.30506672532738,22.55453059862897,22.443657766050485,22.637410605450743,0.5543641628928668,1.523128359894102,0.4236666980164543,22.65337,23.0,18.0,27.0,16.0,30.0,0.99999,0.98978,0.79942,0.3042,0.03607,0.00115,0.0,0.08836,0.69315,6,2,4
9,12798,Izak Rankine,adelaide,21.054737686563435,21.391171715407182,20.826853463600237,20.583047299095224,20.771723454082505,20.9839841284432,20.88964605094956,20.84406920635692,0.471690387468211,0.471690387468211,0.336434028843751,20.84631,21.0,17.0,24.0,16.0,26.0,0.99995,0.99024,0.68548,0.09359,0.00117,0.0,0.0,0.01152,0.50882,6,3,1
10,12516,Jordan Dawson,adelaide,20.293067040565223,21.763063507023457,20.578742703304457,20.676423031057315,20.52308063486048,20.350570439139027,20.42724163723745,20.4843767697853,0.3833559904920918,0.3833559904920918,1.469996466458234,20.47242,20.0,16.0,25.0,14.0,27.0,0.99991,0.97242,0.60881,0.10856,0.0042,1e-05,0.0,0.01845,0.4553,4,3,4
11,12950,Nasiah Wanganeen-Milera,st_kilda,20.23323534136154,21.723758451508218,20.33708998389023,19.651783025124946,19.884363951619584,20.146017493926053,20.02972703067873,20.05049795918447,0.5814523162365965,0.6853069587652882,1.490523110146679,20.05354,20.0,16.0,24.0,15.0,26.0,0.99995,0.97609,0.56681,0.06559,0.0008,0.0,0.0,0.0088,0.3987,5,3,2
12,12698,Zak Butters,port_adelaide,19.463696490700325,19.56236396467536,19.42124860541809,20.397516750768464,20.02398864674121,19.60376952971055,19.790533581724176,19.78204400466773,0.9338202600681385,0.976268145350378,0.0986674739750341,19.78543,20.0,15.0,24.0,13.0,27.0,0.99924,0.94008,0.52194,0.09108,0.0036,2e-05,0.0,0.01675,0.38204,4,4,2
