official_round,official_date,official_home,official_away,official_home_score,official_away_score,canonical_match_id,source_round,model_round,dashboard_round,identity_match,round_match,score_match,prediction_match,notes
0,2026-03-05,sydney,carlton,132,69,2026_R0_sydney_v_carlton_2026-03-05,1,0,0,True,True,True,True,source_round=1 corrected to official_round=0 (Opening Round offset)
0,2026-03-06,gold_coast,geelong,125,69,2026_R0_gold_coast_v_geelong_2026-03-06,1,0,0,True,True,True,True,source_round=1 corrected to official_round=0 (Opening Round offset)
0,2026-03-07,greater_western_sydney,hawthorn,122,95,2026_R0_greater_western_sydney_v_hawthorn_2026-03-07,1,0,0,True,True,True,True,source_round=1 corrected to official_round=0 (Opening Round offset)
0,2026-03-07,brisbane_lions,western_bulldogs,106,111,2026_R0_brisbane_lions_v_western_bulldogs_2026-03-07,1,0,0,True,True,True,True,source_round=1 corrected to official_round=0 (Opening Round offset)
0,2026-03-08,st_kilda,collingwood,66,78,2026_R0_st_kilda_v_collingwood_2026-03-08,1,0,0,True,True,True,True,source_round=1 corrected to official_round=0 (Opening Round offset)
1,2026-03-12,carlton,richmond,75,71,2026_R1_carlton_v_richmond_2026-03-12,2,1,1,True,True,True,True,source_round=2 corrected to official_round=1 (Opening Round offset)
1,2026-03-13,essendon,hawthorn,83,145,2026_R1_essendon_v_hawthorn_2026-03-13,2,1,1,True,True,True,True,source_round=2 corrected to official_round=1 (Opening Round offset)
1,2026-03-14,western_bulldogs,greater_western_sydney,134,53,2026_R1_western_bulldogs_v_greater_western_sydney_2026-03-14,2,1,1,True,True,True,True,source_round=2 corrected to official_round=1 (Opening Round offset)
1,2026-03-14,geelong,fremantle,110,100,2026_R1_geelong_v_fremantle_2026-03-14,2,1,1,True,True,True,True,source_round=2 corrected to official_round=1 (Opening Round offset)
1,2026-03-14,sydney,brisbane_lions,104,60,2026_R1_sydney_v_brisbane_lions_2026-03-14,2,1,1,True,True,True,True,source_round=2 corrected to official_round=1 (Opening Round offset)
1,2026-03-14,collingwood,adelaide,79,93,2026_R1_collingwood_v_adelaide_2026-03-14,2,1,1,True,True,True,True,source_round=2 corrected to official_round=1 (Opening Round offset)
1,2026-03-15,north_melbourne,port_adelaide,113,67,2026_R1_north_melbourne_v_port_adelaide_2026-03-15,2,1,1,True,True,True,True,source_round=2 corrected to official_round=1 (Opening Round offset)
1,2026-03-15,melbourne,st_kilda,120,107,2026_R1_melbourne_v_st_kilda_2026-03-15,2,1,1,True,True,True,True,source_round=2 corrected to official_round=1 (Opening Round offset)
1,2026-03-15,gold_coast,west_coast,131,72,2026_R1_gold_coast_v_west_coast_2026-03-15,2,1,1,True,True,True,True,source_round=2 corrected to official_round=1 (Opening Round offset)
2,2026-03-19,hawthorn,sydney,99,82,2026_R2_hawthorn_v_sydney_2026-03-19,3,2,2,True,True,True,True,source_round=3 corrected to official_round=2 (Opening Round offset)
2,2026-03-20,adelaide,western_bulldogs,88,94,2026_R2_adelaide_v_western_bulldogs_2026-03-20,3,2,2,True,True,True,True,source_round=3 corrected to official_round=2 (Opening Round offset)
2,2026-03-21,richmond,gold_coast,60,128,2026_R2_richmond_v_gold_coast_2026-03-21,3,2,2,True,True,True,True,source_round=3 corrected to official_round=2 (Opening Round offset)
2,2026-03-21,greater_western_sydney,st_kilda,74,78,2026_R2_greater_western_sydney_v_st_kilda_2026-03-21,3,2,2,True,True,True,True,source_round=3 corrected to official_round=2 (Opening Round offset)
2,2026-03-21,fremantle,melbourne,118,70,2026_R2_fremantle_v_melbourne_2026-03-21,3,2,2,True,True,True,True,source_round=3 corrected to official_round=2 (Opening Round offset)
2,2026-03-22,port_adelaide,essendon,133,70,2026_R2_port_adelaide_v_essendon_2026-03-22,3,2,2,True,True,True,True,source_round=3 corrected to official_round=2 (Opening Round offset)
2,2026-03-22,west_coast,north_melbourne,111,94,2026_R2_west_coast_v_north_melbourne_2026-03-22,3,2,2,True,True,True,True,source_round=3 corrected to official_round=2 (Opening Round offset)
3,2026-03-26,geelong,adelaide,68,60,2026_R3_geelong_v_adelaide_2026-03-26,4,3,3,True,True,True,True,source_round=4 corrected to official_round=3 (Opening Round offset)
3,2026-03-27,collingwood,greater_western_sydney,87,54,2026_R3_collingwood_v_greater_western_sydney_2026-03-27,4,3,3,True,True,True,True,source_round=4 corrected to official_round=3 (Opening Round offset)
3,2026-03-28,st_kilda,brisbane_lions,80,113,2026_R3_st_kilda_v_brisbane_lions_2026-03-28,4,3,3,True,True,True,True,source_round=4 corrected to official_round=3 (Opening Round offset)
3,2026-03-28,fremantle,richmond,103,43,2026_R3_fremantle_v_richmond_2026-03-28,4,3,3,True,True,True,True,source_round=4 corrected to official_round=3 (Opening Round offset)
3,2026-03-28,essendon,north_melbourne,69,81,2026_R3_essendon_v_north_melbourne_2026-03-28,4,3,3,True,True,True,True,source_round=4 corrected to official_round=3 (Opening Round offset)
3,2026-03-29,port_adelaide,west_coast,90,92,2026_R3_port_adelaide_v_west_coast_2026-03-29,4,3,3,True,True,True,True,source_round=4 corrected to official_round=3 (Opening Round offset)
3,2026-03-29,carlton,melbourne,77,100,2026_R3_carlton_v_melbourne_2026-03-29,4,3,3,True,True,True,True,source_round=4 corrected to official_round=3 (Opening Round offset)
4,2026-04-02,brisbane_lions,collingwood,119,65,2026_R4_brisbane_lions_v_collingwood_2026-04-02,5,4,4,True,True,True,True,source_round=5 corrected to official_round=4 (Opening Round offset)
4,2026-04-03,north_melbourne,carlton,96,86,2026_R4_north_melbourne_v_carlton_2026-04-03,5,4,4,True,True,True,True,source_round=5 corrected to official_round=4 (Opening Round offset)
4,2026-04-03,adelaide,fremantle,76,78,2026_R4_adelaide_v_fremantle_2026-04-03,5,4,4,True,True,True,True,source_round=5 corrected to official_round=4 (Opening Round offset)
4,2026-04-04,richmond,port_adelaide,48,90,2026_R4_richmond_v_port_adelaide_2026-04-04,5,4,4,True,True,True,True,source_round=5 corrected to official_round=4 (Opening Round offset)
4,2026-04-04,west_coast,sydney,35,163,2026_R4_west_coast_v_sydney_2026-04-04,5,4,4,True,True,True,True,source_round=5 corrected to official_round=4 (Opening Round offset)
4,2026-04-05,melbourne,gold_coast,109,89,2026_R4_melbourne_v_gold_coast_2026-04-05,5,4,4,True,True,True,True,source_round=5 corrected to official_round=4 (Opening Round offset)
4,2026-04-05,western_bulldogs,essendon,99,65,2026_R4_western_bulldogs_v_essendon_2026-04-05,5,4,4,True,True,True,True,source_round=5 corrected to official_round=4 (Opening Round offset)
4,2026-04-06,hawthorn,geelong,92,91,2026_R4_hawthorn_v_geelong_2026-04-06,5,4,4,True,True,True,True,source_round=5 corrected to official_round=4 (Opening Round offset)
5,2026-04-09,adelaide,carlton,114,86,2026_R5_adelaide_v_carlton_2026-04-09,6,5,5,True,True,True,True,source_round=6 corrected to official_round=5 (Opening Round offset)
5,2026-04-10,collingwood,fremantle,39,45,2026_R5_collingwood_v_fremantle_2026-04-10,6,5,5,True,True,True,True,source_round=6 corrected to official_round=5 (Opening Round offset)
5,2026-04-11,north_melbourne,brisbane_lions,66,92,2026_R5_north_melbourne_v_brisbane_lions_2026-04-11,6,5,5,True,True,True,True,source_round=6 corrected to official_round=5 (Opening Round offset)
5,2026-04-11,essendon,melbourne,113,68,2026_R5_essendon_v_melbourne_2026-04-11,6,5,5,True,True,True,True,source_round=6 corrected to official_round=5 (Opening Round offset)
5,2026-04-11,sydney,gold_coast,100,68,2026_R5_sydney_v_gold_coast_2026-04-11,6,5,5,True,True,True,True,source_round=6 corrected to official_round=5 (Opening Round offset)
5,2026-04-11,hawthorn,western_bulldogs,104,64,2026_R5_hawthorn_v_western_bulldogs_2026-04-11,6,5,5,True,True,True,True,source_round=6 corrected to official_round=5 (Opening Round offset)
5,2026-04-12,geelong,west_coast,122,76,2026_R5_geelong_v_west_coast_2026-04-12,6,5,5,True,True,True,True,source_round=6 corrected to official_round=5 (Opening Round offset)
5,2026-04-12,greater_western_sydney,richmond,131,75,2026_R5_greater_western_sydney_v_richmond_2026-04-12,6,5,5,True,True,True,True,source_round=6 corrected to official_round=5 (Opening Round offset)
5,2026-04-12,port_adelaide,st_kilda,67,81,2026_R5_port_adelaide_v_st_kilda_2026-04-12,6,5,5,True,True,True,True,source_round=6 corrected to official_round=5 (Opening Round offset)
6,2026-04-16,carlton,collingwood,83,88,2026_R6_carlton_v_collingwood_2026-04-16,7,6,6,True,True,True,True,source_round=7 corrected to official_round=6 (Opening Round offset)
6,2026-04-17,geelong,western_bulldogs,131,56,2026_R6_geelong_v_western_bulldogs_2026-04-17,7,6,6,True,True,True,True,source_round=7 corrected to official_round=6 (Opening Round offset)
6,2026-04-17,sydney,greater_western_sydney,107,66,2026_R6_sydney_v_greater_western_sydney_2026-04-17,7,6,6,True,True,True,True,source_round=7 corrected to official_round=6 (Opening Round offset)
6,2026-04-18,gold_coast,essendon,119,110,2026_R6_gold_coast_v_essendon_2026-04-18,7,6,6,True,True,True,True,source_round=7 corrected to official_round=6 (Opening Round offset)
6,2026-04-18,hawthorn,port_adelaide,89,86,2026_R6_hawthorn_v_port_adelaide_2026-04-18,7,6,6,True,True,True,True,source_round=7 corrected to official_round=6 (Opening Round offset)
6,2026-04-18,adelaide,st_kilda,103,102,2026_R6_adelaide_v_st_kilda_2026-04-18,7,6,6,True,True,True,True,source_round=7 corrected to official_round=6 (Opening Round offset)
6,2026-04-19,north_melbourne,richmond,130,55,2026_R6_north_melbourne_v_richmond_2026-04-19,7,6,6,True,True,True,True,source_round=7 corrected to official_round=6 (Opening Round offset)
6,2026-04-19,melbourne,brisbane_lions,104,102,2026_R6_melbourne_v_brisbane_lions_2026-04-19,7,6,6,True,True,True,True,source_round=7 corrected to official_round=6 (Opening Round offset)
6,2026-04-19,west_coast,fremantle,41,97,2026_R6_west_coast_v_fremantle_2026-04-19,7,6,6,True,True,True,True,source_round=7 corrected to official_round=6 (Opening Round offset)
