rank,player_id,player_name,team_id,objective_ev,objective_3_games,objective_2_games,objective_1_games,n_matches
1,12943,Nick Daicos,collingwood,38.19615146166502,13,1,3,22
2,12269,Marcus Bontempelli,western_bulldogs,31.997548261764692,8,5,1,22
3,12692,Bailey Smith,geelong,30.845192774581324,9,2,2,22
4,12261,Patrick Cripps,carlton,27.652153898305766,6,7,1,23
5,12326,Isaac Heeney,sydney,27.22098862075783,9,2,1,20
6,12055,Lachie Neale,brisbane_lions,25.762455713920996,7,4,2,23
7,12915,Jai Newcombe,hawthorn,24.231716833683517,8,2,1,23
8,11966,Max Gawn,melbourne,22.91477201087045,4,3,8,23
9,12779,Luke Jackson,fremantle,22.489813737859787,5,2,2,23
10,12956,Jason Horne-Francis,port_adelaide,21.64342658532253,5,3,3,21
11,12798,Izak Rankine,adelaide,21.29061262483021,7,1,1,20
12,12410,Clayton Oliver,greater_western_sydney,21.257825517418592,4,3,6,23
13,12605,Ed Richards,western_bulldogs,21.225733150790873,4,2,5,22
14,13034,Harry Sheezel,north_melbourne,20.523219832613496,5,3,2,22
15,12698,Zak Butters,port_adelaide,20.247088611210888,5,4,1,17
16,12590,Luke Davies-Uniacke,north_melbourne,19.96131400841258,4,5,2,23
17,12786,Caleb Serong,fremantle,19.603290116137845,4,5,2,20
18,13040,Will Ashcroft,brisbane_lions,19.15892635873691,4,3,3,23
19,12950,Nasiah Wanganeen-Milera,st_kilda,18.99088404752565,4,3,3,17
20,13193,Max Hall,st_kilda,18.008327331488996,5,2,2,23
21,12516,Jordan Dawson,adelaide,17.91752390024382,2,4,4,20
22,13111,Harley Reid,west_coast,17.71908265163275,3,5,3,23
23,12797,Chad Warner,sydney,16.23309972296734,3,2,3,22
24,12430,Christian Petracca,gold_coast,16.155514401542376,4,3,0,20
25,12771,Kysaiah Pickett,melbourne,15.619242177314916,2,5,1,23
26,12767,Noah Anderson,gold_coast,15.397893640696966,3,4,5,22
27,12693,Tom Sparrow,melbourne,15.303588938025811,3,3,2,23
28,12788,Tristan Xerri,north_melbourne,15.180564040604217,3,3,3,19
29,12768,Matt Rowell,gold_coast,14.403475213332376,2,2,3,18
30,12881,Max Holmes,geelong,13.173996950424202,1,4,2,18
31,13125,Hugo Garcia,st_kilda,12.839147155169764,2,3,1,23
32,12504,Tim Taranto,richmond,12.62380381540164,1,2,5,21
33,12535,Shai Bolton,fremantle,12.590111937697127,3,0,1,22
34,12564,Rowan Marshall,st_kilda,12.006391393808004,3,1,2,21
35,12217,Brodie Grundy,sydney,11.439803584137833,1,4,2,21
36,12610,Zac Bailey,brisbane_lions,11.166644637702328,2,0,6,22
37,12849,Sam Berry,adelaide,11.022624744128729,1,4,1,22
38,12025,Toby Greene,greater_western_sydney,10.329658696409211,2,2,2,21
39,12589,Andrew Brayshaw,fremantle,10.202636654965325,3,2,0,23
40,12684,Sam Walsh,carlton,9.936167169611554,1,2,2,23
41,12969,Finn Callaghan,greater_western_sydney,9.471971059944035,2,0,3,19
42,12862,Errol Gulden,sydney,9.464203682500195,1,3,2,11
43,12411,George Hewett,carlton,9.153390811224527,2,1,3,19
44,12368,Jack Steele,melbourne,8.628742181466157,1,3,0,23
45,12241,Zach Merrett,essendon,8.368328096057647,0,4,0,23
46,12925,Sam Durham,essendon,8.278290755783027,1,3,0,20
47,13104,Shaun Mannagh,geelong,7.951646206448796,1,2,2,23
48,12660,Darcy Cameron,collingwood,7.887138001508539,1,2,2,22
49,12318,Jordan de Goey,collingwood,7.707582561753078,0,5,1,21
50,12331,Touk Miller,gold_coast,7.511514695785107,1,2,0,23
51,12890,Jordon Sweet,port_adelaide,7.339352379834799,2,1,2,22
