Player,Team,Production EV,Objective EV,Difference,Production Rank,Objective Rank,Rank Difference
Nick Daicos,collingwood,47.12015010114072,38.67739890966238,-8.442751191478344,1.0,1,0.0
Marcus Bontempelli,western_bulldogs,25.816585516313165,31.991781071201434,6.175195554888269,3.0,2,1.0
Bailey Smith,geelong,35.37331884523271,30.903375777174592,-4.469943068058118,2.0,3,-1.0
Isaac Heeney,sydney,23.395768591141263,27.537118392264727,4.141349801123464,7.0,4,3.0
Patrick Cripps,carlton,23.91622694318936,27.534542216688813,3.6183152734994515,5.0,5,0.0
Lachie Neale,brisbane_lions,23.45663122741845,26.04633177453362,2.5897005471151715,6.0,6,0.0
Jai Newcombe,hawthorn,18.548093291501047,24.042781305812497,5.49468801431145,15.0,7,8.0
Max Gawn,melbourne,19.01653471955606,22.932131203808506,3.915596484252447,13.0,8,5.0
Luke Jackson,fremantle,12.705943906955696,22.58964273292247,9.883698825966775,27.0,9,18.0
Clayton Oliver,greater_western_sydney,13.982747072444973,21.381515149855396,7.398768077410423,21.0,10,11.0
Izak Rankine,adelaide,20.84391247062538,21.261864465417887,0.41795199479250655,9.0,11,-2.0
Ed Richards,western_bulldogs,18.045732035249657,21.182235529267807,3.13650349401815,16.0,12,4.0
Luke Davies-Uniacke,north_melbourne,12.845630419671991,20.554888434038073,7.709258014366082,24.0,13,11.0
Zak Butters,port_adelaide,19.780257741562025,20.52419612831691,0.7439383867548841,12.0,14,-2.0
Harry Sheezel,north_melbourne,22.634826095460514,20.110167873214294,-2.52465822224622,8.0,15,-7.0
Will Ashcroft,brisbane_lions,24.7805123150738,19.78976590914119,-4.990746405932608,4.0,16,-12.0
Caleb Serong,fremantle,14.505552234910663,19.696882239786763,5.1913300048761,18.0,17,1.0
Jason Horne-Francis,port_adelaide,16.961239635660696,19.024726868399473,2.063487232738776,17.0,18,-1.0
Max Hall,st_kilda,10.322043092814903,18.010620099445767,7.688577006630863,36.0,19,17.0
Chad Warner,sydney,12.707368083651604,17.85981482257906,5.152446738927457,26.0,20,6.0
Jordan Dawson,adelaide,20.48405454386381,17.841332739614746,-2.6427218042490637,10.0,21,-11.0
Harley Reid,west_coast,11.534634794982535,17.6740616100404,6.139426815057865,30.0,22,8.0
Nasiah Wanganeen-Milera,st_kilda,20.04957996233928,17.236941373814098,-2.812638588525182,11.0,23,-12.0
Christian Petracca,gold_coast,11.407867569570945,16.144907604035826,4.737040034464881,31.0,24,7.0
Kysaiah Pickett,melbourne,18.93946379833953,15.847297253786207,-3.092166544553324,14.0,25,-11.0
Tom Sparrow,melbourne,9.741481234048862,15.402427040819633,5.660945806770771,39.0,26,13.0
Noah Anderson,gold_coast,12.278161183538751,15.32064527612067,3.042484092581919,28.0,27,1.0
Tristan Xerri,north_melbourne,5.400411651102979,15.18870249857004,9.78829084746706,71.0,28,43.0
Matt Rowell,gold_coast,8.660307872094174,14.306054963386318,5.645747091292144,45.0,29,16.0
Hugo Garcia,st_kilda,7.939914186730384,13.395089638717641,5.455175451987257,48.0,30,18.0
Max Holmes,geelong,14.232218752102543,13.237761216828755,-0.9944575352737886,20.0,31,-11.0
Tim Taranto,richmond,7.634678162566176,12.814761461778165,5.180083299211989,50.0,32,18.0
Rowan Marshall,st_kilda,6.068027878973185,12.623428013653959,6.555400134680774,61.0,33,28.0
Shai Bolton,fremantle,13.682414069418996,12.61807988731196,-1.0643341821070358,22.0,34,-12.0
Zac Bailey,brisbane_lions,11.253981395375265,11.270937997076805,0.016956601701540563,33.0,35,-2.0
Brodie Grundy,sydney,13.29009899729213,11.201719465345516,-2.0883795319466145,23.0,36,-13.0
Sam Berry,adelaide,6.653003102751347,11.01788104689478,4.3648779441434336,54.0,37,17.0
Toby Greene,greater_western_sydney,9.951610268952388,10.271158349359045,0.3195480804066566,38.0,38,0.0
Andrew Brayshaw,fremantle,11.232259575591398,10.155813081084997,-1.076446494506401,34.0,39,-5.0
Sam Walsh,carlton,11.88264946130174,9.788561586097842,-2.0940878752038987,29.0,40,-11.0
Finn Callaghan,greater_western_sydney,9.583308731615295,9.479645260691514,-0.10366347092378092,40.0,41,-1.0
Errol Gulden,sydney,14.394967702004797,9.445238560942462,-4.949729141062335,19.0,42,-23.0
George Hewett,carlton,10.164025181300447,9.1543417743411,-1.009683406959347,37.0,43,-6.0
Jack Steele,melbourne,5.6498584908884855,8.639856464179244,2.989997973290759,69.0,44,25.0
Zach Merrett,essendon,9.225945725912704,8.427354395160446,-0.7985913307522576,43.0,45,-2.0
Jordan de Goey,collingwood,4.57600737027686,8.078544984308962,3.502537614032102,78.0,46,32.0
Sam Durham,essendon,2.4297129732227774,8.015541923594325,5.585828950371548,116.0,47,69.0
Shaun Mannagh,geelong,9.450321186358194,7.992682679444423,-1.4576385069137707,41.0,48,-7.0
Darcy Cameron,collingwood,5.296368052262842,7.916561752163656,2.620193699900814,73.0,49,24.0
Jordon Sweet,port_adelaide,2.27712175255765,7.563735740958569,5.2866139884009185,123.0,50,73.0
Touk Miller,gold_coast,8.463389205562827,7.546391832015423,-0.916997373547404,46.0,51,-5.0
Josh Ward,hawthorn,3.916364684678816,6.606467515107939,2.690102830429123,86.0,52,34.0
Connor Macdonald,hawthorn,6.578089824572835,6.428657094611089,-0.14943272996174617,56.0,53,3.0
Jagga Smith,carlton,5.377139826373654,6.3564203692742085,0.9792805429005549,72.0,54,18.0
Tim Kelly,west_coast,2.8787756796389834,6.312494557531774,3.4337188778927903,102.0,55,47.0
Jase Burgoyne,port_adelaide,3.5279163150869963,6.138989805902835,2.6110734908158384,90.0,56,34.0
Darcy Parish,essendon,3.2520861861454007,6.11268446903832,2.8605982828929193,94.0,57,37.0
Josh Rachele,adelaide,6.092127523742349,5.830568022169628,-0.26155950157272034,60.0,58,2.0
Bailey Williams,west_coast,2.2444069409675635,5.577032601034906,3.3326256600673427,124.0,59,65.0
Josh Treacy,fremantle,8.99246997263832,5.4700996194622045,-3.5223703531761155,44.0,60,-16.0
Matthew Kennedy,western_bulldogs,5.978983154156965,5.213226822072692,-0.7657563320842726,63.0,61,2.0
Justin McInerney,sydney,5.665033737434507,5.022454216167893,-0.6425795212666143,68.0,62,6.0
Will Setterfield,essendon,1.1954314237564985,5.0107812171637995,3.815349793407301,174.0,63,111.0
Will Day,hawthorn,3.2615181577183647,4.802840196662826,1.5413220389444615,93.0,64,29.0
Riley Thilthorpe,adelaide,4.357213004403344,4.559742263014145,0.2025292586108005,79.0,65,14.0
Harry McKay,carlton,2.477538950152071,4.47113475690953,1.993595806757459,114.0,66,48.0
Jack Ross,richmond,,4.445869669917416,,,67,
James Peatling,adelaide,3.077383429342284,4.4320547568373785,1.3546713274950943,99.0,68,31.0
Noah Balta,richmond,2.830762032954881,4.327089355265722,1.4963273223108406,106.0,69,37.0
Scott Pendlebury,collingwood,4.299605843074206,4.2695672409415835,-0.030038602132622216,80.0,70,10.0
Jacob van Rooyen,melbourne,11.405372887593506,4.2321994095613915,-7.173173478032115,32.0,71,-39.0
Nick Blakey,sydney,6.901986542795094,4.133170538152434,-2.7688160046426598,52.0,72,-20.0
Peter Wright,essendon,0.8734509252755674,4.1068176383798045,3.233366713104237,194.0,73,121.0
Joel Freijah,western_bulldogs,2.5076788593743355,4.046808216346948,1.5391293569726123,112.0,74,38.0
Daniel McStay,collingwood,1.8483740746090715,3.9983252021661375,2.149951127557066,138.0,75,63.0
Joe Richards,port_adelaide,1.789999989041206,3.9220070299599183,2.1320070409187126,139.0,76,63.0
Ollie Wines,port_adelaide,1.5752596978793472,3.836191898804382,2.2609322009250348,154.0,77,77.0
Oliver Dempsey,geelong,6.573872133525281,3.7468065652391522,-2.827065568286129,57.0,78,-21.0
Jake Stringer,greater_western_sydney,6.6445487997330215,3.581313815827404,-3.0632349839056174,55.0,79,-24.0
Charlie Curnow,sydney,10.427444671896955,3.5050998379762497,-6.922344833920706,35.0,80,-45.0
Brent Daniels,greater_western_sydney,0.6074381825960717,3.4932267555776466,2.885788572981575,229.0,81,148.0
Logan Morris,brisbane_lions,7.760133270615386,3.4210447769755095,-4.339088493639876,49.0,82,-33.0
Patrick Dangerfield,geelong,2.757001682786188,3.321193536203684,0.5641918534174963,108.0,83,25.0
Jarman Impey,hawthorn,5.917418250273903,3.3055558950793773,-2.6118623551945253,65.0,84,-19.0
Patrick Voss,fremantle,6.114884119833374,3.240187893010095,-2.8746962268232794,59.0,85,-26.0
Murphy Reid,fremantle,6.424393207793295,3.2327364980779296,-3.191656709715365,58.0,86,-28.0
Hugh McCluggage,brisbane_lions,1.5084926591758736,3.223796455823387,1.7153037966475135,158.0,87,71.0
Jy Simpkin,north_melbourne,1.935717208877207,3.174868139513244,1.239150930636037,135.0,88,47.0
James Rowbottom,sydney,0.9845577539670728,3.141698884977032,2.157141131009959,187.0,89,98.0
Tom Atkins,geelong,1.763356143635349,3.1247618382191202,1.3614056945837711,142.0,90,52.0
Wayne Milera,adelaide,4.598133486288159,3.0845245827935357,-1.5136089034946232,77.0,91,-14.0
Jack Ginnivan,hawthorn,3.957153993167319,3.005894801329993,-0.9512591918373259,85.0,92,-7.0
Marc Pittonet,carlton,1.5845795839717458,2.928778505676422,1.3441989217046761,153.0,93,60.0
Harry Petty,melbourne,1.7021214948864651,2.917116108842678,1.2149946139562129,146.0,94,52.0
Jack Sinclair,st_kilda,3.1045517115636523,2.8149192192651027,-0.2896324922985496,98.0,95,3.0
Cam Mackenzie,hawthorn,1.649187133336161,2.8046790516868003,1.1554919183506394,149.0,96,53.0
Nick Watson,hawthorn,6.801525462081028,2.697200219670077,-4.104325242410951,53.0,97,-44.0
Jack Macrae,st_kilda,1.209614039152945,2.6869166312603423,1.4773025921073972,173.0,98,75.0
Mitch Lewis,hawthorn,3.1082069918695643,2.6712347547686086,-0.4369722371009557,96.0,99,-3.0
Jye Amiss,fremantle,9.389614472927525,2.6558951808125513,-6.733719292114973,42.0,100,-58.0
Tom Liberatore,western_bulldogs,2.241730540455883,2.6244323621235144,0.3827018216676312,125.0,101,24.0
Matthew Johnson,fremantle,1.7699003274134573,2.365275627375212,0.5953752999617545,141.0,102,39.0
Joel Fitzgerald,melbourne,,2.2538687674241453,,,103,
Beau McCreery,collingwood,0.5208529972848959,2.2185765679851612,1.6977235707002654,236.0,104,132.0
James Sicily,hawthorn,3.1077112885107825,2.210794730103785,-0.8969165584069976,97.0,105,-8.0
Elliot Yeo,west_coast,0.7259522776668033,2.1924483211122174,1.4664960434454142,209.0,106,103.0
Ryley Sanders,western_bulldogs,2.4894195311045606,2.1529760565654517,-0.33644347453910894,113.0,107,6.0
Lloyd Meek,hawthorn,1.0277441187807863,2.1441136097883735,1.1163694910075872,185.0,108,77.0
Lachie Ash,greater_western_sydney,8.130964419381165,2.1323471465889137,-5.998617272792251,47.0,109,-62.0
Kai Lohmann,brisbane_lions,5.953113016917809,2.1254182291583814,-3.827694787759427,64.0,110,-46.0
Dylan Moore,hawthorn,2.6327538025938555,2.118186526369612,-0.5145672762242435,110.0,111,-1.0
Mabior Chol,hawthorn,1.4329048986009048,2.1065480002718155,0.6736431016709108,160.0,112,48.0
Josh Dunkley,brisbane_lions,1.7458606360967093,2.036168496640497,0.2903078605437879,144.0,113,31.0
Milan Murdock,west_coast,0.0683002358358882,2.0345314218412027,1.9662311860053145,404.0,114,290.0
Mitch Georgiades,port_adelaide,3.957787014628968,2.0033877489197676,-1.9543992657092004,84.0,115,-31.0
Conor Nash,hawthorn,0.6710081527202768,1.9757810992386178,1.3047729465183409,219.0,116,103.0
Shannon Neale,geelong,3.846430449800773,1.9462774460124852,-1.9001530037882877,87.0,117,-30.0
Jack Crisp,collingwood,1.653583464247575,1.904729979386896,0.25114651513932085,148.0,118,30.0
Jordan Clark,fremantle,2.831977318605316,1.8965013973222176,-0.9354759212830985,105.0,119,-14.0
Willem Drew,port_adelaide,0.6138513869485519,1.8919592838262478,1.278107896877696,226.0,120,106.0
Hayden Young,fremantle,1.3448180161532433,1.8601798174355786,0.5153618012823353,163.0,121,42.0
Josh Daicos,collingwood,6.022016738321149,1.8478065730441473,-4.174210165277001,62.0,122,-60.0
