player_id,player_name,team_id,sim_mean_votes,sim_median_votes,sim_mode_votes,sim_p10,sim_p90,sim_p2_5,sim_p97_5,prob_ge_10,prob_ge_15,prob_ge_20,prob_ge_25,prob_ge_30,prob_ge_35,mean_rank,median_rank,prob_rank_1,prob_top3_rank,prob_top10_rank
12943,Nick Daicos,collingwood,47.13088,47.0,47,43.0,51.0,41.0,53.0,1.0,1.0,1.0,1.0,1.0,0.99991,1.00929,1.0,0.99074,0.99999,1.0
12692,Bailey Smith,geelong,35.37832,35.0,35,31.0,40.0,28.0,43.0,1.0,1.0,1.0,0.99898,0.94647,0.59074,2.08759,2.0,0.00924,0.98329,0.99993
12269,Marcus Bontempelli,western_bulldogs,25.81012,26.0,26,21.0,30.0,19.0,33.0,1.0,0.9996,0.96727,0.64529,0.14382,0.00642,5.49521,5.0,0.0,0.2958,0.92806
13040,Will Ashcroft,brisbane_lions,24.79373,25.0,24,21.0,29.0,19.0,31.0,1.0,0.99941,0.95171,0.53086,0.0739,0.00196,6.2749,5.0,1e-05,0.18521,0.89514
12261,Patrick Cripps,carlton,23.89047,24.0,24,19.0,29.0,17.0,31.0,0.99998,0.99501,0.88011,0.42919,0.06977,0.00301,7.44408,6.0,1e-05,0.14605,0.79966
12055,Lachie Neale,brisbane_lions,23.46486,23.0,24,19.0,28.0,17.0,30.0,1.0,0.99771,0.88199,0.37178,0.03891,0.00086,7.6655,7.0,0.0,0.11187,0.79066
12326,Isaac Heeney,sydney,23.32469,23.0,23,19.0,28.0,17.0,30.0,1.0,0.9974,0.87476,0.35656,0.03678,0.0007,7.83054,7.0,0.0,0.09885,0.77906
13034,Harry Sheezel,north_melbourne,22.65458,23.0,22,18.0,27.0,16.0,30.0,1.0,0.9896,0.79934,0.3036,0.03573,0.00124,8.77614,8.0,0.0,0.08569,0.69707
12798,Izak Rankine,adelaide,20.83596,21.0,21,17.0,24.0,16.0,26.0,0.99998,0.99073,0.68455,0.09147,0.00118,0.0,10.81318,10.0,0.0,0.01115,0.5094
12516,Jordan Dawson,adelaide,20.47901,20.0,20,16.0,25.0,14.0,27.0,0.99983,0.97201,0.60872,0.11031,0.00417,3e-05,11.54021,11.0,0.0,0.01989,0.4579
12950,Nasiah Wanganeen-Milera,st_kilda,20.04237,20.0,20,16.0,24.0,15.0,26.0,0.99995,0.97503,0.56671,0.06587,0.0009,0.0,12.0611,12.0,0.0,0.00874,0.39752
12698,Zak Butters,port_adelaide,19.76997,20.0,19,15.0,24.0,13.0,27.0,0.99936,0.9385,0.52137,0.09061,0.00349,2e-05,12.77592,12.0,0.0,0.01594,0.38276
11966,Max Gawn,melbourne,19.01265,19.0,19,14.0,24.0,12.0,27.0,0.99411,0.87441,0.44388,0.08434,0.00517,7e-05,14.36516,13.0,0.0,0.01707,0.3242
12771,Kysaiah Pickett,melbourne,18.93909,19.0,19,16.0,22.0,14.0,24.0,0.99996,0.96797,0.39296,0.02016,0.00023,0.0,13.72534,14.0,0.0,0.00258,0.22836
12915,Jai Newcombe,hawthorn,18.5172,18.0,18,14.0,23.0,12.0,26.0,0.99595,0.86868,0.38409,0.05348,0.00241,5e-05,15.09993,14.0,0.0,0.0091,0.25655
12605,Ed Richards,western_bulldogs,18.04052,18.0,18,14.0,22.0,12.0,25.0,0.99802,0.86292,0.31963,0.0289,0.0006,0.0,15.62736,15.0,0.0,0.00527,0.20327
12956,Jason Horne-Francis,port_adelaide,16.96099,17.0,17,13.0,21.0,11.0,23.0,0.99231,0.77618,0.21288,0.0116,0.00014,0.0,17.84293,17.0,0.0,0.00142,0.12431
12786,Caleb Serong,fremantle,14.51184,14.0,14,10.0,19.0,8.0,22.0,0.9282,0.48809,0.08366,0.00397,5e-05,0.0,24.53694,22.0,0.0,0.0006,0.04433
12862,Errol Gulden,sydney,14.40082,14.0,14,12.0,17.0,11.0,18.0,0.9946,0.47966,0.00383,0.0,0.0,0.0,23.16533,22.0,0.0,0.0,0.00151
12881,Max Holmes,geelong,14.22131,14.0,14,10.0,18.0,9.0,20.0,0.94592,0.45459,0.04329,0.0007,0.0,0.0,24.74576,23.0,0.0,6e-05,0.01933
12410,Clayton Oliver,greater_western_sydney,13.97767,14.0,13,9.0,19.0,7.0,22.0,0.88141,0.43223,0.08068,0.00534,0.00018,1e-05,26.48672,24.0,0.0,0.00075,0.04507
12535,Shai Bolton,fremantle,13.67773,14.0,13,10.0,18.0,8.0,20.0,0.90542,0.38463,0.04444,0.00139,2e-05,0.0,26.7873,25.0,0.0,0.00012,0.02157
12217,Brodie Grundy,sydney,13.24857,13.0,13,9.0,17.0,7.0,20.0,0.89235,0.33069,0.02554,0.00044,0.0,0.0,27.82266,26.0,0.0,4e-05,0.01233
12590,Luke Davies-Uniacke,north_melbourne,12.85229,13.0,13,9.0,17.0,7.0,19.0,0.8453,0.30219,0.02498,0.00041,0.0,0.0,29.449,27.0,0.0,6e-05,0.01229
11845,Jack Gunston,hawthorn,12.72289,13.0,13,9.0,17.0,7.0,19.0,0.85538,0.277,0.01398,3e-05,0.0,0.0,29.70884,27.0,0.0,0.0,0.00554
12779,Luke Jackson,fremantle,12.71792,13.0,12,8.0,17.0,6.0,20.0,0.80706,0.3015,0.03915,0.00169,3e-05,0.0,30.83427,28.0,0.0,0.00025,0.01996
12797,Chad Warner,sydney,12.71517,13.0,12,9.0,17.0,7.0,19.0,0.86475,0.26627,0.01374,0.00012,0.0,0.0,29.49109,28.0,0.0,0.0,0.00632
12767,Noah Anderson,gold_coast,12.27005,12.0,12,8.0,17.0,6.0,19.0,0.78518,0.2539,0.02177,0.00038,1e-05,0.0,32.04036,29.0,0.0,0.0001,0.01029
12684,Sam Walsh,carlton,11.87979,12.0,12,7.0,17.0,5.0,19.0,0.73547,0.22904,0.02305,0.00078,0.0,0.0,34.1292,31.0,0.0,9e-05,0.01188
13111,Harley Reid,west_coast,11.5371,11.0,11,8.0,15.0,6.0,18.0,0.74434,0.15937,0.00619,3e-05,0.0,0.0,34.2315,32.0,0.0,1e-05,0.00283
13048,Jacob van Rooyen,melbourne,11.41196,11.0,12,10.0,13.0,9.0,15.0,0.91634,0.03013,1e-05,0.0,0.0,0.0,32.6863,32.0,0.0,0.0,0.0
