player_name,team_id,expected_votes,sim_median,range_80pct,range_95pct,n_predicted_3s,n_games_p3_gt_0.70,n_games_p_any_gt_0.80,n_matches
Nick Daicos,collingwood,47.23048644657416,47.0,"[43, 51]","[41, 53]",17,10,16,22
Bailey Smith,geelong,35.49251355832686,35.0,"[31, 40]","[28, 43]",7,5,12,22
Marcus Bontempelli,western_bulldogs,26.678840186627813,26.0,"[22, 31]","[20, 33]",6,2,9,22
Harry Sheezel,north_melbourne,25.928494074092484,25.0,"[20, 30]","[18, 33]",7,3,7,22
Zak Butters,port_adelaide,25.42700626638576,23.0,"[19, 28]","[17, 30]",6,2,6,17
Patrick Cripps,carlton,25.18519518792053,24.0,"[20, 29]","[17, 32]",6,3,7,23
Will Ashcroft,brisbane_lions,24.90736737079576,25.0,"[21, 29]","[19, 31]",5,4,8,23
Isaac Heeney,sydney,23.99229585125221,24.0,"[19, 28]","[17, 30]",6,2,6,20
Lachie Neale,brisbane_lions,23.63522263126301,23.0,"[19, 28]","[17, 30]",4,2,7,23
Izak Rankine,adelaide,20.9037355643879,21.0,"[17, 24]","[16, 26]",6,2,7,20
