season,round,round_raw_source,match_id,date,venue,player_id,player_name,team_id,opponent_id,home_away,team_score,opponent_score,margin,win_loss_draw,absolute_margin,kicks,marks,handballs,disposals,goals,behinds,hitouts,tackles,rebound_50s,inside_50s,clearances,clangers,frees_for,frees_against,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assists,time_on_ground_pct,substitute_status,jumper_number,brownlow_votes,date_str,surname_key,date_adv,adv_contested_possessions,adv_uncontested_possessions,effective_disposals,disposal_efficiency_pct,adv_contested_marks,adv_marks_inside_50,adv_one_percenters,adv_bounces,adv_time_on_ground_pct,centre_clearances,stoppage_clearances,score_involvements,metres_gained,turnovers,intercepts,tackles_inside_50,adv_goal_assists,afl_fantasy_points,supercoach_points
2010,1,1,2010_R1_sydney_v_st_kilda_2010-03-27,2010-03-27,Stadium Australia,1090,Craig Bolton,sydney,st_kilda,Home,88,96,-8,loss,8,8,2,10,18,0,0,0,0.0,3.0,2.0,1.0,2.0,2,1,6.0,11.0,0.0,0.0,2.0,1.0,0.0,84.0,,6,0,2010-03-27,bolton,2010-03-27,13.0,10.0,12.0,52.2,0.0,0.0,2.0,0.0,81.0,,,,,,,,0.0,94.0,106.0
2010,1,1,2010_R1_sydney_v_st_kilda_2010-03-27,2010-03-27,Stadium Australia,1090,Craig Bolton,sydney,st_kilda,Home,88,96,-8,loss,8,8,2,10,18,0,0,0,0.0,3.0,2.0,1.0,2.0,2,1,6.0,11.0,0.0,0.0,2.0,1.0,0.0,84.0,,6,0,2010-03-27,bolton,2010-03-27,6.0,11.0,11.0,61.1,0.0,0.0,2.0,1.0,84.0,,,,,,,,0.0,49.0,52.0
2010,1,1,2010_R1_sydney_v_st_kilda_2010-03-27,2010-03-27,Stadium Australia,1013,Jude Bolton,sydney,st_kilda,Home,88,96,-8,loss,8,7,2,16,23,0,0,0,8.0,2.0,3.0,5.0,2.0,3,0,13.0,10.0,0.0,0.0,2.0,0.0,0.0,81.0,,24,0,2010-03-27,bolton,2010-03-27,13.0,10.0,12.0,52.2,0.0,0.0,2.0,0.0,81.0,,,,,,,,0.0,94.0,106.0
2010,1,1,2010_R1_sydney_v_st_kilda_2010-03-27,2010-03-27,Stadium Australia,1013,Jude Bolton,sydney,st_kilda,Home,88,96,-8,loss,8,7,2,16,23,0,0,0,8.0,2.0,3.0,5.0,2.0,3,0,13.0,10.0,0.0,0.0,2.0,0.0,0.0,81.0,,24,0,2010-03-27,bolton,2010-03-27,6.0,11.0,11.0,61.1,0.0,0.0,2.0,1.0,84.0,,,,,,,,0.0,49.0,52.0
2010,1,1,2010_R1_port_adelaide_v_north_melbourne_2010-03-28,2010-03-28,Football Park,847,Chad Cornes,port_adelaide,north_melbourne,Home,96,82,14,win,14,9,3,8,17,0,0,0,2.0,3.0,1.0,1.0,2.0,1,1,6.0,9.0,1.0,0.0,9.0,0.0,0.0,93.0,,35,0,2010-03-28,cornes,2010-03-28,16.0,23.0,29.0,74.4,0.0,0.0,2.0,0.0,94.0,,,,,,,,0.0,131.0,173.0
2010,1,1,2010_R1_port_adelaide_v_north_melbourne_2010-03-28,2010-03-28,Football Park,847,Chad Cornes,port_adelaide,north_melbourne,Home,96,82,14,win,14,9,3,8,17,0,0,0,2.0,3.0,1.0,1.0,2.0,1,1,6.0,9.0,1.0,0.0,9.0,0.0,0.0,93.0,,35,0,2010-03-28,cornes,2010-03-28,6.0,9.0,15.0,88.2,1.0,0.0,9.0,0.0,93.0,,,,,,,,0.0,58.0,86.0
2010,1,1,2010_R1_port_adelaide_v_north_melbourne_2010-03-28,2010-03-28,Football Park,857,Kane Cornes,port_adelaide,north_melbourne,Home,96,82,14,win,14,16,6,23,39,0,0,0,5.0,4.0,5.0,7.0,2.0,2,1,16.0,23.0,0.0,0.0,2.0,0.0,0.0,94.0,,18,3,2010-03-28,cornes,2010-03-28,16.0,23.0,29.0,74.4,0.0,0.0,2.0,0.0,94.0,,,,,,,,0.0,131.0,173.0
2010,1,1,2010_R1_port_adelaide_v_north_melbourne_2010-03-28,2010-03-28,Football Park,857,Kane Cornes,port_adelaide,north_melbourne,Home,96,82,14,win,14,16,6,23,39,0,0,0,5.0,4.0,5.0,7.0,2.0,2,1,16.0,23.0,0.0,0.0,2.0,0.0,0.0,94.0,,18,3,2010-03-28,cornes,2010-03-28,6.0,9.0,15.0,88.2,1.0,0.0,9.0,0.0,93.0,,,,,,,,0.0,58.0,86.0
2010,2,2,2010_R2_west_coast_v_port_adelaide_2010-04-03,2010-04-03,Subiaco,2310,Adam Selwood,west_coast,port_adelaide,Home,86,89,-3,loss,3,14,6,16,30,0,0,1,10.0,2.0,4.0,6.0,4.0,3,2,16.0,13.0,0.0,0.0,4.0,0.0,0.0,86.0,,37,0,2010-04-03,selwood,2010-04-03,16.0,13.0,19.0,63.3,0.0,0.0,4.0,0.0,86.0,,,,,,,,0.0,130.0,134.0
2010,2,2,2010_R2_west_coast_v_port_adelaide_2010-04-03,2010-04-03,Subiaco,2310,Adam Selwood,west_coast,port_adelaide,Home,86,89,-3,loss,3,14,6,16,30,0,0,1,10.0,2.0,4.0,6.0,4.0,3,2,16.0,13.0,0.0,0.0,4.0,0.0,0.0,86.0,,37,0,2010-04-03,selwood,2010-04-03,5.0,8.0,6.0,46.2,0.0,0.0,4.0,0.0,78.0,,,,,,,,0.0,68.0,68.0
2010,2,2,2010_R2_west_coast_v_port_adelaide_2010-04-03,2010-04-03,Subiaco,11644,Scott Selwood,west_coast,port_adelaide,Home,86,89,-3,loss,3,6,2,7,13,1,1,0,7.0,0.0,2.0,2.0,4.0,1,2,5.0,8.0,0.0,0.0,4.0,0.0,0.0,78.0,,10,0,2010-04-03,selwood,2010-04-03,16.0,13.0,19.0,63.3,0.0,0.0,4.0,0.0,86.0,,,,,,,,0.0,130.0,134.0
2010,2,2,2010_R2_west_coast_v_port_adelaide_2010-04-03,2010-04-03,Subiaco,11644,Scott Selwood,west_coast,port_adelaide,Home,86,89,-3,loss,3,6,2,7,13,1,1,0,7.0,0.0,2.0,2.0,4.0,1,2,5.0,8.0,0.0,0.0,4.0,0.0,0.0,78.0,,10,0,2010-04-03,selwood,2010-04-03,5.0,8.0,6.0,46.2,0.0,0.0,4.0,0.0,78.0,,,,,,,,0.0,68.0,68.0
2010,2,2,2010_R2_west_coast_v_port_adelaide_2010-04-03,2010-04-03,Subiaco,847,Chad Cornes,port_adelaide,west_coast,Away,89,86,3,win,3,10,4,9,19,0,0,0,3.0,4.0,0.0,2.0,2.0,0,1,5.0,13.0,0.0,0.0,9.0,0.0,0.0,92.0,,35,0,2010-04-03,cornes,2010-04-03,5.0,13.0,14.0,73.7,0.0,0.0,9.0,0.0,92.0,,,,,,,,0.0,69.0,89.0
2010,2,2,2010_R2_west_coast_v_port_adelaide_2010-04-03,2010-04-03,Subiaco,847,Chad Cornes,port_adelaide,west_coast,Away,89,86,3,win,3,10,4,9,19,0,0,0,3.0,4.0,0.0,2.0,2.0,0,1,5.0,13.0,0.0,0.0,9.0,0.0,0.0,92.0,,35,0,2010-04-03,cornes,2010-04-03,5.0,13.0,10.0,58.8,0.0,0.0,0.0,0.0,93.0,,,,,,,,1.0,109.0,99.0
2010,2,2,2010_R2_west_coast_v_port_adelaide_2010-04-03,2010-04-03,Subiaco,857,Kane Cornes,port_adelaide,west_coast,Away,89,86,3,win,3,5,4,12,17,0,0,0,15.0,3.0,1.0,0.0,1.0,1,1,5.0,13.0,0.0,0.0,0.0,0.0,1.0,93.0,,18,0,2010-04-03,cornes,2010-04-03,5.0,13.0,14.0,73.7,0.0,0.0,9.0,0.0,92.0,,,,,,,,0.0,69.0,89.0
2010,2,2,2010_R2_west_coast_v_port_adelaide_2010-04-03,2010-04-03,Subiaco,857,Kane Cornes,port_adelaide,west_coast,Away,89,86,3,win,3,5,4,12,17,0,0,0,15.0,3.0,1.0,0.0,1.0,1,1,5.0,13.0,0.0,0.0,0.0,0.0,1.0,93.0,,18,0,2010-04-03,cornes,2010-04-03,5.0,13.0,10.0,58.8,0.0,0.0,0.0,0.0,93.0,,,,,,,,1.0,109.0,99.0
2010,2,2,2010_R2_adelaide_v_sydney_2010-04-04,2010-04-04,Football Park,1090,Craig Bolton,sydney,adelaide,Away,118,75,43,win,43,6,0,6,12,0,0,0,2.0,4.0,2.0,0.0,1.0,1,1,5.0,6.0,0.0,0.0,4.0,0.0,0.0,86.0,,6,0,2010-04-04,bolton,2010-04-04,5.0,6.0,10.0,83.3,0.0,0.0,4.0,0.0,86.0,,,,,,,,0.0,36.0,59.0
2010,2,2,2010_R2_adelaide_v_sydney_2010-04-04,2010-04-04,Football Park,1090,Craig Bolton,sydney,adelaide,Away,118,75,43,win,43,6,0,6,12,0,0,0,2.0,4.0,2.0,0.0,1.0,1,1,5.0,6.0,0.0,0.0,4.0,0.0,0.0,86.0,,6,0,2010-04-04,bolton,2010-04-04,4.0,7.0,9.0,75.0,0.0,1.0,0.0,0.0,77.0,,,,,,,,1.0,53.0,53.0
2010,2,2,2010_R2_adelaide_v_sydney_2010-04-04,2010-04-04,Football Park,1013,Jude Bolton,sydney,adelaide,Away,118,75,43,win,43,5,1,7,12,0,0,0,5.0,1.0,0.0,3.0,1.0,1,0,5.0,6.0,0.0,1.0,0.0,0.0,1.0,77.0,,24,0,2010-04-04,bolton,2010-04-04,5.0,6.0,10.0,83.3,0.0,0.0,4.0,0.0,86.0,,,,,,,,0.0,36.0,59.0
2010,2,2,2010_R2_adelaide_v_sydney_2010-04-04,2010-04-04,Football Park,1013,Jude Bolton,sydney,adelaide,Away,118,75,43,win,43,5,1,7,12,0,0,0,5.0,1.0,0.0,3.0,1.0,1,0,5.0,6.0,0.0,1.0,0.0,0.0,1.0,77.0,,24,0,2010-04-04,bolton,2010-04-04,4.0,7.0,9.0,75.0,0.0,1.0,0.0,0.0,77.0,,,,,,,,1.0,53.0,53.0
2010,3,3,2010_R3_north_melbourne_v_west_coast_2010-04-10,2010-04-10,Docklands,2310,Adam Selwood,west_coast,north_melbourne,Away,91,116,-25,loss,25,10,6,10,20,0,2,1,1.0,0.0,2.0,3.0,1.0,0,0,4.0,16.0,1.0,1.0,2.0,0.0,0.0,84.0,,37,0,2010-04-10,selwood,2010-04-10,2.0,18.0,15.0,75.0,1.0,1.0,2.0,0.0,84.0,,,,,,,,0.0,75.0,58.0
2010,3,3,2010_R3_north_melbourne_v_west_coast_2010-04-10,2010-04-10,Docklands,2310,Adam Selwood,west_coast,north_melbourne,Away,91,116,-25,loss,25,10,6,10,20,0,2,1,1.0,0.0,2.0,3.0,1.0,0,0,4.0,16.0,1.0,1.0,2.0,0.0,0.0,84.0,,37,0,2010-04-10,selwood,2010-04-10,7.0,13.0,14.0,73.7,0.0,0.0,2.0,0.0,87.0,,,,,,,,0.0,63.0,61.0
2010,3,3,2010_R3_north_melbourne_v_west_coast_2010-04-10,2010-04-10,Docklands,11644,Scott Selwood,west_coast,north_melbourne,Away,91,116,-25,loss,25,8,2,11,19,0,0,0,3.0,2.0,3.0,0.0,4.0,2,1,7.0,13.0,0.0,0.0,2.0,0.0,0.0,87.0,,10,0,2010-04-10,selwood,2010-04-10,2.0,18.0,15.0,75.0,1.0,1.0,2.0,0.0,84.0,,,,,,,,0.0,75.0,58.0
2010,3,3,2010_R3_north_melbourne_v_west_coast_2010-04-10,2010-04-10,Docklands,11644,Scott Selwood,west_coast,north_melbourne,Away,91,116,-25,loss,25,8,2,11,19,0,0,0,3.0,2.0,3.0,0.0,4.0,2,1,7.0,13.0,0.0,0.0,2.0,0.0,0.0,87.0,,10,0,2010-04-10,selwood,2010-04-10,7.0,13.0,14.0,73.7,0.0,0.0,2.0,0.0,87.0,,,,,,,,0.0,63.0,61.0
2010,3,3,2010_R3_port_adelaide_v_brisbane_lions_2010-04-10,2010-04-10,Football Park,847,Chad Cornes,port_adelaide,brisbane_lions,Home,81,108,-27,loss,27,7,3,8,15,0,0,0,2.0,4.0,3.0,0.0,4.0,0,3,6.0,9.0,0.0,0.0,4.0,0.0,0.0,96.0,,35,0,2010-04-10,cornes,2010-04-10,13.0,17.0,19.0,63.3,0.0,0.0,2.0,1.0,93.0,,,,,,,,0.0,94.0,110.0
2010,3,3,2010_R3_port_adelaide_v_brisbane_lions_2010-04-10,2010-04-10,Football Park,847,Chad Cornes,port_adelaide,brisbane_lions,Home,81,108,-27,loss,27,7,3,8,15,0,0,0,2.0,4.0,3.0,0.0,4.0,0,3,6.0,9.0,0.0,0.0,4.0,0.0,0.0,96.0,,35,0,2010-04-10,cornes,2010-04-10,6.0,9.0,11.0,73.3,0.0,0.0,4.0,0.0,96.0,,,,,,,,0.0,45.0,50.0
2010,3,3,2010_R3_port_adelaide_v_brisbane_lions_2010-04-10,2010-04-10,Football Park,857,Kane Cornes,port_adelaide,brisbane_lions,Home,81,108,-27,loss,27,10,4,20,30,0,0,0,3.0,3.0,3.0,5.0,2.0,0,0,13.0,17.0,0.0,0.0,2.0,1.0,0.0,93.0,,18,0,2010-04-10,cornes,2010-04-10,13.0,17.0,19.0,63.3,0.0,0.0,2.0,1.0,93.0,,,,,,,,0.0,94.0,110.0
2010,3,3,2010_R3_port_adelaide_v_brisbane_lions_2010-04-10,2010-04-10,Football Park,857,Kane Cornes,port_adelaide,brisbane_lions,Home,81,108,-27,loss,27,10,4,20,30,0,0,0,3.0,3.0,3.0,5.0,2.0,0,0,13.0,17.0,0.0,0.0,2.0,1.0,0.0,93.0,,18,0,2010-04-10,cornes,2010-04-10,6.0,9.0,11.0,73.3,0.0,0.0,4.0,0.0,96.0,,,,,,,,0.0,45.0,50.0
2010,3,3,2010_R3_sydney_v_richmond_2010-04-10,2010-04-10,S.C.G.,1090,Craig Bolton,sydney,richmond,Home,111,56,55,win,55,8,6,4,12,0,0,0,3.0,4.0,1.0,0.0,1.0,0,1,2.0,10.0,0.0,0.0,2.0,0.0,0.0,74.0,,6,0,2010-04-10,bolton,2010-04-10,15.0,18.0,28.0,84.8,0.0,1.0,2.0,0.0,74.0,,,,,,,,1.0,115.0,142.0
2010,3,3,2010_R3_sydney_v_richmond_2010-04-10,2010-04-10,S.C.G.,1090,Craig Bolton,sydney,richmond,Home,111,56,55,win,55,8,6,4,12,0,0,0,3.0,4.0,1.0,0.0,1.0,0,1,2.0,10.0,0.0,0.0,2.0,0.0,0.0,74.0,,6,0,2010-04-10,bolton,2010-04-10,2.0,10.0,12.0,100.0,0.0,0.0,2.0,0.0,74.0,,,,,,,,0.0,59.0,67.0
2010,3,3,2010_R3_sydney_v_richmond_2010-04-10,2010-04-10,S.C.G.,1013,Jude Bolton,sydney,richmond,Home,111,56,55,win,55,12,7,21,33,1,0,0,2.0,2.0,2.0,6.0,3.0,5,1,15.0,18.0,0.0,1.0,2.0,0.0,1.0,74.0,,24,2,2010-04-10,bolton,2010-04-10,15.0,18.0,28.0,84.8,0.0,1.0,2.0,0.0,74.0,,,,,,,,1.0,115.0,142.0
2010,3,3,2010_R3_sydney_v_richmond_2010-04-10,2010-04-10,S.C.G.,1013,Jude Bolton,sydney,richmond,Home,111,56,55,win,55,12,7,21,33,1,0,0,2.0,2.0,2.0,6.0,3.0,5,1,15.0,18.0,0.0,1.0,2.0,0.0,1.0,74.0,,24,2,2010-04-10,bolton,2010-04-10,2.0,10.0,12.0,100.0,0.0,0.0,2.0,0.0,74.0,,,,,,,,0.0,59.0,67.0
