bin,n,mean_predicted,mean_actual,gap,model,prob_type
"(-0.0009999999979, 1.66e-06]",8231,4.949783136873266e-07,0.0,4.949783136873266e-07,Model0_Benchmark,p3
"(1.66e-06, 1.12e-05]",8230,5.38119657444726e-06,0.0,5.38119657444726e-06,Model0_Benchmark,p3
"(1.12e-05, 4.06e-05]",8230,2.3389753199953056e-05,0.0,2.3389753199953056e-05,Model0_Benchmark,p3
"(4.06e-05, 0.000119]",8231,7.414110159614464e-05,0.0,7.414110159614464e-05,Model0_Benchmark,p3
"(0.000119, 0.000314]",8230,0.0002015196686155727,0.00012150668286755772,8.001298574801499e-05,Model0_Benchmark,p3
"(0.000314, 0.000829]",8230,0.000529612100800176,0.00036452004860267317,0.00016509205219750281,Model0_Benchmark,p3
"(0.000829, 0.00238]",8231,0.0014568962786386406,0.0007289515247236059,0.0007279447539150348,Model0_Benchmark,p3
"(0.00238, 0.00838]",8230,0.0046453594509266675,0.0018226002430133657,0.002822759207913302,Model0_Benchmark,p3
"(0.00838, 0.0497]",8230,0.0217826152465602,0.012879708383961118,0.008902906862599083,Model0_Benchmark,p3
"(0.0497, 0.87]",8231,0.22131426631242082,0.23083464949580854,-0.009520383183387715,Model0_Benchmark,p3
"(-0.00099999865, 4.34e-05]",8231,1.7773693738586075e-05,0.0,1.7773693738586075e-05,Model1_PlackettLuce,p3
"(4.34e-05, 0.00014]",8230,8.650473614810478e-05,0.0,8.650473614810478e-05,Model1_PlackettLuce,p3
"(0.00014, 0.000318]",8230,0.00022017286875304715,0.0,0.00022017286875304715,Model1_PlackettLuce,p3
"(0.000318, 0.000633]",8231,0.0004592578411729487,0.0,0.0004592578411729487,Model1_PlackettLuce,p3
"(0.000633, 0.0012]",8230,0.0008912153966786907,0.00012150668286755772,0.000769708713811133,Model1_PlackettLuce,p3
"(0.0012, 0.00233]",8230,0.0017006395056573934,0.0006075334143377885,0.001093106091319605,Model1_PlackettLuce,p3
"(0.00233, 0.00476]",8231,0.0033801306496657364,0.00036447576236180293,0.0030156548873039334,Model1_PlackettLuce,p3
"(0.00476, 0.0115]",8230,0.007495629139519202,0.0026731470230862697,0.004822482116432932,Model1_PlackettLuce,p3
"(0.0115, 0.0424]",8230,0.022450672643743775,0.01117861482381531,0.011272057819928466,Model1_PlackettLuce,p3
"(0.0424, 0.999]",8231,0.2133323668871252,0.23180658486210667,-0.01847421797498147,Model1_PlackettLuce,p3
"(0.00825, 0.0162]",8231,0.014892920088924731,0.00012149192078726765,0.014771428168137464,Model2a_GBM_utility,p3
"(0.0162, 0.0175]",8230,0.016939198975110932,0.00012150668286755772,0.016817692292243374,Model2a_GBM_utility,p3
"(0.0175, 0.0184]",8230,0.017996893439394063,0.0004860267314702309,0.01751086670792383,Model2a_GBM_utility,p3
"(0.0184, 0.0192]",8231,0.018823341676885225,0.00036447576236180293,0.018458865914523424,Model2a_GBM_utility,p3
"(0.0192, 0.02]",8230,0.019575133309470465,0.0004860267314702309,0.019089106578000233,Model2a_GBM_utility,p3
"(0.02, 0.0207]",8230,0.020327100642792063,0.0007290400972053463,0.01959806054558672,Model2a_GBM_utility,p3
"(0.0207, 0.0217]",8231,0.021187143419994746,0.001336411128659944,0.019850732291334803,Model2a_GBM_utility,p3
"(0.0217, 0.0234]",8230,0.022458107960707577,0.0019441069258809235,0.020514001034826652,Model2a_GBM_utility,p3
"(0.0234, 0.0303]",8230,0.025688402111192565,0.011300121506682867,0.014388280604509697,Model2a_GBM_utility,p3
"(0.0303, 0.528]",8231,0.0721570730197311,0.2298627141295104,-0.1577056411097793,Model2a_GBM_utility,p3
"(-0.0009999999999999972, 3.64e-05]",8231,1.751128296048503e-05,0.0,1.751128296048503e-05,Model2b_GBM_multiclass,p3
"(3.64e-05, 9.45e-05]",8230,6.311319247533289e-05,0.0,6.311319247533289e-05,Model2b_GBM_multiclass,p3
"(9.45e-05, 0.000194]",8230,0.00013933247170946474,0.0,0.00013933247170946474,Model2b_GBM_multiclass,p3
"(0.000194, 0.000377]",8231,0.0002763393852148434,0.00012149192078726765,0.00015484746442757572,Model2b_GBM_multiclass,p3
"(0.000377, 0.000722]",8230,0.0005273824881959222,0.0,0.0005273824881959222,Model2b_GBM_multiclass,p3
"(0.000722, 0.00148]",8230,0.0010436060996125587,0.00024301336573511544,0.0008005927338774433,Model2b_GBM_multiclass,p3
"(0.00148, 0.00348]",8231,0.002316117306667578,0.0007289515247236059,0.001587165781943972,Model2b_GBM_multiclass,p3
"(0.00348, 0.0104]",8230,0.006175873869839507,0.0027946537059538273,0.0033812201638856797,Model2b_GBM_multiclass,p3
"(0.0104, 0.0499]",8230,0.02379308850560994,0.01275820170109356,0.01103488680451638,Model2b_GBM_multiclass,p3
"(0.0499, 0.907]",8231,0.21568186482264787,0.23010569797108493,-0.014423833148437065,Model2b_GBM_multiclass,p3
