feature,family,first_reliable_season,last_reliable_season,pct_seasons_reliable,overall_pct_available,spearman_corr_votes,mutual_info_votes,n_obs,proposed_set,redundancy_note,leakage_flag
supercoach_points,advanced_composite_external,2010,2020,0.262,0.4167,0.371,0.0942,133707.0,ADVANCED only,,SAFE
afl_fantasy_points,advanced_composite_external,2010,2020,0.262,0.4167,0.3634,0.0886,133707.0,ADVANCED only,"supercoach_points (r=0.86) -- keep one, not both, as an external composite benchmark",SAFE
effective_disposals,advanced_efficiency,2010,2020,0.262,0.4167,0.2897,0.0519,133707.0,ADVANCED only,disposals (r=0.92) -- keep only if efficiency framing specifically matters,SAFE
score_involvements,advanced_scoring,2015,2020,0.143,0.2861,0.2848,0.0495,91813.0,ADVANCED only,,SAFE
adv_contested_possessions,other,2010,2020,0.262,0.4167,0.2806,0.0476,133707.0,ADVANCED only,,SAFE
metres_gained,advanced_territory,2015,2020,0.143,0.2861,0.2602,0.0381,91813.0,ADVANCED only,,SAFE
adv_uncontested_possessions,other,2010,2020,0.262,0.4167,0.2367,0.0325,133707.0,ADVANCED only,,SAFE
centre_clearances,advanced_clearance,2015,2020,0.143,0.2861,0.2291,0.0224,91813.0,ADVANCED only,,SAFE
stoppage_clearances,advanced_clearance,2015,2020,0.143,0.2861,0.2162,0.0264,91813.0,ADVANCED only,"clearances (r=0.91, see correlation_matrix.csv)",SAFE
turnovers,advanced_efficiency,2015,2020,0.143,0.2861,0.1604,0.0141,91813.0,ADVANCED only,,SAFE
adv_goal_assists,other,2010,2020,0.262,0.4167,0.1189,0.0038,133707.0,ADVANCED only,,SAFE
adv_marks_inside_50,other,2010,2020,0.262,0.4167,0.1131,0.0062,133707.0,ADVANCED only,,SAFE
adv_bounces,other,2010,2020,0.262,0.4167,0.0803,0.002,133707.0,ADVANCED only,,SAFE
tackles_inside_50,advanced_contest,2015,2020,0.143,0.2861,0.0662,0.0008,91813.0,ADVANCED only,,SAFE
adv_time_on_ground_pct,other,2010,2020,0.262,0.4167,0.0611,0.0053,133707.0,ADVANCED only,,SAFE
adv_contested_marks,other,2010,2020,0.262,0.4167,0.0573,0.0032,133707.0,ADVANCED only,,SAFE
intercepts,advanced_defence,2015,2020,0.143,0.2861,0.047,0.0015,91813.0,ADVANCED only,,SAFE
adv_one_percenters,other,2010,2020,0.262,0.4167,-0.0427,0.0019,133707.0,ADVANCED only,,SAFE
disposal_efficiency_pct,advanced_efficiency,2010,2020,0.262,0.4167,-0.0175,0.0039,133707.0,ADVANCED only,,SAFE
possession_impact_index,composite,1984,2025,1.0,1.0,0.3214,0.0672,193346.0,CORE + ADVANCED,,SAFE
disposals_match_z,match_relative,1984,2025,1.0,1.0,0.3161,0.0655,193346.0,CORE + ADVANCED,possession_impact_index,SAFE
disposals_match_pct,match_relative,1984,2025,1.0,1.0,0.3144,0.0647,193346.0,CORE + ADVANCED,,SAFE
disposals_match_rank,match_relative,1984,2025,1.0,1.0,-0.3144,0.0639,193346.0,CORE + ADVANCED,,SAFE
disposals,raw_volume,1984,2025,1.0,1.0,0.3082,0.0615,193346.0,CORE + ADVANCED,,SAFE
disposals_team_share,team_relative,1984,2025,1.0,1.0,0.3012,0.0575,193346.0,CORE + ADVANCED,possession_impact_index / teammate competition features,SAFE
team_disposal_share_sq,teammate_competition,1984,2025,1.0,1.0,0.3012,0.0575,193346.0,CORE + ADVANCED,,SAFE
disposals_team_rank,team_relative,1984,2025,1.0,1.0,-0.3006,0.0562,193346.0,CORE + ADVANCED,,SAFE
disposals_opp_best_gap,opponent_relative,1984,2025,1.0,1.0,0.2998,0.0565,193346.0,CORE + ADVANCED,,SAFE
kicks,raw_volume,1984,2025,1.0,1.0,0.2992,0.053,193346.0,CORE + ADVANCED,,SAFE
disposals_gap_2nd_team,teammate_competition,1984,2025,1.0,1.0,0.2981,0.0571,193346.0,CORE + ADVANCED,,SAFE
disposals_gap_best_team,teammate_competition,1984,2025,1.0,1.0,0.2913,0.0545,193346.0,CORE + ADVANCED,,SAFE
contested_possessions_match_z,match_relative,1999,2025,0.643,0.6991,0.2792,0.0463,193346.0,CORE + ADVANCED,possession_impact_index / contest_index,SAFE
contested_possessions_match_pct,match_relative,1999,2025,0.643,0.6991,0.2773,0.0458,193346.0,CORE + ADVANCED,,SAFE
contested_possessions_match_rank,match_relative,1999,2025,0.643,0.6991,-0.2773,0.0457,193346.0,CORE + ADVANCED,,SAFE
contested_possessions,raw_contest,1999,2025,0.643,0.6991,0.2733,0.0451,193346.0,CORE + ADVANCED,,SAFE
contested_possessions_team_share,team_relative,1999,2025,0.643,0.6991,0.2706,0.0429,193346.0,CORE + ADVANCED,,SAFE
contested_possessions_team_rank,team_relative,1999,2025,0.643,0.6991,-0.2671,0.0414,193346.0,CORE + ADVANCED,,SAFE
contested_possessions_gap_2nd_team,teammate_competition,1999,2025,0.643,0.6991,0.2555,0.0395,193346.0,CORE + ADVANCED,,SAFE
contest_index,composite,1987,2025,0.929,0.9506,0.2486,0.0367,193346.0,CORE + ADVANCED,,SAFE
contested_possessions_opp_best_gap,opponent_relative,1999,2025,0.643,0.6991,0.2456,0.0363,193346.0,CORE + ADVANCED,,SAFE
contested_possessions_gap_best_team,teammate_competition,1999,2025,0.643,0.6991,0.2402,0.035,193346.0,CORE + ADVANCED,,SAFE
uncontested_possessions,raw_volume,1999,2025,0.643,0.6991,0.2371,0.0326,193346.0,CORE + ADVANCED,,SAFE
inside_50s,raw_territory,1998,2025,0.667,0.7233,0.2221,0.0284,193346.0,CORE + ADVANCED,,SAFE
inside_50s_match_z,match_relative,1998,2025,0.667,0.7233,0.2212,0.028,193346.0,CORE + ADVANCED,,SAFE
inside_50s_match_rank,match_relative,1998,2025,0.667,0.7233,-0.2204,0.0276,193346.0,CORE + ADVANCED,,SAFE
inside_50s_match_pct,match_relative,1998,2025,0.667,0.7233,0.22,0.0278,193346.0,CORE + ADVANCED,,SAFE
territory_index,composite,1998,2025,0.667,0.7233,0.2194,0.0266,193346.0,CORE + ADVANCED,,SAFE
