feature,first_reliable_season,max_pct_available
behinds,1984,1.0
frees_for,1984,1.0
handballs,1984,1.0
hitouts,1984,1.0
goals,1984,1.0
disposals,1984,1.0
frees_against,1984,1.0
marks,1984,1.0
kicks,1984,1.0
tackles,1987,1.0
clearances,1998,1.0
rebound_50s,1998,1.0
inside_50s,1998,1.0
clangers,1998,1.0
contested_marks,1999,1.0
bounces,1999,1.0
contested_possessions,1999,1.0
one_percenters,1999,1.0
uncontested_possessions,1999,1.0
marks_inside_50,1999,1.0
time_on_ground_pct,2003,1.0
goal_assists,2003,1.0
disposal_efficiency_pct,2010,0.996
effective_disposals,2010,0.996
centre_clearances,2015,0.994
intercepts,2015,0.994
metres_gained,2015,0.994
score_involvements,2015,0.994
tackles_inside_50,2015,0.994
stoppage_clearances,2015,0.994
turnovers,2015,0.994
