segment_value,n,accuracy,segment_type
2015,178,0.5955056179775281,season
2016,179,0.5698324022346368,season
2017,181,0.6574585635359116,season
2018,184,0.5163043478260869,season
2019,184,0.6304347826086957,season
2020,125,0.528,season
2021,180,0.6444444444444445,season
2022,183,0.6010928961748634,season
2023,181,0.4861878453038674,season
2024,190,0.48947368421052634,season
2025,193,0.5440414507772021,season
KEY_DEFENDER,32,0.125,role
KEY_FORWARD,156,0.5641025641025641,role
MEDIUM_DEFENDER,124,0.3387096774193548,role
MEDIUM_FORWARD,123,0.3983739837398374,role
MIDFIELDER,1276,0.6199059561128527,role
MIDFIELDER_FORWARD,43,0.5581395348837209,role
RUCK,95,0.5052631578947369,role
UNKNOWN,109,0.6422018348623854,role
draw,17,0.5882352941176471,win_loss_draw
loss,178,0.4887640449438202,win_loss_draw
win,1763,0.5779920589903573,win_loss_draw
0-12,487,0.5379876796714579,margin_bucket
12-24,396,0.5909090909090909,margin_bucket
24-48,601,0.56738768718802,margin_bucket
48-100,423,0.5721040189125296,margin_bucket
100+,34,0.7941176470588235,margin_bucket
False,526,0.4144486692015209,is_high_disposal
True,1432,0.6270949720670391,is_high_disposal
False,1488,0.5557795698924731,is_high_goal
True,470,0.6148936170212767,is_high_goal
