period,period_seconds,home_score,away_score,margin_home_perspective,absolute_margin,lead_changed,scores_level,leverage
1,51,1,0,1,1,False,False,0.009107142857142857
1,245,1,6,-5,5,True,False,0.02784090909090909
1,335,7,6,1,1,True,False,0.05982142857142857
1,407,7,7,0,0,False,True,0.08479166666666667
1,541,8,7,1,1,False,False,0.09660714285714285
1,696,9,7,2,2,False,False,0.10874999999999999
1,844,9,13,-4,4,True,False,0.10550000000000002
1,920,9,14,-5,5,False,False,0.10454545454545454
1,1015,10,14,-4,4,False,False,0.12687500000000002
1,1097,16,14,2,2,True,False,0.17140625
1,1278,16,20,-4,4,True,False,0.15975
1,1395,17,20,-3,3,False,False,0.19375
1,1544,17,26,-9,9,False,False,0.12866666666666668
1,1730,23,26,-3,3,False,False,0.24027777777777776
2,175,23,27,-4,4,False,False,0.17187500000000003
2,407,29,27,2,2,True,False,0.25109375
2,471,30,27,3,3,False,False,0.23208333333333334
2,632,30,33,-3,3,True,False,0.2544444444444444
2,810,30,39,-9,9,False,False,0.1675
2,864,30,40,-10,10,False,False,0.16124999999999998
2,945,30,41,-11,11,False,False,0.15772058823529414
2,1084,31,41,-10,10,False,False,0.17843749999999997
2,1208,32,41,-9,9,False,False,0.2006666666666667
2,1294,38,41,-3,3,False,False,0.34638888888888886
2,1557,38,42,-4,4,False,False,0.344625
2,1703,44,42,2,2,True,False,0.45359374999999996
2,1758,45,42,3,3,False,False,0.4108333333333333
3,117,45,48,-3,3,True,False,0.34958333333333336
3,406,46,48,-2,2,False,False,0.43843750000000004
3,507,52,48,4,4,True,False,0.36337500000000006
3,725,52,49,3,3,False,False,0.43402777777777773
3,878,52,50,2,2,False,False,0.5121875
3,958,58,50,8,8,False,False,0.29982142857142857
3,1294,58,51,7,7,False,False,0.3551923076923076
3,1600,64,51,13,13,False,False,0.26315789473684215
3,1799,64,57,7,7,False,False,0.4037499999999999
3,1879,64,63,1,1,False,False,0.7641071428571429
3,1949,65,63,2,2,False,False,0.6795312499999999
4,164,65,64,1,1,False,False,0.6721428571428572
4,252,65,70,-5,5,True,False,0.4377272727272727
4,357,65,76,-11,11,False,False,0.2909558823529412
4,761,65,82,-17,17,False,False,0.23701086956521739
4,839,71,82,-11,11,False,False,0.32639705882352943
4,1063,77,82,-5,5,False,False,0.5298863636363635
4,1271,83,82,1,1,True,False,0.8571428571428571
4,1523,89,82,7,7,False,False,0.46153846153846145
4,1696,89,88,1,1,False,False,0.8571428571428571
4,1780,89,89,0,0,False,True,1.0
4,1896,90,89,1,1,False,False,0.8571428571428571
