match_id,home_team_id,away_team_id,official_goals,official_behinds,away_team_score_goals,away_team_score_behinds,team_id,reconstructed_goals,reconstructed_behinds_naive,reconstructed_behinds_fixed,home_team_score_goals,home_team_score_behinds,goals_match_official,behinds_naive_match_official,behinds_fixed_match_official
CD_M20240140001,CD_T160,CD_T90,12,14,9.0,10.0,CD_T160,12,10,14,,,True,False,True
CD_M20240140002,CD_T20,CD_T30,12,13,13.0,8.0,CD_T20,12,10,13,,,True,False,True
CD_M20240140003,CD_T1000,CD_T120,14,15,9.0,6.0,CD_T1000,14,9,15,,,True,False,True
CD_M20240140004,CD_T1010,CD_T40,18,6,11.0,16.0,CD_T1010,18,4,6,,,True,False,True
CD_M20240140101,CD_T30,CD_T120,12,14,12.0,9.0,CD_T30,12,12,14,,,True,False,True
CD_M20240140102,CD_T40,CD_T160,10,9,15.0,12.0,CD_T40,10,6,9,,,True,False,True
CD_M20240140103,CD_T50,CD_T80,17,5,11.0,17.0,CD_T50,17,5,5,,,True,True,True
CD_M20240140104,CD_T1010,CD_T100,17,19,13.0,4.0,CD_T1010,17,18,19,,,True,False,True
CD_M20240140105,CD_T70,CD_T130,10,16,9.0,14.0,CD_T70,10,13,16,,,True,False,True
CD_M20240140106,CD_T1000,CD_T10,8,12,8.0,6.0,CD_T1000,8,10,12,,,True,False,True
CD_M20240140107,CD_T90,CD_T140,16,13,9.0,10.0,CD_T90,16,11,13,,,True,False,True
CD_M20240140108,CD_T110,CD_T150,16,24,10.0,10.0,CD_T110,16,23,24,,,True,False,True
CD_M20240140109,CD_T60,CD_T20,14,9,10.0,10.0,CD_T60,14,8,9,,,True,False,True
CD_M20240140201,CD_T130,CD_T40,14,10,12.0,7.0,CD_T130,14,9,10,,,True,False,True
CD_M20240140202,CD_T10,CD_T70,11,11,14.0,12.0,CD_T10,11,6,11,,,True,False,True
CD_M20240140203,CD_T100,CD_T60,11,10,15.0,12.0,CD_T100,11,7,10,,,True,False,True
CD_M20240140204,CD_T80,CD_T90,5,8,14.0,9.0,CD_T80,5,6,8,,,True,False,True
CD_M20240140205,CD_T160,CD_T50,19,17,15.0,11.0,CD_T160,19,14,17,,,True,False,True
