feature,family,first_reliable_season,last_reliable_season,pct_seasons_reliable,overall_pct_available
centre_clearances,advanced_clearance,2015,2020,0.143,0.2861
stoppage_clearances,advanced_clearance,2015,2020,0.143,0.2861
afl_fantasy_points,advanced_composite_external,2010,2020,0.262,0.4167
supercoach_points,advanced_composite_external,2010,2020,0.262,0.4167
tackles_inside_50,advanced_contest,2015,2020,0.143,0.2861
intercepts,advanced_defence,2015,2020,0.143,0.2861
disposal_efficiency_pct,advanced_efficiency,2010,2020,0.262,0.4167
effective_disposals,advanced_efficiency,2010,2020,0.262,0.4167
turnovers,advanced_efficiency,2015,2020,0.143,0.2861
score_involvements,advanced_scoring,2015,2020,0.143,0.2861
metres_gained,advanced_territory,2015,2020,0.143,0.2861
clearance_index,composite,1998,2025,0.667,0.7233
contest_index,composite,1987,2025,0.929,0.9506
defensive_index,composite,1987,2025,0.929,0.9506
possession_impact_index,composite,1984,2025,1.0,1.0
scoring_index,composite,1984,2025,1.0,1.0
territory_index,composite,1998,2025,0.667,0.7233
clearance_index_n_components,composite_metadata,1984,2025,1.0,1.0
contest_index_n_components,composite_metadata,1984,2025,1.0,1.0
defensive_index_n_components,composite_metadata,1984,2025,1.0,1.0
possession_impact_index_n_components,composite_metadata,1984,2025,1.0,1.0
scoring_index_n_components,composite_metadata,1984,2025,1.0,1.0
territory_index_n_components,composite_metadata,1984,2025,1.0,1.0
absolute_margin,match_outcome,1984,2025,1.0,1.0
is_blowout,match_outcome,1984,2025,1.0,1.0
is_close_game,match_outcome,1984,2025,1.0,1.0
is_draw,match_outcome,1984,2025,1.0,1.0
is_loss,match_outcome,1984,2025,1.0,1.0
is_win,match_outcome,1984,2025,1.0,1.0
margin,match_outcome,1984,2025,1.0,1.0
clearances_match_pct,match_relative,1998,2025,0.667,0.7233
clearances_match_rank,match_relative,1998,2025,0.667,0.7233
clearances_match_z,match_relative,1998,2025,0.667,0.7233
contested_marks_match_pct,match_relative,1999,2025,0.643,0.6991
contested_marks_match_rank,match_relative,1999,2025,0.643,0.6991
contested_marks_match_z,match_relative,1999,2025,0.643,0.6991
contested_possessions_match_pct,match_relative,1999,2025,0.643,0.6991
contested_possessions_match_rank,match_relative,1999,2025,0.643,0.6991
contested_possessions_match_z,match_relative,1999,2025,0.643,0.6991
disposals_match_pct,match_relative,1984,2025,1.0,1.0
disposals_match_rank,match_relative,1984,2025,1.0,1.0
disposals_match_z,match_relative,1984,2025,1.0,1.0
goals_match_pct,match_relative,1984,2025,1.0,1.0
goals_match_rank,match_relative,1984,2025,1.0,1.0
goals_match_z,match_relative,1984,2025,1.0,1.0
inside_50s_match_pct,match_relative,1998,2025,0.667,0.7233
inside_50s_match_rank,match_relative,1998,2025,0.667,0.7233
inside_50s_match_z,match_relative,1998,2025,0.667,0.7233
marks_match_pct,match_relative,1984,2025,1.0,1.0
marks_match_rank,match_relative,1984,2025,1.0,1.0
marks_match_z,match_relative,1984,2025,1.0,1.0
tackles_match_pct,match_relative,1987,2025,0.929,0.9506
tackles_match_rank,match_relative,1987,2025,0.929,0.9506
tackles_match_z,match_relative,1987,2025,0.929,0.9506
clearances_opp_best_gap,opponent_relative,1998,2025,0.667,0.7233
contested_marks_opp_best_gap,opponent_relative,1999,2025,0.643,0.6991
contested_possessions_opp_best_gap,opponent_relative,1999,2025,0.643,0.6991
disposals_opp_best_gap,opponent_relative,1984,2025,1.0,1.0
goals_opp_best_gap,opponent_relative,1984,2025,1.0,1.0
inside_50s_opp_best_gap,opponent_relative,1998,2025,0.667,0.7233
marks_opp_best_gap,opponent_relative,1984,2025,1.0,1.0
tackles_opp_best_gap,opponent_relative,1987,2025,0.929,0.9506
adv_bounces,other,2010,2020,0.262,0.4167
adv_contested_marks,other,2010,2020,0.262,0.4167
adv_contested_possessions,other,2010,2020,0.262,0.4167
adv_goal_assists,other,2010,2020,0.262,0.4167
adv_marks_inside_50,other,2010,2020,0.262,0.4167
adv_one_percenters,other,2010,2020,0.262,0.4167
adv_time_on_ground_pct,other,2010,2020,0.262,0.4167
adv_uncontested_possessions,other,2010,2020,0.262,0.4167
opponent_score,other,1984,2025,1.0,1.0
season,other,1984,2025,1.0,1.0
team_score,other,1984,2025,1.0,1.0
clearances,raw_clearance,1998,2025,0.667,0.7233
contested_marks,raw_contest,1999,2025,0.643,0.6991
contested_possessions,raw_contest,1999,2025,0.643,0.6991
tackles,raw_contest,1987,2025,0.929,0.9506
one_percenters,raw_defence,1999,2025,0.643,0.6991
clangers,raw_efficiency,1998,2025,0.667,0.7233
frees_against,raw_efficiency,1984,2025,1.0,1.0
frees_for,raw_efficiency,1984,2025,1.0,1.0
hitouts,raw_ruck,1984,2025,1.0,1.0
behinds,raw_scoring,1984,2025,1.0,1.0
goal_assists,raw_scoring,2003,2025,0.548,0.6026
goals,raw_scoring,1984,2025,1.0,1.0
marks_inside_50,raw_scoring,1999,2025,0.643,0.6991
inside_50s,raw_territory,1998,2025,0.667,0.7233
rebound_50s,raw_territory,1998,2025,0.667,0.7233
bounces,raw_volume,1999,2025,0.643,0.6983
disposals,raw_volume,1984,2025,1.0,1.0
handballs,raw_volume,1984,2025,1.0,1.0
kicks,raw_volume,1984,2025,1.0,1.0
marks,raw_volume,1984,2025,1.0,1.0
uncontested_possessions,raw_volume,1999,2025,0.643,0.6991
time_on_ground_pct,raw_workload,2003,2025,0.548,0.6014
role,role,1999,2025,0.643,0.6781
clearances_team_rank,team_relative,1998,2025,0.667,0.7233
clearances_team_share,team_relative,1998,2025,0.667,0.7233
contested_marks_team_rank,team_relative,1999,2025,0.643,0.6991
contested_marks_team_share,team_relative,1999,2025,0.643,0.6991
contested_possessions_team_rank,team_relative,1999,2025,0.643,0.6991
contested_possessions_team_share,team_relative,1999,2025,0.643,0.6991
disposals_team_rank,team_relative,1984,2025,1.0,1.0
disposals_team_share,team_relative,1984,2025,1.0,1.0
goals_team_rank,team_relative,1984,2025,1.0,1.0
goals_team_share,team_relative,1984,2025,1.0,1.0
inside_50s_team_rank,team_relative,1998,2025,0.667,0.7233
inside_50s_team_share,team_relative,1998,2025,0.667,0.7233
marks_team_rank,team_relative,1984,2025,1.0,1.0
marks_team_share,team_relative,1984,2025,1.0,1.0
tackles_team_rank,team_relative,1987,2025,0.929,0.9506
tackles_team_share,team_relative,1987,2025,0.929,0.9506
clearances_gap_2nd_team,teammate_competition,1998,2025,0.667,0.7233
clearances_gap_best_team,teammate_competition,1998,2025,0.667,0.7233
contested_marks_gap_2nd_team,teammate_competition,1999,2025,0.643,0.6991
contested_marks_gap_best_team,teammate_competition,1999,2025,0.643,0.6991
contested_possessions_gap_2nd_team,teammate_competition,1999,2025,0.643,0.6991
contested_possessions_gap_best_team,teammate_competition,1999,2025,0.643,0.6991
disposals_gap_2nd_team,teammate_competition,1984,2025,1.0,1.0
disposals_gap_best_team,teammate_competition,1984,2025,1.0,1.0
goals_gap_2nd_team,teammate_competition,1984,2025,1.0,1.0
goals_gap_best_team,teammate_competition,1984,2025,1.0,1.0
inside_50s_gap_2nd_team,teammate_competition,1998,2025,0.667,0.7233
inside_50s_gap_best_team,teammate_competition,1998,2025,0.667,0.7233
marks_gap_2nd_team,teammate_competition,1984,2025,1.0,1.0
marks_gap_best_team,teammate_competition,1984,2025,1.0,1.0
n_teammates_disposals_ge_25,teammate_competition,1984,2025,1.0,1.0
n_teammates_disposals_ge_30,teammate_competition,1984,2025,1.0,1.0
n_teammates_goals_ge_2,teammate_competition,1984,2025,1.0,1.0
n_teammates_goals_ge_3,teammate_competition,1984,2025,1.0,1.0
tackles_gap_2nd_team,teammate_competition,1987,2025,0.929,0.9506
tackles_gap_best_team,teammate_competition,1987,2025,0.929,0.9506
team_disposal_concentration,teammate_competition,1984,2025,1.0,1.0
team_disposal_share_sq,teammate_competition,1984,2025,1.0,1.0
