model,window,test_season,n_train_seasons,n_matches,correct_3_pct,correct_2_pct,correct_1_pct,exact_321_pct,all_3_identified_pct,top3_precision,top3_recall,mean_rank_corr,log_loss,brier_score,expected_vote_mae
Model0_Benchmark,expanding,2015,12,178,0.5730337078651685,0.30337078651685395,0.23595505617977527,0.10112359550561797,0.24157303370786518,0.6891385767790262,0.6891385767790262,0.4293926350827653,0.1867004083561417,0.08883633684092622,0.137392020229538
Model1_PlackettLuce,expanding,2015,12,178,0.5955056179775281,0.33707865168539325,0.20224719101123595,0.0898876404494382,0.21348314606741572,0.6835205992509363,0.6835205992509363,0.42955268105545213,0.1810370305150485,0.08770442847205595,0.13488045441466967
Model2a_GBM_utility,expanding,2015,12,178,0.5955056179775281,0.3202247191011236,0.19662921348314608,0.12359550561797752,0.2752808988764045,0.6872659176029963,0.6872659176029963,0.4258291273307122,0.27841291651072453,0.12067470375766744,0.24013069680748308
Model2b_GBM_multiclass,expanding,2015,12,178,0.550561797752809,0.25842696629213485,0.15168539325842698,0.05056179775280899,0.1797752808988764,0.6816479400749064,0.6816479400749064,0.4296087056383057,0.18639808032652555,0.08983326505489883,0.14198456458944245
Model0_Benchmark,recent8,2015,8,178,0.5786516853932584,0.3258426966292135,0.24719101123595505,0.11235955056179775,0.25842696629213485,0.6985018726591761,0.6985018726591761,0.4295378241501189,0.1847308146416424,0.08802610704795025,0.13324645287658016
Model1_PlackettLuce,recent8,2015,8,178,0.5898876404494382,0.3146067415730337,0.21348314606741572,0.10112359550561797,0.2696629213483146,0.702247191011236,0.702247191011236,0.43025665701799903,0.1786933324359425,0.0867782647220139,0.1298003160340071
Model2a_GBM_utility,recent8,2015,8,178,0.550561797752809,0.29213483146067415,0.19101123595505617,0.08426966292134831,0.2696629213483146,0.6928838951310862,0.6928838951310862,0.4261372509581704,0.2764820882983196,0.11990441315667878,0.23846474951794677
Model2b_GBM_multiclass,recent8,2015,8,178,0.5224719101123596,0.29213483146067415,0.1797752808988764,0.06741573033707865,0.21348314606741572,0.696629213483146,0.696629213483146,0.42917742848973667,0.19679456779727647,0.09016156401782152,0.13983399412828312
Model0_Benchmark,expanding,2016,13,179,0.5977653631284916,0.33519553072625696,0.20670391061452514,0.10614525139664804,0.2849162011173184,0.6871508379888268,0.6871508379888268,0.4313287712658596,0.18436336373500423,0.0879428461705331,0.13439105094099432
Model1_PlackettLuce,expanding,2016,13,179,0.5698324022346368,0.31843575418994413,0.18994413407821228,0.07262569832402235,0.22905027932960895,0.6927374301675978,0.6927374301675978,0.4321088437380166,0.1764217985009554,0.08577456523234066,0.13202161456433903
Model2a_GBM_utility,expanding,2016,13,179,0.5698324022346368,0.2905027932960894,0.17318435754189945,0.0893854748603352,0.24022346368715083,0.6852886405959031,0.6852886405959031,0.4282371017729813,0.27480590236956043,0.11923088666037185,0.23775305269018326
Model2b_GBM_multiclass,expanding,2016,13,179,0.5586592178770949,0.2569832402234637,0.1340782122905028,0.05027932960893855,0.2011173184357542,0.6797020484171322,0.6797020484171322,0.4297262644092203,0.1864440405219654,0.08953309308282703,0.13869069946437906
