season,n_matches,disposals_spearman,contested_possessions_spearman,clearances_spearman,goals_spearman,possession_impact_index_spearman,winner_polling_rate,loser_polling_rate,winner_advantage_polling,winner_advantage_3votes,midfielder_share_of_3votes,ruck_or_defender_share_of_3votes
1999,176,0.3042,0.2626,0.1648,0.1813,0.31,0.1127,0.0241,0.0886,0.0338,0.4602,0.392
2000,176,0.3078,0.2733,0.1721,0.1904,0.3126,0.117,0.0204,0.0966,0.0403,0.6477,0.2273
2001,176,0.3034,0.2644,0.1802,0.1972,0.3092,0.116,0.0204,0.0956,0.0382,0.608,0.2784
2002,176,0.3054,0.2752,0.1881,0.2125,0.3151,0.1118,0.0255,0.0863,0.0377,0.6023,0.267
2003,176,0.3203,0.285,0.195,0.1923,0.3275,0.1098,0.0279,0.0819,0.038,0.5398,0.3068
2004,176,0.3198,0.2686,0.1858,0.1845,0.3286,0.1113,0.0251,0.0863,0.0356,0.5852,0.2557
2005,176,0.3142,0.269,0.1821,0.19,0.3225,0.1086,0.0282,0.0803,0.0354,0.625,0.2159
2006,176,0.2803,0.2387,0.1334,0.1945,0.2888,0.1089,0.0283,0.0806,0.0387,0.5795,0.2102
2007,176,0.2962,0.2444,0.1727,0.169,0.3062,0.1117,0.0262,0.0855,0.0385,0.6761,0.1989
2008,176,0.2736,0.2633,0.1627,0.1803,0.2885,0.1126,0.0248,0.0878,0.0398,0.6477,0.1705
2009,176,0.2814,0.2421,0.175,0.1842,0.2932,0.1139,0.0235,0.0904,0.0403,0.6364,0.233
2010,176,0.3139,0.2837,0.2103,0.1924,0.3263,0.1157,0.0217,0.094,0.0393,0.6136,0.233
2011,187,0.3236,0.2956,0.2252,0.1962,0.3327,0.1102,0.0275,0.0827,0.0365,0.6471,0.2193
2012,198,0.3375,0.2977,0.244,0.1914,0.3454,0.1108,0.026,0.0847,0.0383,0.6566,0.2273
2013,198,0.3244,0.2719,0.206,0.2045,0.3334,0.1091,0.0276,0.0815,0.0351,0.7121,0.1919
2014,198,0.3371,0.2923,0.2277,0.2247,0.3436,0.1082,0.0286,0.0797,0.0342,0.7323,0.1313
2015,197,0.3159,0.2916,0.2406,0.1962,0.3251,0.1126,0.0247,0.0879,0.0381,0.7259,0.1218
2016,198,0.3184,0.2831,0.2215,0.1924,0.3256,0.112,0.0243,0.0877,0.0363,0.6616,0.1717
2017,198,0.3144,0.2779,0.2152,0.1965,0.3224,0.1082,0.0294,0.0788,0.0342,0.7525,0.096
2018,198,0.3216,0.2789,0.2209,0.1898,0.3278,0.1091,0.0276,0.0815,0.037,0.6313,0.1919
2019,198,0.3272,0.289,0.2476,0.179,0.3362,0.1047,0.0317,0.073,0.0363,0.7323,0.1364
2020,153,0.3122,0.2822,0.2366,0.1724,0.3208,0.1114,0.0261,0.0853,0.0425,0.7451,0.0915
2021,198,0.3165,0.2964,0.2566,0.1676,0.3282,0.107,0.0247,0.0824,0.0358,0.702,0.1162
2022,198,0.3083,0.2738,0.2229,0.1943,0.3168,0.1022,0.0286,0.0736,0.0323,0.5556,0.1818
2023,207,0.2876,0.2698,0.2253,0.1668,0.2978,0.1048,0.0264,0.0784,0.0355,0.6473,0.1546
2024,207,0.3145,0.2757,0.2512,0.1617,0.323,0.1051,0.0265,0.0786,0.0345,0.6763,0.1498
2025,207,0.3123,0.2759,0.2505,0.1517,0.3211,0.1081,0.0228,0.0853,0.0349,0.57,0.2077
