season,match_id,player_id,brownlow_votes,p3,p2,p1,p0,expected_votes,model,role,win_loss_draw,absolute_margin,disposals,goals,match_rank_of_p3
2018,2018_R2_north_melbourne_v_st_kilda_2018-03-30,12084,3,0.0011575878543509466,0.0016198767455520475,0.002286171798849837,0.9949363636012472,0.008998688853006772,Model1_PlackettLuce,UNKNOWN,win,52,14,0,26.0
2018,2018_R19_essendon_v_sydney_2018-07-27,11715,3,0.0017246754391305051,0.0023264150953316415,0.0031726586189881997,0.9927762508465497,0.012999515127042997,Model1_PlackettLuce,MEDIUM_DEFENDER,win,43,12,0,24.0
2023,2023_R14_port_adelaide_v_geelong_2023-06-15,12956,3,0.0020682934782353685,0.0033988378744617934,0.004600610784028721,0.9899322578632741,0.017603166967658415,Model1_PlackettLuce,MIDFIELDER,win,38,13,0,22.0
2023,2023_R3_collingwood_v_richmond_2023-03-31,12066,3,0.0021830807193262743,0.0036166637044419206,0.004859968536147851,0.9893402870400839,0.018642538103010517,Model1_PlackettLuce,MIDFIELDER_FORWARD,win,14,20,0,20.0
2024,2024_R23_adelaide_v_western_bulldogs_2024-08-11,12849,3,0.0035208852685721785,0.004169063495799802,0.0050394430103081365,0.9872706082253199,0.02394022580762428,Model1_PlackettLuce,MIDFIELDER,win,39,14,0,18.0
2019,2019_R19_port_adelaide_v_greater_western_sydney_2019-07-27,11825,3,0.0042207473283206115,0.006425263178698531,0.008773996889053512,0.9805799926039274,0.03428676523141241,Model1_PlackettLuce,KEY_DEFENDER,win,1,17,0,17.0
2023,2023_R19_brisbane_lions_v_geelong_2023-07-22,12340,3,0.006280267942568256,0.007160789249182886,0.00823944195131684,0.978319500856932,0.04140182427738738,Model1_PlackettLuce,KEY_DEFENDER,win,11,12,0,17.0
2025,2025_R6_western_bulldogs_v_brisbane_lions_2025-04-12,12076,3,0.007033736167933643,0.008286816182290673,0.00990422717880183,0.9747752204709739,0.0475790680471841,Model1_PlackettLuce,MEDIUM_DEFENDER,win,21,23,0,17.0
2023,2023_R19_port_adelaide_v_collingwood_2023-07-22,12083,3,0.009040321121809415,0.01021713062497715,0.01158130815114118,0.9691612401020722,0.059136532766523725,Model1_PlackettLuce,MEDIUM_FORWARD,win,2,12,3,16.0
2023,2023_R17_fremantle_v_carlton_2023-07-09,12402,3,0.006148732349636501,0.007333682625142069,0.008980035012986942,0.9775375500122344,0.04209359731218058,Model1_PlackettLuce,KEY_DEFENDER,win,53,11,0,15.0
2021,2021_R9_hawthorn_v_north_melbourne_2021-05-15,12707,3,0.0016965487922168438,0.003898587522762453,0.014514049615467725,0.979890814069553,0.02740087103764316,Model1_PlackettLuce,MIDFIELDER_FORWARD,win,7,18,1,15.0
2019,2019_R6_sydney_v_greater_western_sydney_2019-04-27,12091,3,0.004915517997399923,0.0060344869096657875,0.0077318229729914905,0.9813181721199428,0.03454735078452283,Model1_PlackettLuce,MIDFIELDER,win,41,21,0,15.0
2021,2021_R3_west_coast_v_port_adelaide_2021-04-03,11768,3,0.006525893696954041,0.009535005262207913,0.013390121792476888,0.9705489792483611,0.05203781340775484,Model1_PlackettLuce,RUCK,win,37,11,0,13.0
2024,2024_R5_richmond_v_st_kilda_2024-04-07,12703,3,0.005811306925496078,0.008086209135285832,0.011965962448194725,0.9741365214910235,0.045572301495254625,Model1_PlackettLuce,KEY_DEFENDER,win,7,17,0,13.0
2024,2024_R9_melbourne_v_geelong_2024-05-04,12653,3,0.008311318968357202,0.0110697427313364,0.014020494672969747,0.9665984436273366,0.061093937040714155,Model1_PlackettLuce,KEY_FORWARD,win,8,13,1,13.0
2022,2022_R11_port_adelaide_v_essendon_2022-05-29,12494,3,0.011557544751178905,0.0157922608449017,0.021307499576086696,0.9513426948278327,0.08756465551942681,Model1_PlackettLuce,MEDIUM_FORWARD,win,16,15,1,12.0
2024,2024_R16_port_adelaide_v_brisbane_lions_2024-06-22,12076,3,0.002997229769839448,0.00510089435449519,0.00948891791886363,0.9824129579568017,0.028682395937372353,Model1_PlackettLuce,MEDIUM_DEFENDER,win,79,26,0,12.0
2024,2024_R5_fremantle_v_carlton_2024-04-06,12786,3,0.01882758069281326,0.0210002747436122,0.023327287774835868,0.9368448567887386,0.12181057934050005,Model1_PlackettLuce,MIDFIELDER,loss,10,26,0,12.0
2025,2025_R10_gold_coast_v_western_bulldogs_2025-05-10,12768,3,0.0165373408290364,0.020583985581526947,0.026136774624296484,0.9367418989651402,0.11691676827445957,Model1_PlackettLuce,MIDFIELDER,win,10,20,1,12.0
2022,2022_R17_hawthorn_v_adelaide_2022-07-10,12752,3,0.017637179118076045,0.020657312651643393,0.024340284140435882,0.9373652240898447,0.11856644679795081,Model1_PlackettLuce,MEDIUM_DEFENDER,win,32,24,0,12.0
