feature,n_obs,spearman_corr_votes,point_biserial_polled_any,mutual_info_votes,mean_when_0,mean_when_1,mean_when_2,mean_when_3
supercoach_points,133707,0.371,0.4345,0.0942,72.04,114.105,120.824,132.337
afl_fantasy_points,133707,0.3634,0.4227,0.0886,67.211,105.18,111.261,120.131
possession_impact_index,193346,0.3214,0.3907,0.0672,-0.268,3.059,3.617,4.448
disposals_match_z,193346,0.3161,0.3813,0.0655,-0.101,1.161,1.369,1.674
disposals_match_pct,193346,0.3144,0.3136,0.0647,0.487,0.808,0.844,0.889
disposals_match_rank,193346,-0.3144,-0.3134,0.0639,23.822,9.532,7.958,5.929
disposals,193346,0.3082,0.3735,0.0615,15.145,24.153,25.638,27.826
disposals_team_share,193346,0.3012,0.3543,0.0575,0.043,0.067,0.07,0.076
team_disposal_share_sq,193346,0.3012,0.3996,0.0575,0.002,0.005,0.005,0.006
disposals_team_rank,193346,-0.3006,-0.2995,0.0562,12.136,5.372,4.586,3.536
disposals_opp_best_gap,193346,0.2998,0.3471,0.0565,-15.714,-5.932,-4.227,-1.858
kicks,193346,0.2992,0.3394,0.053,8.773,14.218,14.916,16.135
disposals_gap_2nd_team,193346,0.2981,0.3488,0.0571,-11.868,-2.749,-1.188,1.204
disposals_gap_best_team,193346,0.2913,0.3365,0.0545,-15.512,-6.448,-4.855,-1.907
effective_disposals,133707,0.2897,0.3442,0.0519,11.501,17.979,19.16,20.546
score_involvements,91813,0.2848,0.3389,0.0495,3.902,6.783,7.268,8.166
adv_contested_possessions,133707,0.2806,0.3489,0.0476,5.924,9.976,10.798,12.078
contested_possessions_match_z,193346,0.2792,0.3394,0.0463,-0.09,0.996,1.204,1.543
contested_possessions_match_rank,193346,-0.2773,-0.2769,0.0457,23.692,11.364,9.786,7.688
contested_possessions_match_pct,193346,0.2773,0.277,0.0458,0.49,0.767,0.802,0.85
contested_possessions,193346,0.2733,0.3366,0.0451,5.608,9.466,10.22,11.438
contested_possessions_team_share,193346,0.2706,0.3244,0.0429,0.043,0.07,0.075,0.084
contested_possessions_team_rank,193346,-0.2671,-0.2667,0.0414,12.077,6.202,5.415,4.345
metres_gained,91813,0.2602,0.2935,0.0381,245.475,392.63,407.039,443.56
contested_possessions_gap_2nd_team,193346,0.2555,0.3014,0.0395,-6.078,-2.072,-1.244,0.156
contest_index,193346,0.2486,0.3127,0.0367,-0.201,2.189,2.73,3.435
contested_possessions_opp_best_gap,193346,0.2456,0.2792,0.0363,-8.802,-4.687,-3.816,-2.5
contested_possessions_gap_best_team,193346,0.2402,0.2723,0.035,-8.687,-4.634,-3.795,-2.202
uncontested_possessions,193346,0.2371,0.2779,0.0326,9.397,14.442,15.191,16.184
adv_uncontested_possessions,133707,0.2367,0.2803,0.0325,9.723,14.701,15.518,16.431
centre_clearances,91813,0.2291,0.2719,0.0224,0.473,1.394,1.596,1.912
inside_50s,193346,0.2221,0.2655,0.0284,2.146,3.855,4.165,4.605
inside_50s_match_z,193346,0.2212,0.2641,0.028,-0.07,0.795,0.951,1.167
inside_50s_match_rank,193346,-0.2204,-0.2214,0.0276,23.492,13.883,12.574,10.683
inside_50s_match_pct,193346,0.22,0.2213,0.0278,0.494,0.71,0.74,0.782
territory_index,193346,0.2194,0.2472,0.0266,-0.121,1.434,1.621,1.943
stoppage_clearances,91813,0.2162,0.2767,0.0264,1.014,2.287,2.727,3.127
clearances,193346,0.2151,0.2929,0.0297,1.438,3.333,3.868,4.512
clearances_team_share,193346,0.2118,0.2781,0.0275,0.041,0.091,0.104,0.12
clearances_match_rank,193346,-0.2064,-0.2142,0.0285,23.446,14.865,12.934,11.241
clearances_match_z,193346,0.206,0.2882,0.0289,-0.077,0.802,1.045,1.331
inside_50s_team_share,193346,0.2059,0.2355,0.0238,0.043,0.072,0.077,0.085
inside_50s_opp_best_gap,193346,0.2058,0.2305,0.0249,-4.784,-2.786,-2.427,-1.936
clearances_match_pct,193346,0.2054,0.2139,0.0287,0.495,0.688,0.731,0.769
inside_50s_team_rank,193346,-0.2044,-0.2051,0.0233,11.966,7.576,6.933,6.029
clearance_index,193346,0.2029,0.2801,0.0273,-0.111,1.173,1.51,1.932
handballs,193346,0.2023,0.2603,0.0262,6.372,9.936,10.722,11.691
scoring_index,193346,0.201,0.2545,0.0227,-0.118,1.348,1.573,1.955
clearances_team_rank,193346,-0.2009,-0.2091,0.0263,11.963,7.814,6.846,6.022
clearances_gap_2nd_team,193346,0.1926,0.2464,0.0253,-3.963,-1.954,-1.374,-0.622
clearances_opp_best_gap,193346,0.1881,0.226,0.0237,-5.968,-3.908,-3.294,-2.598
inside_50s_gap_2nd_team,193346,0.1865,0.2157,0.0209,-3.274,-1.675,-1.359,-0.911
goals,193346,0.1854,0.2656,0.017,0.503,1.366,1.515,1.793
goals_opp_best_gap,193346,0.1853,0.2215,0.0208,-2.905,-1.645,-1.418,-1.077
clearances_gap_best_team,193346,0.1801,0.218,0.0221,-5.882,-3.863,-3.252,-2.45
margin,193346,0.177,0.1675,0.0197,-1.953,22.643,26.802,31.538
inside_50s_gap_best_team,193346,0.1736,0.1929,0.0182,-4.693,-3.076,-2.755,-2.274
goals_team_share,193346,0.1704,0.2031,0.0118,0.041,0.094,0.101,0.116
marks_match_z,193346,0.1685,0.1901,0.0151,-0.051,0.627,0.694,0.776
marks_match_pct,193346,0.1678,0.1679,0.0151,0.498,0.674,0.691,0.703
marks_match_rank,193346,-0.1676,-0.1676,0.015,23.315,15.521,14.74,14.222
is_loss,193346,-0.1663,-0.1649,0.0,0.518,0.269,0.21,0.088
is_win,193346,0.1663,0.165,0.0,0.473,0.722,0.782,0.903
goals_match_pct,193346,0.1634,0.1852,0.0173,0.499,0.652,0.673,0.708
goals_match_rank,193346,-0.1628,-0.1851,0.0168,23.278,16.463,15.539,13.995
marks,193346,0.1626,0.1861,0.0145,3.982,5.735,5.908,6.141
turnovers,91813,0.1604,0.1774,0.0141,2.964,4.189,4.286,4.637
marks_opp_best_gap,193346,0.1592,0.1726,0.0139,-5.601,-3.466,-3.232,-2.925
goals_match_z,193346,0.1587,0.2532,0.017,-0.067,0.765,0.9,1.127
marks_team_share,193346,0.1492,0.1628,0.0118,0.044,0.06,0.061,0.063
marks_team_rank,193346,-0.1485,-0.1485,0.0116,11.873,8.426,8.086,7.882
team_score,193346,0.135,0.1321,0.0098,86.806,99.158,101.237,103.605
marks_gap_2nd_team,193346,0.1341,0.1501,0.0102,-3.978,-2.417,-2.282,-2.078
opponent_score,193346,-0.134,-0.1312,0.0104,88.759,76.515,74.435,72.067
frees_for,193346,0.1257,0.1446,0.0072,0.784,1.258,1.343,1.443
goals_team_rank,193346,-0.1253,-0.1639,0.0136,11.856,8.848,8.48,7.782
goal_assists,193346,0.1236,0.134,0.0041,0.355,0.655,0.706,0.778
marks_gap_best_team,193346,0.1231,0.1347,0.0088,-5.487,-3.938,-3.812,-3.579
adv_goal_assists,133707,0.1189,0.1282,0.0038,0.362,0.641,0.701,0.768
marks_inside_50,193346,0.1174,0.1718,0.0069,0.495,1.107,1.169,1.354
tackles_match_rank,193346,-0.1137,-0.1137,0.0072,23.128,18.346,17.315,16.573
tackles_match_z,193346,0.1136,0.1299,0.0072,-0.035,0.391,0.481,0.561
tackles_match_pct,193346,0.1133,0.1134,0.0072,0.503,0.61,0.633,0.649
adv_marks_inside_50,133707,0.1131,0.1607,0.0062,0.478,1.008,1.044,1.27
tackles_team_share,193346,0.1102,0.1242,0.0066,0.044,0.058,0.062,0.064
tackles_team_rank,193346,-0.1099,-0.11,0.0065,11.806,9.499,9.002,8.67
tackles,193346,0.1093,0.1289,0.0069,2.588,3.517,3.71,3.912
behinds,193346,0.1077,0.1143,0.0031,0.384,0.684,0.695,0.783
clangers,193346,0.1042,0.1161,0.0057,2.153,2.836,2.877,3.076
goals_gap_2nd_team,193346,0.1018,0.1684,0.0123,-1.704,-0.973,-0.859,-0.615
tackles_gap_2nd_team,193346,0.0994,0.112,0.0059,-3.486,-2.553,-2.335,-2.129
